unique_id,true_label,model_0_predicted_label,model_0_accuracy,model_2_predicted_label,model_2_accuracy,model_3_predicted_label,model_3_accuracy,model_4_predicted_label,model_4_accuracy,difficulty_score
1_11b,0,0,1.0,2,0.0,0,1.0,0,1.0,0.75
1_11c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_12a,1,2,0.0,2,0.0,1,1.0,2,0.0,0.25
1_12b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_12c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_13a,0,1,0.0,1,0.0,1,0.0,0,1.0,0.25
1_13b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_13c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_14a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_14b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_14c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_15a,0,1,0.0,0,1.0,0,1.0,0,1.0,0.75
1_15b,2,2,1.0,0,0.0,0,0.0,0,0.0,0.25
1_15c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_16a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_16b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_16c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_17a,2,1,0.0,2,1.0,2,1.0,1,0.0,0.5
1_17b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_17c,1,1,1.0,1,1.0,1,1.0,0,0.0,0.75
1_18a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_18b,1,0,0.0,0,0.0,0,0.0,0,0.0,0.0
1_18c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_19a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_19b,1,1,1.0,1,1.0,0,0.0,0,0.0,0.5
1_19c,2,1,0.0,2,1.0,1,0.0,1,0.0,0.25
1_20a,2,1,0.0,2,1.0,2,1.0,2,1.0,0.75
1_20b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_20c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_21a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_21b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_21c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_22a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_22b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_22c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_23a,2,2,1.0,2,1.0,1,0.0,2,1.0,0.75
1_23b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_23c,0,0,1.0,1,0.0,1,0.0,0,1.0,0.5
1_24a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_24b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_24c,1,1,1.0,0,0.0,1,1.0,0,0.0,0.5
1_25a,0,2,0.0,2,0.0,0,1.0,2,0.0,0.25
1_25b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_25c,1,2,0.0,2,0.0,1,1.0,2,0.0,0.25
1_26a,2,0,0.0,2,1.0,2,1.0,2,1.0,0.75
1_26b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_26c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_27a,2,1,0.0,2,1.0,2,1.0,2,1.0,0.75
1_27b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_27c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_28a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_28b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_28c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_29a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_29b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_29c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_30a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_30b,1,1,1.0,1,1.0,1,1.0,0,0.0,0.75
1_30c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_31a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_31b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_31c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_32a,0,1,0.0,0,1.0,0,1.0,0,1.0,0.75
1_32b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_32c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_33a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_33b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_33c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_34a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_34b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_34c,0,1,0.0,1,0.0,1,0.0,1,0.0,0.0
1_35a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_35b,1,2,0.0,1,1.0,1,1.0,1,1.0,0.75
1_35c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_36a,1,0,0.0,0,0.0,0,0.0,0,0.0,0.0
1_36b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_36c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_37a,-1,0,0.0,0,0.0,0,0.0,0,0.0,0.0
1_37b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_37c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_38a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_38b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_38c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_39a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_39b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_39c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_40a,1,1,1.0,2,0.0,2,0.0,2,0.0,0.25
1_40b,0,0,1.0,1,0.0,0,1.0,1,0.0,0.5
1_40c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_41a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_41b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_41c,2,1,0.0,2,1.0,2,1.0,2,1.0,0.75
1_42a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_42b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_42c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_43a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_43b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_43c,1,0,0.0,1,1.0,0,0.0,1,1.0,0.5
1_44a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_44b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_44c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_45a,1,0,0.0,2,0.0,0,0.0,0,0.0,0.0
1_45b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_45c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_46a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_46b,1,1,1.0,0,0.0,1,1.0,1,1.0,0.75
1_46c,2,2,1.0,2,1.0,2,1.0,0,0.0,0.75
1_47a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_47b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_47c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_48a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_48b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_48c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_49a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_49b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_49c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_50a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_50b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_50c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_51a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_51b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_51c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_52a,1,0,0.0,0,0.0,0,0.0,0,0.0,0.0
1_52b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_52c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_53a,0,0,1.0,0,1.0,0,1.0,1,0.0,0.75
1_53b,2,2,1.0,2,1.0,2,1.0,1,0.0,0.75
1_53c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_54a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_54b,1,0,0.0,1,1.0,1,1.0,1,1.0,0.75
1_54c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_55a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_55b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_55c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_56a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_56b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_56c,1,2,0.0,1,1.0,1,1.0,1,1.0,0.75
1_57a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_57b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_57c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_58a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_58b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_58c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_59a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_59b,1,0,0.0,0,0.0,0,0.0,0,0.0,0.0
1_59c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_60a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_60b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_60c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_61a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_61b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_61c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_62a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_62b,1,1,1.0,0,0.0,1,1.0,1,1.0,0.75
1_62c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_63a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_63b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_63c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_64a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_64b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_64c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_65a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_65b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_65c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_66a,0,0,1.0,0,1.0,1,0.0,0,1.0,0.75
1_66b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_66c,1,2,0.0,2,0.0,2,0.0,2,0.0,0.0
1_67a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_67b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_67c,0,0,1.0,0,1.0,0,1.0,1,0.0,0.75
1_68a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_68b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_68c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_69a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_69b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_69c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_70a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_70b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_70c,1,1,1.0,0,0.0,1,1.0,1,1.0,0.75
1_71a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_71b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_71c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_72a,1,0,0.0,0,0.0,0,0.0,0,0.0,0.0
1_72b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_72c,2,1,0.0,1,0.0,1,0.0,1,0.0,0.0
1_73a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_73b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_73c,1,0,0.0,1,1.0,1,1.0,1,1.0,0.75
1_74a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_74b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_74c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_75a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_75b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_75c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_76a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_76b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_76c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_77a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_77b,1,0,0.0,1,1.0,1,1.0,1,1.0,0.75
1_77c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_78a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_78b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_78c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_79a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_79b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_79c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_80a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_80b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_80c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_81a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_81b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_81c,1,0,0.0,0,0.0,0,0.0,1,1.0,0.25
1_82a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_82b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_82c,2,1,0.0,1,0.0,2,1.0,1,0.0,0.25
1_83a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_83b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_83c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_84a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_84b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_84c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_85a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_85b,0,0,1.0,1,0.0,0,1.0,0,1.0,0.75
1_85c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_86a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_86b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_86c,1,0,0.0,0,0.0,0,0.0,0,0.0,0.0
1_87a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_87b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_87c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_88a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_88b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_88c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_89a,2,1,0.0,2,1.0,1,0.0,1,0.0,0.25
1_89b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_89c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_90a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_90b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_90c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_91a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_91b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_91c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_92a,0,0,1.0,1,0.0,0,1.0,0,1.0,0.75
1_92b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_92c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_93a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_93b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_93c,1,0,0.0,1,1.0,1,1.0,0,0.0,0.5
1_94a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_94b,2,1,0.0,1,0.0,1,0.0,2,1.0,0.25
1_94c,0,0,1.0,0,1.0,1,0.0,0,1.0,0.75
1_95a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_95b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_95c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_96a,2,1,0.0,2,1.0,2,1.0,1,0.0,0.5
1_96b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_96c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_97a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_97b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_97c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_98a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_98b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_98c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_99a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_99b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_99c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_100a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_100b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_100c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_101a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_101b,1,2,0.0,2,0.0,2,0.0,2,0.0,0.0
1_101c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_102a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_102b,0,0,1.0,1,0.0,0,1.0,1,0.0,0.5
1_102c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_103a,1,2,0.0,1,1.0,2,0.0,1,1.0,0.5
1_103b,0,1,0.0,1,0.0,1,0.0,1,0.0,0.0
1_103c,2,1,0.0,1,0.0,1,0.0,1,0.0,0.0
1_104a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_104b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_104c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_105a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_105b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_105c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_106a,0,0,1.0,0,1.0,0,1.0,1,0.0,0.75
1_106b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_106c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_107a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_107b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_107c,0,0,1.0,0,1.0,0,1.0,1,0.0,0.75
1_108a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_108b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_108c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_109a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_109b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_109c,1,1,1.0,1,1.0,2,0.0,1,1.0,0.75
1_110a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_110b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_110c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_111a,0,2,0.0,1,0.0,1,0.0,1,0.0,0.0
1_111b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_111c,1,0,0.0,0,0.0,2,0.0,0,0.0,0.0
1_112a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_112b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_112c,1,0,0.0,0,0.0,0,0.0,0,0.0,0.0
1_113a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_113b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_113c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_114a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_114b,2,1,0.0,2,1.0,1,0.0,1,0.0,0.25
1_114c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_115a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_115b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_115c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_116a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_116b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_116c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_117a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_117b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_117c,1,2,0.0,1,1.0,1,1.0,1,1.0,0.75
1_118a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_118b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_118c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_119a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_119b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_119c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_120a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_120b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_120c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_121a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_121b,0,1,0.0,1,0.0,1,0.0,1,0.0,0.0
1_121c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_122a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_122b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_122c,1,0,0.0,0,0.0,0,0.0,1,1.0,0.25
1_123a,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_123b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_123c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_124a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_124b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_124c,1,0,0.0,0,0.0,0,0.0,0,0.0,0.0
1_125a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_125b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_125c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_126a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_126b,1,1,1.0,2,0.0,2,0.0,1,1.0,0.5
1_126c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_127a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_127b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_127c,1,2,0.0,1,1.0,1,1.0,1,1.0,0.75
1_128a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_128b,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_128c,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_129a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_129b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_129c,1,0,0.0,0,0.0,1,1.0,1,1.0,0.5
1_130a,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_130b,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_130c,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_131a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
1_131b,1,1,1.0,1,1.0,1,1.0,1,1.0,1.0
1_131c,0,0,1.0,0,1.0,0,1.0,0,1.0,1.0
1_132a,2,2,1.0,2,1.0,2,1.0,2,1.0,1.0
