premise,hypothesis,label,unique_id
a child sitting on a lawn chair looking up at the camera,A child looks at the camera.,0,0_776c
Black man in white shirt shaving another man's head.,Someone is getting their head shaved.,0,0_813a
Black man in white shirt shaving another man's head.,A black man is having their head shaved.,1,0_813b
Black man in white shirt shaving another man's head.,A woman is getting a haircut.,2,0_813c
Two short-haired children stand; one has an axe.,Two girls in pony tails are swimmimg.,2,0_820a
Two short-haired children stand; one has an axe.,Two children have an axe.,0,0_820b
Two short-haired children stand; one has an axe.,Two short-haired children are standing around.,1,0_820c
A man sitting on a bench with his bicycle leaning against a railing.,The man rides his bike through the park.,2,0_870a
A man sitting on a bench with his bicycle leaning against a railing.,A man takes a break from his bike ride to sit on a bench.,1,0_870b
A man sitting on a bench with his bicycle leaning against a railing.,A man rests outside on a bench.,0,0_870c
"A true cowboy, this man holds on during an exciting rodeo moment.",Cowboy holds onto his hat and goes for his 8 second record.,1,0_905a
"A true cowboy, this man holds on during an exciting rodeo moment.",Business man adjusts tie in front of mirror.,2,0_905b
"A true cowboy, this man holds on during an exciting rodeo moment.",Man holds on.,0,0_905c
"A man in a pink, purple, and turquoise suit converses with a child.",A man in a dress beats a child.,2,0_977a
"A man in a pink, purple, and turquoise suit converses with a child.",A man in a suit converses with a child.,0,0_977b
"A man in a pink, purple, and turquoise suit converses with a child.",A man teaches a child a lesson.,1,0_977c
"An apparently homemade pontoon boat with five people is seen approaching the bank of a river or lake shore on a cloudless, calm day.",A homemade boat appraoches a river bank.,0,0_1030a
"An apparently homemade pontoon boat with five people is seen approaching the bank of a river or lake shore on a cloudless, calm day.",A speed boat speeds down the water during a race.,2,0_1030b
"An apparently homemade pontoon boat with five people is seen approaching the bank of a river or lake shore on a cloudless, calm day.",A red boat approaches a river bank.,1,0_1030c
A boy is riding a plastic sled down a snowy surface.,A boy is outside.,0,0_1042a
A boy is riding a plastic sled down a snowy surface.,A boy is sledding with his friends.,1,0_1042b
A boy is riding a plastic sled down a snowy surface.,A boy is making a sand castle.,2,0_1042c
A man falling over in an ocean wave,A man falling over in the ocean.,0,0_1052a
A man falling over in an ocean wave,A man falling over in water.,1,0_1052b
A man falling over in an ocean wave,A woman falling over in an ocean wave,2,0_1052c
Two children are ringing a bell.,They are trying to be irritating.,1,0_1181a
Two children are ringing a bell.,The children are ringing a bell.,0,0_1181b
Two children are ringing a bell.,The children are siting quietly.,2,0_1181c
A little girl in a swing laughs.,The girl is sleeping in her bed.,2,0_1254a
A little girl in a swing laughs.,The girl is laughing.,0,0_1254b
A little girl in a swing laughs.,The girl is at the park.,1,0_1254c
One boy pushes a shopping cart with another smaller boy standing up in it.,The boys are both at home napping.,2,0_1269a
One boy pushes a shopping cart with another smaller boy standing up in it.,There are two boys with a shopping cart.,0,0_1269b
One boy pushes a shopping cart with another smaller boy standing up in it.,They are in a store.,1,0_1269c
A girl in a orange shirt and a guy in a black shirt are watching a creek.,A girl an orange shirt with a guy in a black shirt watching a creek.,0,0_1303a
A girl in a orange shirt and a guy in a black shirt are watching a creek.,A man wearing a white shirt.,2,0_1303b
A girl in a orange shirt and a guy in a black shirt are watching a creek.,A girl wearing an orange sweater.,1,0_1303c
Many people are walking along side an old steam engine.,Humans near a train.,0,0_1308a
Many people are walking along side an old steam engine.,A group of family members near an old steam engine.,1,0_1308b
Many people are walking along side an old steam engine.,A single man climbs aboard a steam engine.,2,0_1308c
A small white dog pulls a large stick out of the water.,The dog is black and weighs 100 pounds.,2,0_1371a
A small white dog pulls a large stick out of the water.,A little white dog is getting a stick.,0,0_1371b
A small white dog pulls a large stick out of the water.,The small dog is playing fetch with his owner.,1,0_1371c
Man with a bicycle and helmet.,Someone wore a helmet.,0,0_1424a
Man with a bicycle and helmet.,The helmet was blue.,1,0_1424b
Man with a bicycle and helmet.,The man with a bicycle was sewing a patch on his quilt.,2,0_1424c
A child is performing a jump kick pose in midair over a red couch.,A human performing,0,0_1445a
A child is performing a jump kick pose in midair over a red couch.,Funny humans performing,1,0_1445b
A child is performing a jump kick pose in midair over a red couch.,Nobody is performing,2,0_1445c
a man holds a pro Judea protest sign at a protest rally,a man holding a protest sign with bright colors,1,0_1455a
a man holds a pro Judea protest sign at a protest rally,a man holding a protest sign,0,0_1455b
a man holds a pro Judea protest sign at a protest rally,a man holding a child,2,0_1455c
People crowd a smoky street.,People gathered outside,0,0_1502a
People crowd a smoky street.,A single person sitting in their bed,2,0_1502b
People crowd a smoky street.,People celebrating 420,1,0_1502c
Bicyclists wearing smiles ride on a sunny day in an urban landscape.,Bike riders are beaming as they rid in the urban area,0,0_1544a
Bicyclists wearing smiles ride on a sunny day in an urban landscape.,Bike riders enjoy walking in the marathon,2,0_1544b
Bicyclists wearing smiles ride on a sunny day in an urban landscape.,Bike riders are smiling and in a bike race,1,0_1544c
Man in shorts putting air in the tire of his bike attached to the back of his car.,A man is trying to get back to cycling,1,0_1644a
Man in shorts putting air in the tire of his bike attached to the back of his car.,A man is wearing jeans,2,0_1644b
Man in shorts putting air in the tire of his bike attached to the back of his car.,A man is wearing shorts,0,0_1644c
A skateboarder grinding a lip.,There are no people around.,2,0_1658a
A skateboarder grinding a lip.,A skateboarder is outside.,1,0_1658b
A skateboarder grinding a lip.,A person has a skateboard.,0,0_1658c
A girl uses pen and ink to write on paper.,The girl is writing to her mother.,1,0_1665a
A girl uses pen and ink to write on paper.,A girl is writing.,0,0_1665b
A girl uses pen and ink to write on paper.,The girl is eating Chinese food.,2,0_1665c
Woman pushing a bicycle along the sidewalk.,She is beside a road.,1,0_1776a
Woman pushing a bicycle along the sidewalk.,Cannibals are vegan.,2,0_1776b
Woman pushing a bicycle along the sidewalk.,Woman pushes a bike.,0,0_1776c
A young baseball player leans in to catch the ball with his gloved right hand.,Baseball player caught the winning ball,1,0_1833a
A young baseball player leans in to catch the ball with his gloved right hand.,Baseball player catches ball,0,0_1833b
A young baseball player leans in to catch the ball with his gloved right hand.,Baseball player up to bat,2,0_1833c
A girl is hanging on the fence watching a horse.,A girl is watching a horse while other horses are nearby.,1,0_1864a
A girl is hanging on the fence watching a horse.,A girl is watching a dog.,2,0_1864b
A girl is hanging on the fence watching a horse.,There is a horse and a girl.,0,0_1864c
The trolley carrying people is pictured in front of a building.,A picture set outside.,1,0_1874a
The trolley carrying people is pictured in front of a building.,The trolley moving along the cable.,2,0_1874b
The trolley carrying people is pictured in front of a building.,The picture of trolley in front of a building.,0,0_1874c
A dog retrieving a newspaper inside a dining room.,The dog is bringing the paper to his master.,1,0_1899a
A dog retrieving a newspaper inside a dining room.,An animal is bringing the paper.,0,0_1899b
A dog retrieving a newspaper inside a dining room.,A cat is retrieving the newspaper.,2,0_1899c
A laughing boy lies on a pit of blue balls.,A boy is laughing.,0,0_1917a
A laughing boy lies on a pit of blue balls.,A boy cries on a porch.,2,0_1917b
A laughing boy lies on a pit of blue balls.,A boy laughs while playing in a bouncy castle.,1,0_1917c
A man in a red jacket takes pictures of graffiti.,A man is taking a a photo.,0,0_1922a
A man in a red jacket takes pictures of graffiti.,The man is scrubbing graffiti off the wall.,2,0_1922b
A man in a red jacket takes pictures of graffiti.,The graffiti is gang related.,1,0_1922c
Two dark-haired men are talking by a large window.,The men are partners at a local law firm.,1,0_1930a
Two dark-haired men are talking by a large window.,There are two men in this picture,0,0_1930b
Two dark-haired men are talking by a large window.,The men are playing volleyball down by the ocean.,2,0_1930c
Two skiers attempt tricks while a third poses behind their jump.,Three skiers are sitting by a fireplace.,2,0_1987a
Two skiers attempt tricks while a third poses behind their jump.,A group of skiers is wearing skis,0,0_1987b
Two skiers attempt tricks while a third poses behind their jump.,Two skiers are smiling at the camera.,1,0_1987c
A large white bird flies out of the water.,The dog scared the bird out of the water.,1,0_1998a
A large white bird flies out of the water.,The birds have already left for the winter.,2,0_1998b
A large white bird flies out of the water.,The large white bird is a duck.,1,0_1998c
A girl cringes when drops of water come her way.,The girl is playing near a fountain.,1,0_2082a
A girl cringes when drops of water come her way.,The girl is covered in sand from the sandbox.,2,0_2082b
A girl cringes when drops of water come her way.,A child is in the path of a spray of water.,0,0_2082c
A man in a dark wetsuit surfing in a blue watered ocean.,A man is outdoors.,0,0_2099a
A man in a dark wetsuit surfing in a blue watered ocean.,A man is surfing while on vacation.,1,0_2099b
A man in a dark wetsuit surfing in a blue watered ocean.,A man is sitting on a couch.,2,0_2099c
People relax in the grass at nighttime during a carnival.,People are running around in the day time at a carnival.,2,0_2169a
People relax in the grass at nighttime during a carnival.,A group of people are at carnival.,0,0_2169b
People relax in the grass at nighttime during a carnival.,A few people are sitting on a bench relaxing at a carnival.,1,0_2169c
A man in green scrubs is performing surgery.,Someone is having an operation.,0,0_2209a
A man in green scrubs is performing surgery.,A man in green scrubs is holding a scalpel.,1,0_2209b
A man in green scrubs is performing surgery.,A man in green scrubs is eating a sandwich.,2,0_2209c
"Three men are standing on a baseball diamond, the hitter is swinging his bat at a incoming ball.",The hitter is holding the bat.,0,0_2227a
"Three men are standing on a baseball diamond, the hitter is swinging his bat at a incoming ball.",The men are wearing white uniforms.,1,0_2227b
"Three men are standing on a baseball diamond, the hitter is swinging his bat at a incoming ball.",The men are standing on the basketball court.,2,0_2227c
"Two men are playing music, one is wearing a black and beige jacket and singing and the other is playing guitar and wearing a t-shirt.","Two men are playing music, one is wearing a black and beige jacket and singing with a microphone in his hands and the other is playing an acoustic guitar and wearing a t-shirt.",1,0_2246a
"Two men are playing music, one is wearing a black and beige jacket and singing and the other is playing guitar and wearing a t-shirt.",Two men are playing music; one is playing the xylophone and the other is playing the tambourine.,2,0_2246b
"Two men are playing music, one is wearing a black and beige jacket and singing and the other is playing guitar and wearing a t-shirt.",Two men engage in a musical performance.,0,0_2246c
A closeup of a woman drinking something with a green straw.,A woman is using a green straw in her drink,0,0_2255a
A closeup of a woman drinking something with a green straw.,A woman is eating pizza with a knife and fork,2,0_2255b
A closeup of a woman drinking something with a green straw.,A woman is drinking daiquiris with a green straw,1,0_2255c
A man is washing his face with water from a wooden bowl.,The man's face is wet.,0,0_2268a
A man is washing his face with water from a wooden bowl.,The man is driving a car down a road.,2,0_2268b
A man is washing his face with water from a wooden bowl.,The man is getting ready to shave his face.,1,0_2268c
These people are crosscountry skiing.,The cross-country skiers are sitting on the couch.,2,0_2275a
These people are crosscountry skiing.,The skiers are dressed in knitted hats and scarves.,1,0_2275b
These people are crosscountry skiing.,The people are skiing in cross-country style.,0,0_2275c
Two swimmers are jumping off the tall rock into the water.,Two swimmers are jumping into water with a lot of fish.,1,0_2280a
Two swimmers are jumping off the tall rock into the water.,Two swimmers are jumping off a diving board.,2,0_2280b
Two swimmers are jumping off the tall rock into the water.,Two swimmers are being daring.,0,0_2280c
A man is performing a physical feat as people walk by and watch his performance.,A man is performing on the street.,0,0_2293a
A man is performing a physical feat as people walk by and watch his performance.,A street performer is trying to make money.,1,0_2293b
A man is performing a physical feat as people walk by and watch his performance.,A man falls of a wall near the street.,2,0_2293c
A little girl in a red sweater and red headband holds onto a tree limb and sticks out her tongue.,Nobody is climbing,2,0_2322a
A little girl in a red sweater and red headband holds onto a tree limb and sticks out her tongue.,A human climing,0,0_2322b
A little girl in a red sweater and red headband holds onto a tree limb and sticks out her tongue.,A tall human climbing,1,0_2322c
People setting up chairs for some kind of event in front of a big building.,People setting up chairs for some kind of event,0,0_2327a
People setting up chairs for some kind of event in front of a big building.,People setting up lots of chairs for some kind of event,1,0_2327b
People setting up chairs for some kind of event in front of a big building.,People setting up chairs for the end of the world,2,0_2327c
Woman looking at a map of a city.,The man looks at the paper,2,0_2340a
Woman looking at a map of a city.,The woman looks at the map.,0,0_2340b
Woman looking at a map of a city.,The woman is lost.,1,0_2340c
Women swimmers are forming an elaborate shape in the middle of a huge pool.,The swimmers are part of a team.,1,0_2378a
Women swimmers are forming an elaborate shape in the middle of a huge pool.,The swimmers are swimming together.,0,0_2378b
Women swimmers are forming an elaborate shape in the middle of a huge pool.,The swimmers have not started swimming yet.,2,0_2378c
A group of people riding a walking belt at the airport.,The people are on the subway.,2,0_2401a
A group of people riding a walking belt at the airport.,The people are on the belt at the airport.,0,0_2401b
A group of people riding a walking belt at the airport.,The people are going home.,1,0_2401c
A woman working behind a restaurant counter.,A woman is working at a restaurant to pay off student loans.,1,0_2466a
A woman working behind a restaurant counter.,A woman is sleeping in a hammock.,2,0_2466b
A woman working behind a restaurant counter.,A woman works at a restaurant.,0,0_2466c
Two people standing on the beach on a cloudy day posing for the camera.,Two people smiling on the beach.,1,0_2471a
Two people standing on the beach on a cloudy day posing for the camera.,Two people climbing a tree.,2,0_2471b
Two people standing on the beach on a cloudy day posing for the camera.,Two people on the beach.,0,0_2471c
A female cheerleader is being held up by one male cheerleader while two other male cheerleaders stand to the side.,Cheerleaders perform.,0,0_2581a
A female cheerleader is being held up by one male cheerleader while two other male cheerleaders stand to the side.,Some people sit on the ground.,2,0_2581b
A female cheerleader is being held up by one male cheerleader while two other male cheerleaders stand to the side.,Some young people are in front of an audience.,1,0_2581c
A small child is getting ready to take a picture.,The child has a camera.,0,0_2583a
A small child is getting ready to take a picture.,The child does not have a camera.,2,0_2583b
A small child is getting ready to take a picture.,The girl is taking a picture of the dog.,1,0_2583c
A model taking pictures in a brown dress.,a model in overalls taking pictures.,2,0_2615a
A model taking pictures in a brown dress.,a model taking pictures for her portfolio.,1,0_2615b
A model taking pictures in a brown dress.,a model taking pictures.,0,0_2615c
Two woman dancing outside.,Two men are dancing inside.,2,0_2626a
Two woman dancing outside.,Two people are dancing.,0,0_2626b
Two woman dancing outside.,Two women are swing dancing outside.,1,0_2626c
An African American man walking down the street.,The man is outside.,0,0_2687a
An African American man walking down the street.,The man is swimming in a pool.,2,0_2687b
An African American man walking down the street.,The man is enjoying the fresh air.,1,0_2687c
Two people are playing on a teeter totter.,a couple play on teeter totter,1,0_2807a
Two people are playing on a teeter totter.,a man shoots,2,0_2807b
Two people are playing on a teeter totter.,two kids play on teeter totter,0,0_2807c
A group of four people in blue clothes cleaning a hillside in front of a small town.,Four people are dressed up,1,0_2849a
A group of four people in blue clothes cleaning a hillside in front of a small town.,Four people are wearing blue,0,0_2849b
A group of four people in blue clothes cleaning a hillside in front of a small town.,Four people are sleeping.,2,0_2849c
Two men and a woman singing and playing instruments on a stage.,The men and a woman try out for a cheerleading squad.,2,0_2979a
Two men and a woman singing and playing instruments on a stage.,The men and the woman sing and play instruments on stage.,0,0_2979b
Two men and a woman singing and playing instruments on a stage.,The men and a woman audition for a band.,1,0_2979c
A person wearing a lifevest is in the air above water.,A person is wearing an orange life vest.,1,0_3025a
A person wearing a lifevest is in the air above water.,A person is wearing water safety gear.,0,0_3025b
A person wearing a lifevest is in the air above water.,A person is floating in the water.,2,0_3025c
Two firefighters are walking towards the firetruck.,16 firefighters are leaving their trucks.,2,0_3040a
Two firefighters are walking towards the firetruck.,two firefighters are going to their truck,0,0_3040b
Two firefighters are walking towards the firetruck.,two firefighters are walking to their truck which is ablaze.,1,0_3040c
A guy wearing green on a dirt bike.,A man is riding a dirt bike on a mountain trail.,1,0_3057a
A guy wearing green on a dirt bike.,A man is driving a car.,2,0_3057b
A guy wearing green on a dirt bike.,A man is on a dirt bike.,0,0_3057c
A father and his boy focusing through a telescope.,A father teaches his son about the stars.,1,0_3071a
A father and his boy focusing through a telescope.,A father and sun use a scope.,0,0_3071b
A father and his boy focusing through a telescope.,A boy mops.,2,0_3071c
A bunch of people of all ages wearing costumes.,People are dancing in costumes,1,0_3091a
A bunch of people of all ages wearing costumes.,People are eating dinner,2,0_3091b
A bunch of people of all ages wearing costumes.,People are wearing costumes,0,0_3091c
Two men in a garage are fixing the engine of a car.,Two men are fixing a car.,0,0_3170a
Two men in a garage are fixing the engine of a car.,Two men are fixing a motor bike.,2,0_3170b
Two men in a garage are fixing the engine of a car.,Two men are fixing a car for their friend.,1,0_3170c
A little girl and boy are playing in the water.,Two kids are sleeping,2,0_3177a
A little girl and boy are playing in the water.,A brother and sister are playing in the pool,1,0_3177b
A little girl and boy are playing in the water.,There are kids in the water,0,0_3177c
A hockey player tries to make a goal while the goalie and another player look on.,Three men are drinking hot chocolate.,2,0_3209a
A hockey player tries to make a goal while the goalie and another player look on.,A player is trying to score the winning goal in a hockey match,1,0_3209b
A hockey player tries to make a goal while the goalie and another player look on.,Three men are on an ice rink playing hockey.,0,0_3209c
A soccer team celebrates a win as confetti canons explode around them.,A team is celebrating,0,0_3225a
A soccer team celebrates a win as confetti canons explode around them.,The team lost their game,2,0_3225b
A soccer team celebrates a win as confetti canons explode around them.,The team is all women,1,0_3225c
a man and a woman are about to kiss,a man and a woman are about to kiss in the moonlight.,1,0_3277a
a man and a woman are about to kiss,a man and a woman are about to kiss,0,0_3277b
a man and a woman are about to kiss,A man and a woman just rolled out of bed.,2,0_3277c
Several men are gathered around musical instruments and a microphone.,A band is gathered around musical instruments.,1,0_3310a
Several men are gathered around musical instruments and a microphone.,Men are gathered around musical instruments.,0,0_3310b
Several men are gathered around musical instruments and a microphone.,A soloist is performing.,2,0_3310c
Biker with helmet riding a green dirt bike midair.,The person on the dirt bike is doing a jump outside.,0,0_3350a
Biker with helmet riding a green dirt bike midair.,The biker is competing for a title.,1,0_3350b
Biker with helmet riding a green dirt bike midair.,The man is washing his bike.,2,0_3350c
A lady in red gloves on ski's has four people behind her.,a lady is sitting in her bed,2,0_3359a
A lady in red gloves on ski's has four people behind her.,a lady is outside,0,0_3359b
A lady in red gloves on ski's has four people behind her.,a lady is going to go skiing down a hill,1,0_3359c
A crowd is present at a bar.,People are at a bar.,0,0_3369a
A crowd is present at a bar.,People are in the park.,2,0_3369b
A crowd is present at a bar.,The people are drunk.,1,0_3369c
An older gentleman sitting and a young man standing in a control booth.,Two men located in a control booth.,0,0_3395a
An older gentleman sitting and a young man standing in a control booth.,Two men are sitting together.,2,0_3395b
An older gentleman sitting and a young man standing in a control booth.,Two men are busy at work.,1,0_3395c
The street is crowded with many people with coats on.,The are many people outdoors.,0,0_3487a
The street is crowded with many people with coats on.,A group of people sit in church and listen the sermon.,2,0_3487b
The street is crowded with many people with coats on.,The weather is chilly.,1,0_3487c
A man wearing work gloves is sawing a limb off of a fallen tree.,A guy is relaxing on his couch,2,0_3508a
A man wearing work gloves is sawing a limb off of a fallen tree.,A man is working outside,0,0_3508b
A man wearing work gloves is sawing a limb off of a fallen tree.,A man is in a forest,1,0_3508c
Woman in a blue and white striped shirt with a straw cowboy hat on.,A woman is wearing a cowboy hat.,0,0_3543a
Woman in a blue and white striped shirt with a straw cowboy hat on.,A woman is wearing a top hat to the ball.,2,0_3543b
Woman in a blue and white striped shirt with a straw cowboy hat on.,A woman is wearing a cowboy hat to the rodeo.,1,0_3543c
An equestrian rider in uniform jumps their white horse over a fence.,The rider is riding a brown pony.,2,0_3553a
An equestrian rider in uniform jumps their white horse over a fence.,A person is riding a horse.,0,0_3553b
An equestrian rider in uniform jumps their white horse over a fence.,The rider has a long ponytail.,1,0_3553c
A baby and a young child are sitting together in a highchair.,Two children are sitting together,0,0_3581a
A baby and a young child are sitting together in a highchair.,Two dogs are barking,2,0_3581b
A baby and a young child are sitting together in a highchair.,children are together,1,0_3581c
"Children standing in snow, across the street from two houses.",There are children outside.,0,0_3593a
"Children standing in snow, across the street from two houses.",Children are standing near houses.,1,0_3593b
"Children standing in snow, across the street from two houses.",The children maybe playing in the snow.,2,0_3593c
A man stands by a building playing a wooden electric guitar.,The man is old.,1,0_3649a
A man stands by a building playing a wooden electric guitar.,The man is sitting.,2,0_3649b
A man stands by a building playing a wooden electric guitar.,A man is standing.,0,0_3649c
A young Mexican woman is in the foreground of a room filled with seated people.,The woman has blonde hair.,1,0_3656a
A young Mexican woman is in the foreground of a room filled with seated people.,The woman is american.,2,0_3656b
A young Mexican woman is in the foreground of a room filled with seated people.,A young woman is in a room.,0,0_3656c
Two young women sitting on a doorstep.,Two young women are talking on the doorstep.,1,0_3666a
Two young women sitting on a doorstep.,The two women sitting down are young.,0,0_3666b
Two young women sitting on a doorstep.,Two old women are sitting on the doorstep.,2,0_3666c
Two people having a conversation around a coffee table in a room with windows.,The person are at a business meeting about where to build the next building.,1,0_3754a
Two people having a conversation around a coffee table in a room with windows.,People are talking in a room with windows.,0,0_3754b
Two people having a conversation around a coffee table in a room with windows.,Three people having a conversation around a coffee table in a room with windows.,2,0_3754c
A young boy sits on a rock overlooking a scenic view of mountains.,A young girl sits on a rock overlooking a scenic view of mountains.,2,0_3780a
A young boy sits on a rock overlooking a scenic view of mountains.,A boy sits on a rock overlooking a scenic view of mountains.,0,0_3780b
A young boy sits on a rock overlooking a scenic view of mountains.,A sad boy sits on a rock overlooking a scenic view of mountains.,1,0_3780c
Three children watching the men working outside from the window.,The children are working while the men watch from the window.,2,0_3783a
Three children watching the men working outside from the window.,The children were told to leave them alone and let them work.,1,0_3783b
Three children watching the men working outside from the window.,The children are watching the men work.,0,0_3783c
A young Asian girl prays in front of a candle.,A young Asian girl praying in a church.,1,0_3790a
A young Asian girl prays in front of a candle.,A child praying.,0,0_3790b
A young Asian girl prays in front of a candle.,A Asian girl playing softball.,2,0_3790c
An elderly man wearing a red sweater is sitting on a stone bench talking to a balding man wearing a purple sweater.,The elderly man is wearing a gray sweater talking to a man with long hair.,2,0_3929a
An elderly man wearing a red sweater is sitting on a stone bench talking to a balding man wearing a purple sweater.,They are on a stone bench in a park.,1,0_3929b
An elderly man wearing a red sweater is sitting on a stone bench talking to a balding man wearing a purple sweater.,The man in the red sweater is old.,0,0_3929c
Five people at a table eating.,The five people are sitting at the table eating.,1,0_3966a
Five people at a table eating.,The people are ingesting food.,0,0_3966b
Five people at a table eating.,The five people are discussing politics.,2,0_3966c
Cedar Park football team quarterback passing the ball.,The quarterback is passing a basketball.,2,0_4084a
Cedar Park football team quarterback passing the ball.,The quarterback is throwing the ball.,0,0_4084b
Cedar Park football team quarterback passing the ball.,The quarterback is wearing a helmet.,1,0_4084c
A young man and woman in shorts and t-shirts are playing a video game.,children playing checkers,2,0_4091a
A young man and woman in shorts and t-shirts are playing a video game.,a couple playing DotA 2,1,0_4091b
A young man and woman in shorts and t-shirts are playing a video game.,a couple playing games,0,0_4091c
A kneeling dark-haired woman with a nose ring hugs a small child.,Someone is kneeling so they can reach a small child,0,0_4121a
A kneeling dark-haired woman with a nose ring hugs a small child.,A woman is kneeling to hug a large child,2,0_4121b
A kneeling dark-haired woman with a nose ring hugs a small child.,A kneeling woman hugs a child,0,0_4121c
"A couple walks down the street at night, past the Orient Hotel.",The newlyweds are walking to their upscale hotel just 3 blocks east of the Orient Hotel.,1,0_4171a
"A couple walks down the street at night, past the Orient Hotel.",The 2 people are sitting on a bench waiting for a taxi.,2,0_4171b
"A couple walks down the street at night, past the Orient Hotel.",The two people are outside this evening.,0,0_4171c
"Lady wearing a navy blue jacket and pink beanie helping a child wearing purple bibs, pink long-sleeve, white fuzzy scarf and white beaning lace up her ice skates.",The teacher is lacing the child's skates so they can start their lesson.,1,0_4177a
"Lady wearing a navy blue jacket and pink beanie helping a child wearing purple bibs, pink long-sleeve, white fuzzy scarf and white beaning lace up her ice skates.",The boys are in the yard.,2,0_4177b
"Lady wearing a navy blue jacket and pink beanie helping a child wearing purple bibs, pink long-sleeve, white fuzzy scarf and white beaning lace up her ice skates.",The woman is helping the child put on ice skates.,0,0_4177c
"A man in red, white and blue is ice skating in a rink.",A naked man is sitting,2,0_4208a
"A man in red, white and blue is ice skating in a rink.",An American Olympian is performing his routine on ice.,1,0_4208b
"A man in red, white and blue is ice skating in a rink.",A person is skating,0,0_4208c
A man with a chainsaw is carving wood into a statue of a man.,A man carves a statue of his lover.,1,0_4287a
A man with a chainsaw is carving wood into a statue of a man.,A man wields a chainsaw.,0,0_4287b
A man with a chainsaw is carving wood into a statue of a man.,A woman sits at home at night.,2,0_4287c
A dog on the beach has a ball in its mouth.,A dog is carrying tennis balls.,1,0_4289a
