premise,hypothesis,label,unique_id
"A building with a large sign which reads, ""Pain is Temporary, Quitting Lasts Forever"".",The words are painted in red.,1,1_820a
"A building with a large sign which reads, ""Pain is Temporary, Quitting Lasts Forever"".",A building has an inspirational sign on it.,0,1_820b
"A building with a large sign which reads, ""Pain is Temporary, Quitting Lasts Forever"".",The building is painted solid with no decoration.,2,1_820c
Two men wearing orange safety jackets working on repairing electrical lines in the tunnel underground.,There are three women doing a kick routine in the rain.,2,1_870a
Two men wearing orange safety jackets working on repairing electrical lines in the tunnel underground.,The men are fixing something.,0,1_870b
Two men wearing orange safety jackets working on repairing electrical lines in the tunnel underground.,The men work for the power company.,1,1_870c
A group of people enjoy a drink around a table.,"A group of people sitting at a bar, enjoy a drink.",2,1_905a
A group of people enjoy a drink around a table.,The people at the table are enjoying a drink.,0,1_905b
A group of people enjoy a drink around a table.,The people at the table are happily enjoying a drink.,1,1_905c
Two people are on top of a cannon.,Two people are on a cannon.,0,1_977a
Two people are on top of a cannon.,Two people are doing karate.,2,1_977b
Two people are on top of a cannon.,Two people are on a cannon and another person comes along.,1,1_977c
Woman wearing club wear walking.,Women wearing wedding dresses walking.,2,1_1030a
Woman wearing club wear walking.,Clothed people in motion.,0,1_1030b
Woman wearing club wear walking.,Women going to a dance club.,1,1_1030c
A man with glasses and a green shirt is sitting to a desk.,A guy is sitting at a desk.,0,1_1042a
A man with glasses and a green shirt is sitting to a desk.,A lady is sitting on a wall.,2,1_1042b
A man with glasses and a green shirt is sitting to a desk.,A guy is sitting at a desk working.,1,1_1042c
Two postal workers are smiling while holding bins of canned goods.,The postal workers are happy.,1,1_1052a
Two postal workers are smiling while holding bins of canned goods.,One postal worker is smiling.,2,1_1052b
Two postal workers are smiling while holding bins of canned goods.,Two postal workers are smiling.,0,1_1052c
A couple dressed in formal wear is kissing by a lake.,The couple are having sex by a lake.,0,1_1181a
A couple dressed in formal wear is kissing by a lake.,A couple are inside a house.,2,1_1181b
A couple dressed in formal wear is kissing by a lake.,A couple are talking to each other by a lake.,2,1_1181c
"Two men in karate uniforms, one with red gloves and belt and the other with blue gloves and belt, box, while the man in blue is making a face as if her were screaming.",Three men are wearing karate gear.,0,1_1254a
"Two men in karate uniforms, one with red gloves and belt and the other with blue gloves and belt, box, while the man in blue is making a face as if her were screaming.",The karate instructor is annoyed with his students.,1,1_1254b
"Two men in karate uniforms, one with red gloves and belt and the other with blue gloves and belt, box, while the man in blue is making a face as if her were screaming.",The men are fighting in the boxing ring.,2,1_1254c
Soccer players standing around during a stoppage for an injured player.,The player walk into the tunnel.,2,1_1269a
Soccer players standing around during a stoppage for an injured player.,The players check on theeir comrade.,1,1_1269b
Soccer players standing around during a stoppage for an injured player.,People standing around.,0,1_1269c
A horse has bucked in an arena and the rider is coming off of its back in midair in front of a crowd in the stands.,A horse is running in the field.,2,1_1303a
A horse has bucked in an arena and the rider is coming off of its back in midair in front of a crowd in the stands.,A horse bucks and hurts the rider and another horse steps on the rider.,1,1_1303b
A horse has bucked in an arena and the rider is coming off of its back in midair in front of a crowd in the stands.,A horse gets wild and the rider falls.,0,1_1303c
A girl shows her camera to other girls.,The women is showing things to her friends.,1,1_1308a
A girl shows her camera to other girls.,The person shows her device to the other people.,0,1_1308b
A girl shows her camera to other girls.,A girl shows her purse to the other girls.,2,1_1308c
A kid is drinking juice out of a juice packet.,The child drinks from the juice packet.,0,1_1371a
A kid is drinking juice out of a juice packet.,The adults fight over the juice packet.,2,1_1371b
A kid is drinking juice out of a juice packet.,The girl is drinking juice from the juice packet at lunch.,1,1_1371c
A man is walking on a road in front of a blue and white wall.,Someone is walking on the road.,0,1_1424a
A man is walking on a road in front of a blue and white wall.,A man is driving home.,2,1_1424b
A man is walking on a road in front of a blue and white wall.,A man is walking home.,1,1_1424c
A lady scared about balancing on a rope on a shore.,A person balancing on a rope.,0,1_1445a
A lady scared about balancing on a rope on a shore.,A lady in a leotard is balancing on a rope.,1,1_1445b
A lady scared about balancing on a rope on a shore.,A clown is laughing while balancing on a rope on a shore.,2,1_1445c
This is a closeup of weathered hands performing work with a type of string on a board.,The board of strings are made by hands.,1,1_1455a
This is a closeup of weathered hands performing work with a type of string on a board.,The hands of a person are working to string a board.,0,1_1455b
This is a closeup of weathered hands performing work with a type of string on a board.,The closeup of perfect hands are working on knitting.,2,1_1455c
"A young preschool aged girl in a dress with blue shoes, holding a blue bat.",A young little girl is holding a bat.,0,1_1502a
"A young preschool aged girl in a dress with blue shoes, holding a blue bat.",A little girl is playing baseball with a blue bat.,1,1_1502b
"A young preschool aged girl in a dress with blue shoes, holding a blue bat.",A boy is sitting in class.,2,1_1502c
2 police officers with helmets on are looking down at something and are riding on horseback.,Two cops are riding horses.,0,1_1544a
2 police officers with helmets on are looking down at something and are riding on horseback.,Two cops are running after a burgler.,2,1_1544b
2 police officers with helmets on are looking down at something and are riding on horseback.,Cops giving directions from atop horses.,1,1_1544c
A person in a red jacket singing while playing the electric guitar.,The rock star sings his latest song at the concert.,1,1_1644a
A person in a red jacket singing while playing the electric guitar.,A musician is performing.,0,1_1644b
A person in a red jacket singing while playing the electric guitar.,A shirtless man sings while playing his ukulele.,2,1_1644c
"Two males in cowboy hats, one a young man in a dark blue shirt and the other, an adolescent in a light pink shirt, are preparing for something in a ranch or fair setting.",Several cowboys attend to their horses.,1,1_1658a
"Two males in cowboy hats, one a young man in a dark blue shirt and the other, an adolescent in a light pink shirt, are preparing for something in a ranch or fair setting.",It is a cowboy themed party and it is packed.,1,1_1658b
"Two males in cowboy hats, one a young man in a dark blue shirt and the other, an adolescent in a light pink shirt, are preparing for something in a ranch or fair setting.",People congregate in a ranch.,0,1_1658c
Several people are rowing a boat while being cheered on by a person with a drum,Several people are rowing a boat in the river.,1,1_1665a
Several people are rowing a boat while being cheered on by a person with a drum,Several people is having a party.,2,1_1665b
Several people are rowing a boat while being cheered on by a person with a drum,Several people are in a rowing boat competition.,1,1_1665c
A man in a gray shirt and shorts sits in a walkway as two individuals pass him by.,A homeless man sits in a walkway begging while people pass him unnoticed.,1,1_1776a
A man in a gray shirt and shorts sits in a walkway as two individuals pass him by.,A man sits in a walkway while people pass him by.,0,1_1776b
A man in a gray shirt and shorts sits in a walkway as two individuals pass him by.,A well dressed business man stands in a doorway while people stop and give him money.,2,1_1776c
A man is waiting for his food to come.,A man waits.,0,1_1833a
A man is waiting for his food to come.,A woman drinks a beer.,2,1_1833b
A man is waiting for his food to come.,A man waits for his pizza.,1,1_1833c
A man with glasses on is getting suited up to go skydiving.,A man is wearing glasses.,0,1_1864a
A man with glasses on is getting suited up to go skydiving.,The man is orange.,1,1_1864b
A man with glasses on is getting suited up to go skydiving.,the man has goggles.,2,1_1864c
A biker in uniform suspended in air in front of a crowd of people.,A human is suspended in air.,0,1_1874a
A biker in uniform suspended in air in front of a crowd of people.,A biker is practicing tricks alone in the forest.,2,1_1874b
A biker in uniform suspended in air in front of a crowd of people.,A biker is wearing a police uniform.,1,1_1874c
Three women waiting at the airport with their luggage.,The women are waiting for their husbands with their bags.,1,1_1899a
Three women waiting at the airport with their luggage.,A group of women are waiting by their bags.,0,1_1899b
Three women waiting at the airport with their luggage.,Three women are fist fighting over their bags at the police station.,2,1_1899c
man dressed in orange and white hitting a tennis ball with racquet,A man playing tennis.,0,1_1917a
man dressed in orange and white hitting a tennis ball with racquet,A man is roller skating down a highway.,2,1_1917b
man dressed in orange and white hitting a tennis ball with racquet,A man is out of breath.,1,1_1917c
A group of construction workers working on a ramp that is closed.,A group of workers are working on a closed ramp.,0,1_1922a
A group of construction workers working on a ramp that is closed.,A group of construction workers are putting up drywall.,2,1_1922b
A group of construction workers working on a ramp that is closed.,The construction workers are fixing the ramp for highway use.,1,1_1922c
A man in a black coat and gray scarf walks on a sidewalk in between a fence and a row of hedges.,A sidewalk running between a fence and a row of hedges is occupied by a walking man in a black coat and gray scarf .,0,1_1930a
A man in a black coat and gray scarf walks on a sidewalk in between a fence and a row of hedges.,A woman eats her lunch in the cafeteria.,2,1_1930b
A man in a black coat and gray scarf walks on a sidewalk in between a fence and a row of hedges.,The man is in a hurry because it's cold.,1,1_1930c
Five women and a man pose for a photograph near a purple bed.,A group of people are near a bed.,0,1_1987a
Five women and a man pose for a photograph near a purple bed.,A group of people are standing near a fire.,2,1_1987b
Five women and a man pose for a photograph near a purple bed.,A group of people are posing on a bed.,1,1_1987c
"A man wearing a blue shirt and a black cap is on the phone while leaning on his left elbow, his shop is in the background.",The man is leaning on his right elbow,2,1_1998a
"A man wearing a blue shirt and a black cap is on the phone while leaning on his left elbow, his shop is in the background.",The man is resting,1,1_1998b
"A man wearing a blue shirt and a black cap is on the phone while leaning on his left elbow, his shop is in the background.",The man is on the phone,0,1_1998c
Four musicians perform on stage at a large concert venue.,They are jamming out.,0,1_2082a
Four musicians perform on stage at a large concert venue.,People are on a stage.,0,1_2082b
Four musicians perform on stage at a large concert venue.,The people are in the ocean.,2,1_2082c
A young woman in a denim skit waking in front of a garage.,The woman is wearing a short skirt.,1,1_2099a
A young woman in a denim skit waking in front of a garage.,The women is inside.,2,1_2099b
A young woman in a denim skit waking in front of a garage.,The woman is wearing a skirt.,0,1_2099c
A girl playing softball takes a strike.,A girl watches a pitch go by her.,0,1_2169a
A girl playing softball takes a strike.,"A girl plays softball and doesn't swing at a pitch, hoping it would be the 4th ball and she would get a walk.",1,1_2169b
A girl playing softball takes a strike.,A girl gets hit by a pitch in softball.,2,1_2169c
a race contestant pointing and talking to someone.,The person is using both hands to drink from a large bottle of water.,2,1_2209a
a race contestant pointing and talking to someone.,The runner showed the race official where the finish line was supposed to be.,1,1_2209b
a race contestant pointing and talking to someone.,The person gestures.,0,1_2209c
an ambulance drives on the street.,The ambulance is en route to a call.,1,1_2227a
an ambulance drives on the street.,A man runs on the path.,2,1_2227b
an ambulance drives on the street.,An ambulance goes down the street.,0,1_2227c
A man performing a trick on a bmx bike,A man is sitting at his desk.,2,1_2246a
A man performing a trick on a bmx bike,A man is performing at a bmx competition.,1,1_2246b
A man performing a trick on a bmx bike,A person is riding a bicycle.,0,1_2246c
A man is riding a board in the ocean and is being pulled from above.,A man is doing some kind of recreation at the ocean.,0,1_2255a
A man is riding a board in the ocean and is being pulled from above.,A man is sleeping.,2,1_2255b
A man is riding a board in the ocean and is being pulled from above.,A man is surfing.,1,1_2255c
Two girls in a hallway the girl in green is sticking her finger in the other girls mouth.,Two girls are playing in a hallway.,1,1_2268a
Two girls in a hallway the girl in green is sticking her finger in the other girls mouth.,Two girls are in a classroom.,2,1_2268b
Two girls in a hallway the girl in green is sticking her finger in the other girls mouth.,One girl has a finger in the other girl's mouth.,0,1_2268c
An older man in a jacket making cookies.,An older man is eating a cookie.,2,1_2275a
An older man in a jacket making cookies.,An older man in a red jacket is making cookies.,1,1_2275b
An older man in a jacket making cookies.,An older man is making cookies and wearing a jacket.,0,1_2275c
A group of dancers are performing with matching outfits.,A dance group performs in matching outfits.,0,1_2280a
A group of dancers are performing with matching outfits.,A dance group performs at school,1,1_2280b
A group of dancers are performing with matching outfits.,A dance group falls down.,2,1_2280c
A woman throwing a white trash-bag into a dumpster in front of a car.,A woman throwing a white trash-bag into a dumpster in front of a car and is talking on a cell phone.,1,1_2293a
A woman throwing a white trash-bag into a dumpster in front of a car.,A woman throwing a white trash-bag into a dumpster in front of a car.,0,1_2293b
A woman throwing a white trash-bag into a dumpster in front of a car.,A woman is throwing a trash bag on the truck,2,1_2293c
Medical staff looks on as a medical procedure takes place on a video monitor.,A medical staff is cooking for their patient.,2,1_2322a
Medical staff looks on as a medical procedure takes place on a video monitor.,Medical staff is learning from watching.,1,1_2322b
Medical staff looks on as a medical procedure takes place on a video monitor.,A medical staff looks on as a procedure takes place.,0,1_2322c
A bunch of businessmen are gathered for a meeting.,The businessmen are gathered to discuss their latest ventures.,1,1_2327a
A bunch of businessmen are gathered for a meeting.,A group of businessmen are playing hockey indoors.,2,1_2327b
A bunch of businessmen are gathered for a meeting.,A group of people are at a meeting.,0,1_2327c
A man on his bicycle crosses a city street.,A man is riding his unicycle across the street.,2,1_2340a
A man on his bicycle crosses a city street.,A man is riding his blue bicycle.,1,1_2340b
A man on his bicycle crosses a city street.,A man is riding a bicycle.,0,1_2340c
A band with a washboard playing for a crowd.,An older woman is demonstrating how to use a washboard to do laundry.,2,1_2378a
A band with a washboard playing for a crowd.,A bluegrass band is performing at a country fair.,1,1_2378b
A band with a washboard playing for a crowd.,A musical group is performing for an audience.,0,1_2378c
"A young, college age man, is playing his instrument of choice: the acoustic guitar.",A man is looking at his trumpet.,2,1_2401a
"A young, college age man, is playing his instrument of choice: the acoustic guitar.",A man is part of a band playing guitar on a stage.,1,1_2401b
"A young, college age man, is playing his instrument of choice: the acoustic guitar.",A young musician is making music.,0,1_2401c
A lady with a red shirt and backpack is balancing a blue tub on her head.,A tribal woman is returning from the well that is miles from the village.,1,1_2466a
A lady with a red shirt and backpack is balancing a blue tub on her head.,A guy is carrying a bucket on his head.,2,1_2466b
A lady with a red shirt and backpack is balancing a blue tub on her head.,A woman is carrying a container on her head.,0,1_2466c
People stand on a bridge over water.,The water is rushing,1,1_2471a
People stand on a bridge over water.,People are near water,0,1_2471b
People stand on a bridge over water.,The people are standing on a sidewalk,2,1_2471c
A group of people are gathered together holding red flags.,A group of people holding red flags are gathered in protest.,1,1_2581a
A group of people are gathered together holding red flags.,A group of spider monkeys holding flags are posing.,2,1_2581b
A group of people are gathered together holding red flags.,Several people are holding red flags.,0,1_2581c
A man sits in the window of a train.,The man is looking out the window.,1,1_2583a
A man sits in the window of a train.,A man is sitting.,0,1_2583b
A man sits in the window of a train.,The man is standing.,2,1_2583c
The four children are running to a brick building.,kids are running,0,1_2615a
The four children are running to a brick building.,the adults are walking at the track,2,1_2615b
The four children are running to a brick building.,the kids are going to school,1,1_2615c
A dog is shaking itself dry on the beach next to the ocean.,A dog sleeps on the beach.,2,1_2626a
A dog is shaking itself dry on the beach next to the ocean.,A dog is wet from swimming in the beach.,1,1_2626b
A dog is shaking itself dry on the beach next to the ocean.,A dog outdoors.,0,1_2626c
Six men in blue jumpsuits and a man in an orange jumpsuit walk by a shipyard.,Some people are swimming.,2,1_2687a
Six men in blue jumpsuits and a man in an orange jumpsuit walk by a shipyard.,Some people are walking outside.,0,1_2687b
Six men in blue jumpsuits and a man in an orange jumpsuit walk by a shipyard.,Some people are walking to work.,1,1_2687c
Asian school children presenting a group project together.,the children were together,0,1_2807a
Asian school children presenting a group project together.,the children were doing a project for English Class,1,1_2807b
Asian school children presenting a group project together.,the children played on the playground equipment,2,1_2807c
A man is stocking shelves while people are eating in a restaurant.,A man is at his job stocking shelves.,1,1_2849a
A man is stocking shelves while people are eating in a restaurant.,A man is putting things on the shelves.,0,1_2849b
A man is stocking shelves while people are eating in a restaurant.,A man is looking for something on the empty shelves.,2,1_2849c
At least seven people surfing with kites in a lake.,The people are surfing with kites.,0,1_2979a
At least seven people surfing with kites in a lake.,Two people are fishing.,2,1_2979b
At least seven people surfing with kites in a lake.,The men are wind surfing on a huge lake.,1,1_2979c
A girl in a wheelchair next to a girl in a red t-shit and they both have red spots on their face.,Two girls are running together.,2,1_3025a
A girl in a wheelchair next to a girl in a red t-shit and they both have red spots on their face.,The two siblings are in a hospital.,1,1_3025b
A girl in a wheelchair next to a girl in a red t-shit and they both have red spots on their face.,The two girls both have acne.,0,1_3025c
"Something seems to be better than nothing as a young adult male plays a violin near the entrance of a store with his violin case open ready to accept the ""tips"" of his fans.",A man is sleeping on the floor outdoors while begging for money.,2,1_3040a
"Something seems to be better than nothing as a young adult male plays a violin near the entrance of a store with his violin case open ready to accept the ""tips"" of his fans.",A man is trying to make enough money to pay for his next meal.,1,1_3040b
"Something seems to be better than nothing as a young adult male plays a violin near the entrance of a store with his violin case open ready to accept the ""tips"" of his fans.",A man playing music outdoors trying to make money.,0,1_3040c
"A man, woman, and two young boys are sitting on a bench with flowers in the background.",Four people are sitting on a bench with daffodils in the background.,1,1_3057a
"A man, woman, and two young boys are sitting on a bench with flowers in the background.","Two men and two women are sitting on a bench in the nude, discussing terms.",2,1_3057b
"A man, woman, and two young boys are sitting on a bench with flowers in the background.",Four people are sitting on a bench.,0,1_3057c
A little boy in a blue shirt is looking into a microscope.,The boy is playing.,1,1_3071a
A little boy in a blue shirt is looking into a microscope.,The boy has a green shirt.,2,1_3071b
A little boy in a blue shirt is looking into a microscope.,There is a boy with a blue shirt.,0,1_3071c
"A family of Africans appear as if they are preparing a meal, as the young child sits in the lap of an adult and a girl in an orange skirt begins to chop food.",The family is getting ready for dinner.,0,1_3091a
"A family of Africans appear as if they are preparing a meal, as the young child sits in the lap of an adult and a girl in an orange skirt begins to chop food.",The family is preparing for bed.,2,1_3091b
"A family of Africans appear as if they are preparing a meal, as the young child sits in the lap of an adult and a girl in an orange skirt begins to chop food.",The girl is making dinner for the first time.,1,1_3091c
"A child is sitting in a large round white seat, reading, near a pink bin full of books.","A sad child is sitting in a large round white seat, reading, near a pink bin full of books.",1,1_3170a
"A child is sitting in a large round white seat, reading, near a pink bin full of books.","A child is sitting in a round white seat, reading, near a pink bin full of books.",0,1_3170b
"A child is sitting in a large round white seat, reading, near a pink bin full of books.","A man is sitting in a large round white seat, reading, near a pink bin full of books.",2,1_3170c
A woman in a red dressed glides down a construction blocked road on a scooter.,The woman is only wearing a solid white dress.,2,1_3177a
A woman in a red dressed glides down a construction blocked road on a scooter.,The woman is wearing white heels.,1,1_3177b
A woman in a red dressed glides down a construction blocked road on a scooter.,The woman is on the road.,0,1_3177c
Two white guys with game guitars playing a video game.,The men are playing.,0,1_3209a
Two white guys with game guitars playing a video game.,The men are playing drums.,2,1_3209b
Two white guys with game guitars playing a video game.,The men are indoors.,-1,1_3209c
A group of young boys making silly faces.,A group of friends are being silly outdoors,1,1_3225a
A group of young boys making silly faces.,grown-ups are acting silly,2,1_3225b
A group of young boys making silly faces.,Children are being silly,0,1_3225c
A man in a blue t-shirt and a face-mask works with hooks.,The woman is wearing a mask.,2,1_3277a
A man in a blue t-shirt and a face-mask works with hooks.,The man is wearing blue.,0,1_3277b
A man in a blue t-shirt and a face-mask works with hooks.,The man is young.,1,1_3277c
A man in a blue hat and sandals rides fully seated on a skateboard.,A man is wearing sandals,1,1_3310a
A man in a blue hat and sandals rides fully seated on a skateboard.,A man is wearing a bluehat,0,1_3310b
A man in a blue hat and sandals rides fully seated on a skateboard.,A man is sleeping,2,1_3310c
A woman tries to cover her face while riding a moped.,A woman is walking on the beach.,2,1_3350a
A woman tries to cover her face while riding a moped.,This woman's hair is blowing in the wind.,0,1_3350b
A woman tries to cover her face while riding a moped.,A woman is trying to avoid a bug hitting her face.,1,1_3350c
A man working on a brass pot on the ground.,The man is working at a table.,2,1_3359a
A man working on a brass pot on the ground.,The brass pot has decorations on it.,1,1_3359b
A man working on a brass pot on the ground.,The pot is made of metal.,0,1_3359c
A crowded street with pedestrians being directed by police and barriers.,People being pushed by police across a street.,1,1_3369a
A crowded street with pedestrians being directed by police and barriers.,Police directing people.,0,1_3369b
A crowded street with pedestrians being directed by police and barriers.,People dancing around the street.,2,1_3369c
This New York street has a Mercedes on it.,A motorcycle is driving down the street.,2,1_3395a
This New York street has a Mercedes on it.,A car is in the street.,0,1_3395b
This New York street has a Mercedes on it.,A car is parked outside of a building.,1,1_3395c
"A group of construction workers wearing orange and yellow hats, orange reflective vests, orange pants, and brown boots are standing at a subway stop.",Nobody is standing,2,1_3487a
"A group of construction workers wearing orange and yellow hats, orange reflective vests, orange pants, and brown boots are standing at a subway stop.",Humans standing,0,1_3487b
"A group of construction workers wearing orange and yellow hats, orange reflective vests, orange pants, and brown boots are standing at a subway stop.",Tall humans standing,1,1_3487c
"An adult and child are playing monopoly, the child is covering his face with his hand.",The child is the hat.,1,1_3508a
"An adult and child are playing monopoly, the child is covering his face with his hand.",The people are playing checkers.,2,1_3508b
"An adult and child are playing monopoly, the child is covering his face with his hand.",The people are playing monopoly.,0,1_3508c
A man with a head covering.,A male with a covering.,0,1_3543a
A man with a head covering.,A woman with a leg covering.,2,1_3543b
A man with a head covering.,A big person with a head covering.,1,1_3543c
A woman covered in tattoos wearing a bright purple and red shirt.,There is one woman in this picture.,0,1_3553a
A woman covered in tattoos wearing a bright purple and red shirt.,The woman has no tattoos.,2,1_3553b
A woman covered in tattoos wearing a bright purple and red shirt.,The woman is the owner of a local tattoo parlor.,1,1_3553c
Three women sitting on a bench waiting for the bus.,They have been waiting for over a quarter hour.,1,1_3581a
Three women sitting on a bench waiting for the bus.,The three women are all made of cheese.,2,1_3581b
Three women sitting on a bench waiting for the bus.,There is a bench at the bus stop.,0,1_3581c
Soldiers lined up outside near palm trees with guns raised.,"Soldiers, with guns, lined up near the palm trees.",0,1_3593a
Soldiers lined up outside near palm trees with guns raised.,"Soldiers, with guns, lined up.",1,1_3593b
Soldiers lined up outside near palm trees with guns raised.,The army was deployed.,2,1_3593c
"A dog jumps on bed covered in pink, with hopes of playing with the ball in its mouth",A dog wants to play catch,0,1_3649a
"A dog jumps on bed covered in pink, with hopes of playing with the ball in its mouth",A dog died,2,1_3649b
"A dog jumps on bed covered in pink, with hopes of playing with the ball in its mouth",A dog is playing with it owner,1,1_3649c
A man and a woman standing on a landing between flights of stairs with a plate in the hands of the woman.,A couple standing on a landing.,1,1_3656a
A man and a woman standing on a landing between flights of stairs with a plate in the hands of the woman.,A man and woman standing on a landing.,0,1_3656b
A man and a woman standing on a landing between flights of stairs with a plate in the hands of the woman.,A man and woman sitting on a landing.,2,1_3656c
A mama bear and its cub are growling directly at one another.,A mama bear confronts her cub.,0,1_3666a
A mama bear and its cub are growling directly at one another.,A tiger attacks a lion cub.,2,1_3666b
A mama bear and its cub are growling directly at one another.,A mama bear confronts her cub over food.,1,1_3666c
This is a man crouching down while putting money into a parking meter,The man is paying for parking.,0,1_3754a
This is a man crouching down while putting money into a parking meter,The man is going shopping,1,1_3754b
This is a man crouching down while putting money into a parking meter,The man his car.,2,1_3754c
Two dogs playing next to rocks.,Dogs napping on grass.,2,1_3780a
Two dogs playing next to rocks.,Dogs looking for a toy in rocks.,1,1_3780b
Two dogs playing next to rocks.,Animals playing outside.,0,1_3780c
A man with glasses laughs together will two dark-haired women.,the man is blind,1,1_3783a
A man with glasses laughs together will two dark-haired women.,the man is frowning,2,1_3783b
A man with glasses laughs together will two dark-haired women.,a man is laughing,0,1_3783c
Asian man with long white beard in a dark setting.,The man is sitting on a bar stool.,1,1_3790a
Asian man with long white beard in a dark setting.,The man has long facial hair.,0,1_3790b
Asian man with long white beard in a dark setting.,The man has a short brown beard.,2,1_3790c
A blond woman in a red dress and a fedora-adorned man in black dance in a public pavilion across from a cafe and near a bike rack.,A couple are dancing outside.,1,1_3929a
A blond woman in a red dress and a fedora-adorned man in black dance in a public pavilion across from a cafe and near a bike rack.,There are two people sitting down enjoying a cafe.,2,1_3929b
A blond woman in a red dress and a fedora-adorned man in black dance in a public pavilion across from a cafe and near a bike rack.,A woman and a man are dancing.,0,1_3929c
An older man in a suit is being wheeled on his wheelchair through a bookstore by a young man in a sweater.,The old man is running down the street.,2,1_3966a
An older man in a suit is being wheeled on his wheelchair through a bookstore by a young man in a sweater.,The older man in the wheelchair is inside the bookstore with a young man.,0,1_3966b
An older man in a suit is being wheeled on his wheelchair through a bookstore by a young man in a sweater.,The young man is his grandson.,1,1_3966c
A woman leans toward a man.,A woman leans forword.,0,1_4084a
A woman leans toward a man.,A women is jumping on a trampoline.,2,1_4084b
A woman leans toward a man.,A woman leans over.,0,1_4084c
Two men on rollerskates are facing one another as others are passing them or coming upon them as an audience watches their interaction.,The men are on rollerskates,0,1_4091a
Two men on rollerskates are facing one another as others are passing them or coming upon them as an audience watches their interaction.,The men are passing them.,2,1_4091b
Two men on rollerskates are facing one another as others are passing them or coming upon them as an audience watches their interaction.,The men are facing one another,1,1_4091c
