premise,hypothesis,label
"A rickety old truck, stuffed to overflowing with men, is traveling down a country road on the left hand side.","An old truck filled to the brim, drives down the country on the left",0
A baby is sleeping while in a carrier on someone's shoulder.,The baby in the carrier is being carried by his father.,1
A toddler in a frilly dress shows her joy.,The girl in the pink frilly dress shows her joy.,1
An old couple enjoying their party outside.,An old couple are standing and talking while eating food at a party.,1
A girl wearing a printed outfit with brown short hair smiling and holding hands with someone while standing next to a boy wearing a black t-shirt and dark sunglasses.,A dog walking on its hind legs.,2
A man running away from a charging bull.,A man is running away from a bull,0
"An elderly couple relax on a bench while a bride, groom, and cameraman, walk by.","An elderly couple relax on a bench while a bride, groom, and cameraman, walk by them joyfully.",1
A woman in a blue shirt is playing an instrument.,A woman in blue is playing an instrument.,0
The Drayton Manor Theme Park roller coaster on a downward slide with frightened and joyous male and female passengers.,The roller coaster that the passengers were on was going upwards.,2
Women are sewing designs on cloth.,Humans sewing,0
Two ladies buying from a market.,The ladies are spending money,0
A transvestite with a black dress and long red gloves holding an umbrella and wearing fruit on his head.,A transvestite is a circus act.,1
A man in a green raincoat smoking a cigarette.,A man smoking a cigarette.,0
A group of people in pink shirts help inflate a hot air balloon.,With dogs eating everything there's nothing at home with me,2
A dog stands in deep snow surrounded by trees.,A dog is outside.,0
"Young men spar in the park, practicing their martial arts.",Men are playing in the park.,0
A motorcyclist drives up the side of a green mountain while another bike remains stationary.,Two cyclists drove down the side of a brown mountain.,2
A girl with ice skate sits on a fence checking her cellphone while her friend looks on.,The girl is waiting for an important email.,1
Men are standing next to a pallet of goods near a boat.,Woman are skiing.,2
A woman shovels grain in the blazing heat.,The lady is riding a horse into the sunset.,2
The woman is pouring drinks.,woman pours drinks,0
A younger man with a fedora has two empty bottles held up to his mouth.,a man in a hat hold up bottles to his face,0
A man in black holding a bundle of hay.,A man wearing white picks vegetables.,2
a lady is wearing all black with a whistle in the middle of rollerskaters.,A referee watches the snow skiiers.,2
A boy rides down the street with a younger boy behind him on the same bike.,The boys are outside on their bike.,0
Two girls play chess in a restaurant.,The girls are outside.,1
Two men stand together; one is putting something red on his arm.,The men are upright.,0
A little boy is jumping in front of a fountain.,A young boy learning how to play chess.,2
A woman on a large floor twirling ribbons and she is wearing a uniform.,A woman is twirling ribbons.,0
A soccer player is catching a soccer ball while his teammates hold him up.,The soccer player won the match.,1
A man wearing only blue jeans walks in front of a building.,A man wearing only blue jeans walks past a building.,0
"Two girls are sitting in their home and one of them is sitting on a chair, the other on the floor getting her hair done.","Two girls are sitting at home, doing one another's hair.",0
A lone protester in a black jacket on the sidewalk.,A protestor is at a computer in the library,2
The gentleman is quite well groomed.,The man is clean.,0
"A man windsurfs, putting his off hand into the water.",A MAN IS ON THE WATER,0
Two women in blue suits sitting on the pavement.,two nicely dressed woman sitting on the pavement,0
A lady in a blue dress singing.,A lady is sleeping.,2
A smiling man with his arms crossed is listening to a giant boom box.,A man with a smile is listening to a boom box.,0
Three ladies chat wearing silver leggings and matching wigs.,The woman planned matching costumes.,1
A woman paints a brown vase with white flowers.,A woman paints a car purple,2
People on bicycles waiting at an intersection.,There are people on bicycles.,0
A man plays fetch with his big black dog just out of the woods.,the dog is running,1
Two swans glide on river.,The river is deep.,1
A young boy on his bike rides past a table and looks around him.,The boy doesnt have a bike to ride.,2
A baseball player wearing a Houston uniform is about to throw a baseball in a stadium while spectators watch.,a baseball player is about the throw the ball while everyone is watching,0
"At the carnival, a toddler boy, is enjoying a fun, thrilled ride.",The toddling baby boy is enjoying the rides at the carnival.,0
A man performs a stoppie trick on his BMX green bicycle with no hands.,The man enjoys riding bicycles.,0
This team of South African athletes have disabilities.,The athletes play a sport.,0
"The man in the red, hooded sweatshirt looks back and construction is taking place on a shop with Hebrew lettering.",A man looks at a construction site.,0
A man sitting on a newspaper machine behind a big yellow arrow sign that says insurance.,The person holding the sign wants people to come into the insurance store.,1
A small brown dog is playing with a fuzzy slipper.,A small dog is playing with a slipper that it's owner threw for it to fetch.,1
"A teenage boy is holding up a large white sheet of paper at an event, with two toddlers also in the picture.",The toddlers are crawling around.,1
Kids scale a wall as two other people watch.,A kid scales a wall as some people watch.,0
A snowboarder on a Red Bull snowboard rounds a curve.,The person is snowboarding outside.,1
Bike riders racing on dirt road,There are several people riding unicycles.,2
A large group of people sitting in a room and watching something.,THE grass was green,1
A man in a blue shirt is driving a blue car with a rack on top and has a man in an orange shirt as his passenger.,The blue car has a rack on top.,0
Two young children are riding on the back of a bicycle.,Kids are running on a road,2
An asian girl holding flowers under Korean symbols.,A girl holding flowers is under Korean text.,0
Two people sit at a table outside against a wall and make faces.,Couple is taking pictures.,1
The woman is wearing a red hat that is decorated with a huge orange feather.,The woman is sitting on the couch.,2
A well dressed man in a suit plays piano for the band.,A man is playing piano.,0
A young baby breastfeeding on her mother while walking at an event.,A toddler swinging on a swing in the park.,2
A person working in a market selling various items.,a cashier takes money at the market,2
The sign on the bin of crabs at the market says$ 12 a dozen and$ 6.50 for a half a dozen.,There is a cat at the market.,2
A woman is hanging clothes to dry in the bathroom.,"A woman, in from the beach, is hanging her swimming attire to dry.",1
Three men in reflective suits in a field.,The men are wearing bathing suits.,2
A man and a boy riding brown horses are roping a white steer in a corral.,a man and boy are riding horses,0
A woman wearing a red tank top is cutting a hamburger in half.,A woman is using a knife.,0
Two hockey players one in yellow and one in white competing against each other to gain control of the hockey puck.,The players are bitter rivals.,1
A man wearing a black hat standing next to a black pole.,A man in a coat sits ontop of a fire hydrant.,2
"Female wearing a pink helmet, white shirt and white gym shorts, parking her motorcycle along side a busy sidewalk cafe.",A woman is sleeping off a hangover.,2
The little boy in red trunks is attempting to catch a soccer ball that is coming towards him.,A boy is sitting on the bench watching a game.,2
a tan dog holding a stick in his mouth.,A dog with something in its mouth.,0
Man in plaid shirt leaning against a wall.,He is leaning against the wall because he is tired.,1
"There is a man with a gray shirt on his speed boat who caught a big fish, and has started to cut it open.",The man is wearing a red shirt.,2
Audience members attending an indoor concert while a shirtless band member sings.,The man is singing badly.,1
An elderly man sits on a ledge with both of his shoes off.,A woman drinks from a mason jar.,2
A teen holding an unknown object for photographers.,A teen is holding up something unknown for photographers.,0
A tan dog walks ahead of a man in a dry area.,A dog walks ahead of a man in a dry area.,0
A boys soccer team coach talking to his team on a soccer field.,The coach is in a car.,2
A dog swims through deep water.,Dog running in an open field.,2
"2 men, one in orange raincoat and hard hat and holding a yellow pole, other man in jeans and t-shirt, both looking at caution cone.",two women look at a caution cone,2
Two women wearing tiger print jumpsuits and sandals stroll down the street.,Two women are sitting down together on a bench.,2
Four females and two males dressed in pink and black.,6 people are dressed in pink and black.,0
A woman in a white dress is sitting on a swing and reading from a black binder.,A dog is playing outside.,2
A man with a red umbrella seems to be messing with a tire while a baby and mother look on.,There is a man with a baby and a mother,0
The man in the military uniform greets children waving American flags.,a woman is waving american flags,2
The woman on the right is wearing a red scarf.,A woman is waiting for a train.,1
It's football practice as a small group of players take a stance on the field watched by four onlookers on the sidelines.,Football players are getting ready for the championship game,1
A young kid is walking very carefully.,A juvenile is walking slowly.,0
"The white-helmeted driver of the red, white and blue car, with a passenger riding shotgun, whipped up dust and rocks in the wooded taped-off area, the debris creating an eerie, ghostlike view of the face of the person behind him.",There is a white-helmeted driver that whipped up dust and rocks because he was going fast.,1
Two guys are sitting at a round table outside playing a game.,Two competitive men play a complicated game.,1
A laughing woman is sitting on a patterned couch.,The woman is crying.,2
A man in a military style uniform is standing with his arms behind his back in a public corridor.,A military man is standing in a hallway.,0
Six little girls are sitting on a cement hill.,They are all getting ready to go to Santa's house.,2
A child just hit a ball while playing t-ball.,A boy is reading.,2
A woman is walking with her son who has a backpack with a leash.,the woman put her son on a leash,0
6 motorcycle riders going on tour.,There are a bunch of motorcycles and riders,0
A boy pushing a miniature car on a lawn.,A boy pushes a miniature car on a lawn while waiting for his friend.,1
Two people look over a terrace wall.,The people have binoculars.,1
A woman in a pink tank top holds a plastic beer mug.,Plastic beer mug can be provided only those who dressed in pink tank top.,2
Two little dogs are lying on the green grass and a larger dog looks down on them.,"A trio of alley cats is lined up along the fence, yowling at the moon.",2
A girl in a black shirt is putting a star on top of a Christmas tree.,A family is decorating their livingroom for the holidays.,1
People hang onto safety rails on a very crowded bus.,people hold safety bars on a crowded bus.,0
Colorful yellow seats with a sparse crowd line up behind four soccer players trying to go after a ball.,People are playing soccer.,0
a little boy spilled his milk from the green cup.,A boy spilled milk.,0
A woman proudly shows off a decorative lamp.,The woman was fast asleep.,2
"A young boy in a red and white shirt is squatting on the ground, surrounded by bushes.",A boy is squatting on the ground.,0
An older woman sits next to a small girl who is wearing a striped dress.,The girl is wearing a floral jump suit.,2
"A woman in a white dress is posing in a kitchen, next to a counter full of dishes of food.",A woman poses next to a full course banquet she prepared herself.,1
Three men talking to each other and having a drink at an event.,Three men at an event together.,0
Three people stand and face video machines.,people standing around,0
An aged woman cradles her hand-rolled cigarette as she smokes.,An aged woman is smoking,0
A man and woman stand at a railing looking across a vast water body.,An old man and woman stand at a railing looking across a vast water body.,1
A man is about to walk beneath a Nescafe Ice umbrella.,A man is jogging down the street.,2
A group of glam rock members play guitar and sing into the microphone.,The people are meditating quietly,2
An elderly looking man in Europe is standing on top of a garbage can near the crosswalk as passersby take no notice.,A man is near a crosswalk.,0
Teenagers playing baseball.,The groud is outside.,1
A man in black and white is holding a ball with a red and blue stripe.,A man is about to shoot a basketball,1
Two young men are both standing on one leg with their arms stretched out on the street.,The two young men like each other.,1
A large group of people at a concert.,They are watching the concert on the tv.,2
A woman in pain in her room.,A woman is in labor.,1
A young child leaning forward asleep in a stroller with a butterfly on their head.,The presidents daughter sleeping with her pet butterfly on her head.,1
A woman in jeans and a red coat and carrying a multicolored handbag spreads put her arms while leaping up from a cobblestone street.,The woman is leaping to avoid a puddle.,1
two men posing for a picture in front of a building with a key pad locked door.,The men are moving into their new house.,1
A man wearing a gray sweater and brown shorts cutting grass with a lawn mower.,A person uses a lawn tool outside.,0
The child has his mouth open and is surrounded by adults dancing.,The child is in awe of the grown ups dancing.,0
Rodeo rider shows great style mid jump of his bucking horse,A man riding a horse in the rodeo shows off for his wife.,1
The future of snowboarding in the summertime with all the height and excitement you could possibly want.,There is excitement.,0
little boy looking through a telescope on playground equipment with the sun glaring off the pole his hand is on.,a child falls asleep in a car seat,2
A man sits in a chair with a fishing pole next to water.,A man cleans his catch in the water.,2
A man pouring a wheelbarrow of cement on a sidewalk.,A construction worker is working to make a sidewalk for pedestrians.,1
Black and White Dog runs across a lawn while drooling.,Liquid drips from the dog's mouth.,0
five young girls wearing headbands sitting on park bench,girls sitting on a bench,0
"A technician in a clean suit examines a gray, square piece of metal with a central item.",The technician is playing the violin,2
Two men are standing in front of a cash register with several items.,Two men are standing in front of a cash register with several items and talking very loudly.,1
People walking up and down on a crowded street in the daytime.,People go to work in the city.,1
"Multiple people, most prominently a woman in a skirt and black top, stand in front of a row of orange laundromat style clothes washers.",a group of people are at a laundry mat,0
This person is skiing.,this person is skiing he is competing in  biathlon,1
four small dogs running through a green field with yellow flowers in the background,Four cats and no dogs running through a field.,2
A man is running down a sand covered mountain.,A man tumbling down a snowy hill.,2
Some hikers are crossing a wood and wire bridge over a river.,"The three hikers decided to sit under a big oak tree after climbing down the side of the hill, and enjoy a quick snack.",2
A man taking a rest in a shallow river amid the rocks.,A woman swimming in a river.,2
Girl pushing boat with a pole in the water,There is a girl near water.,0
An older lady blowing out a 9 and a 0 number candles on a birthday cake.,the woman is blowing out a 2 number candle,2
The man in black is posing for a picture.,A man is in front of a camera.,0
A group of people standing on the lawn in front of a building.,People are standing outside.,0
People working together with fish set on the tables.,The people working together are at the tables cleaning fish.,1
Five men in tuxedos jump for joy in front of a mountain range.,The men are crying.,2
A couple is dancing in Costa Rican outfits.,A couple is lying on the ground.,2
A small girl in a dress blows bubbles in a grassy field.,A girl is playing with bubbles in the meadow after a picnic.,1
The man is in a yellow kayak in rough waters.,The guy in a boat is in bad waters.,0
A boat with people and their belongings is in the water.,A train is on land.,2
A woman wearing a sundress with flowers on it is walking down a country path carrying a pink bucket.,A lady wearing a dress with flowers on it is walking down a country path carrying a pink bucket.,0
A young man with a pink comb in his hand and headphones on poses for the camera.,Man at a photo shoot,1
Many children playing outside in the grass practicing punching.,Children are playing a game of soccer in the grass.,1
Two uniformed men in white helmets stand on a city street looking off towards the left.,There are people outside looking around.,0
Women burning what looks like incense.,Men aren't burning anything.,2
Working man crossing the street.,The man in a suit crosses the street.,1
Man in an orange shirt with tattoos walking two large poodles.,A man is walking two white poodles down a sidewalk.,1
A child rides a bicycle in front of a large red brick mansion.,A kid drives a car along the roadway.,2
Two children look up at the camera while two women prepare grains in a bowl.,Two children look at the camera their father is holding.,1
Respol sponsored motorcycle driver going into a turn.,NIKE SPONSORED THE MOTORCYCLE DRIVER,2
A man in a t-shirt stands next to a parking meter.,A man is standing up.,0
A girl rides a unicycle as another rides a scooter next to her.,Two girls having a race.,1
A crowd of people looking at something.,A boy playing with his football,2
"An ATV rider, speeds around a corner, while sliding and kicking up dirt-still focused on the trail ahead.",A man rides an ATV cautiously along a muddy wooded path.,2
"In the middle of the ocean, a young man relaxes in a boat, closing his eyes to avoid the sun's glare.",A man relaxing in a boat.,0
A soldier standing on a rooftop overlooking a city.,A soldier sees danger in the city.,1
It looks as though a soldier is sleeping in a car on his way home after a deployment.,The soldier recently got home from war.,0
A heavyset young man in a blue T-shirt and heavy black-rimmed glasses is playing the guitar on the street.,A young man is playing guitar,0
A woman walking while wearing a red dress and red shoes.,A woman walks down the red carpet.,1
A lady and a toddler stare at themselves in a mirror.,The woman is the toddler's mother,1
A slender dog checks out a snowy patch of land.,A dog and some snow.,0
