premise,hypothesis,label
A man wearing blue jeans and a white t-shirt is standing on a ladder with a bucket hanging from it working on a building.,A sign painter puts the finishing touches on a job.,1
"Many people seem to be waiting for something, with the sunlight gone.",People are waiting for the sun to shine.,2
A boy standing on a red mat with a person upside down in the background.,Two people are by or on the mat.,0
A Man wearing a jacket holding a large book.,A man is reading a book on a tablet.,2
A boy looks startled as he falls in the sand.,A boy runs on the beach.,2
Bride and Groom about to toast.,The bride and groom are smiling,1
a man sitting on steps with headphones and sandals,The man is standing on the steps.,2
"A man in a white hat, sunglasses, and dark shirt speaks into a microphone.",A man is talking in to a mike.,0
A lady and young girl read a book.,The woman is cooking dinner for the child.,2
a young boy carrying a large soccer ball with a soccer feild in the background,A boy is holding a basketball.,2
A group of men and woman are singing together.,Several men and women are singing.,0
Two horses pull a carriage driven by a woman over snow covered ground.,The horses are made from wood.,2
A young girl is sucking on a lollipop as she walks between two cars.,Girl sucking a lollipop,0
Tri-level building with people standing on each level's balcony as people look on from below.,woman on chair alone,2
A man in a blue and white hat and a red and white shirt sets up a small table with glassware before him and a shadow on a streetlight is seen on the gray wall behind him.,a man wearing patriotic colors sets up a table with dishes while a dark shadow appears behind him,0
A black woman taking a picture.,A black woman taking a picture of her family.,1
Three people are standing in the snow preparing an ice fishing boat.,The people are inside a sauna.,2
Two young girls are going swimming near mountains capped with snow.,Girls are swimming in a hot spring.,1
A man in a light blue shirt and skinny jeans waves in a crowded airport terminal.,A pilot slugs back Scotch in the cockpit.,2
Two men wearing sunglasses walk down a busy city street while a man carrying a briefcase follows them.,two men are walking,0
Two people are sitting near a door playing the guitar.,Two people are sitting and playing guitar.,0
a group of people peering over the edge of a large rocky mountain,the group has jumped off the cliff,2
"A man standing with his work gloves on and hard hat in hand, looking attentive.",His gloves are warm.,1
Two cyclists riding in a line while number two is ahead of number three.,A  boat race on the lake.,2
Three guys are barbecuing on a grill on a porch with a white fence.,Three men are cooking in the kitchen.,2
A boy does skateboard tricks on a railing.,a girl lays down,2
A very well dressed man standing in the middle of a room with lots of casually dressed people.,A very well dressed man is standing in the middle of a room of casuals.,0
There is a woman wearing a yellow scarf who is mopping the floors.,A mom cleans the countertops at home.,2
A woman holds a baby on her lap and holds the hand of another young child who is riding on a horse-shaped tire swing.,a family enjoys their day at the farm,1
"A person in a striped sweatshirt lifts a log in a park, while children play on a playground.",There are at least two children on the playground.,0
A man looking down at a large pile of shredded paper.,the man is white,1
A man playing guitar with a black jacket,A guy playing an instrument,0
He is calling his wife to tell he will be coming late.,A man is kissing his wife.,2
Fruits stationed by a dusty old window.,A kid is looking for something to eat and sees no food.,2
The man in black tries to amuse the lady in white by picking his nose.,The lady is flirting with the man.,1
A man on a bmx bike jumps over a train,The bmx biker falls.,2
A brown dog standing in water.,The dog is laying on the bed.,2
A person takes a drink of water while riding on a bike.,The person took a drink of water.,0
"An older woman with a green plaid shopping cart removes money from her wallet to pay another woman for her green, leave-like goods.",A woman is shopping.,0
A competition is occurring between three people in a swimming pool.,3 people in a pool on Saturday,1
A young brunette male comforting a young girl in a red jacket.,A young brunnette male is insulting a young girl in a red jacket.,2
People are seated among some pillars while another person walks by.,woman eats turkey,2
A martial artist pins her opponent by sitting on her shoulders.,A martial artist fighting to win,1
A man in a red shirt is throwing a frisbee while another man wearing a white t-shirt is trying to stop him from making the throw.,an ultimate frisbee tournament is underway,1
A man climbs over snow covered rocks by a shore.,The man is outdoors.,0
A woman dressed as the little mermaid stands next to a phone booth.,a woman is dreesed like the little mermaid.,0
A woman carries a child in her arm and holds another child's hand as they walk outside next to a building.,The woman is at home with her kids.,2
A boy with a broken arm is resting in a bed.,A boy is outside playing football.,2
Two young boys wearing shorts play outside while a police officer watches.,The kids eat ice cream while the police officers watch.,2
Some men in black stand on a platform talking.,Men are standing on a platform,0
Children are dressed in vibrant colors.,The children are getting ready for their Easter Egg hunt.,1
A dog is jumping in the air to catch an item.,A dog is sitting on the ground barking.,2
A woman wearing a bright yellow jacket and hat stands on a busy street while others walk by.,A man waiting at a table for dinnner.,2
Two dogs running near a river while one dogs in swimming in it.,The dogs are playing and chasing each other.,1
A woman standing near water is wearing a pink jacket with Tinkerbell on it.,A woman wearing a pink Tinkerbell jacket is standing by the water,0
A man in a black shirt and baseball cap picking up trash in an empty lot.,Three politicians arguing.,2
Two Indian children in formal costume happily performing a ritual dance.,The children are not performing a dance.,2
"Penn State basketball player, number 11 shoot for the basket with ball just leaving his fingertips.",A basketball player is shooting the ball towards the goal.,0
Two professional soccer players are playing with a ball on the field.,A defender steps in front of a striker during a game of soccer.,1
A man in a baseball cap cleans out a blue colored pit outside where colorful Christmas lights hang above him.,The man is cleaning up for Christmas,1
An artist is carving an intricate sculpture using a tree and an electric saw.,The artist plans on sculpting many trees in the forest.,1
Flight attendant in red pushes drink cart through aisle of airplane.,There is a bottle of water on the drink cart.,1
A cowboy falling off a bucking bronco at a rodeo.,A man falls off his horse.,0
A man spinning a skateboard in his hands while people watch.,A man is spinning a skateboard.,0
Two people play foosball.,Two friends play a game.,1
A small child in a pink shirt is standing at a counter mixing something in a bowl.,There is a small child next to the counter.,0
A girl laughing and a girl looking away.,"Two girls, one laughing and one looking away.",0
A man in a gray shirt and black shorts poses in front of a mountain.,The man is about to climb the mountain,1
A couple are eating at a table on a covered patio while two infants in highchairs and another woman look on.,A family is having dinner outside.,0
A man with a Mohawk and studded leather jacket carries a large load on his back.,The man is driving a truck.,2
A sandwich with peanut butter is being made.,There is food being made,0
Seven people are outside listening to a man playing his instrument.,People are listening to a man play his banjo.,1
Happy face of man speaking into microphone held in hand in front of brick building.,A man speaking into a megaphone,2
2 man floating on rafts in the water.,People move along the body of water.,0
A group of people sitting on yellow chairs and talking.,A group of people are talking and eating.,1
A girl is jumping into a pool with two slides behind her.,The child is playing in the pool.,0
broken image,Image won't load.,0
Two men and a woman eating cake at a restaurant.,Three people are eating dessert.,0
A woman is running towards the base while playing softball.,A woman runs to home base to score for her team.,1
A man with a blue hat and blue with red polka dotted bottoms on is running into the water.,There is a guy dressed in blue w/ red polka dots.,0
a horse with rider leaps over a miniature barn.,They are made of onyx,2
A woman in a mauve jacket who is selling apples is talking to a young customer in a floral jacket.,The two people depicted are wearing the same jacket.,2
Aid big guy wearing an orange jumpsuit is talking to a skinny lady who's dressed up with a long skirt is standing on the freeway looking at the red Motorcycle that crash,A man and a woman are observing a wreck being dealt with on a freeway.,1
The groom and bride are both jumping on the Great Wall of China.,The groom and bride are traveling through China.,0
A man wearing a black hat and shirt loads up a pair of mules,A man is loading up giraffes,2
A woman with reddish hair applies mascara to her eyelashes.,The woman applies makeup,0
A family of all ages sitting on the floor playing a board game.,A family is playing a board game.,0
Three women dancing in robes.,Three woman are taking a nap.,2
A choir singing in a church.,The choir is at the bowling alley.,2
"A youth pulls on a cord while eating a sandwich, barefoot.",A young person is sitting in the kitchen.,1
A kid is in the ready position under a building and behind an archway.,A child is waiting for his parents.,1
A man and his wife take a trip back in time at a masquerade party.,A man and his wife are celebrating Mardi Gras.,1
A runner carries the Olympic torch past a crowd of people cheering and waving the Union Jack flag.,An olympian is carrying the Olympic torch past a crowd of people in an English village.,1
"Two young, barefooted boys are standing outside next to an area covered with trash; behind them are tall, green trees and shrubs.",There are two boys standing in an area with a lot of trash.,0
"A man striking a pose as one man with a bike, and another man in the background watch.",A man sits on the couch eating spaghetti,2
The bat looks worn.,The bat is speaking to his therapist,2
The smiling woman in the red helmet is outdoors holding a very long rope.,The women is sitting down.,2
Two men are talking by an open window while a blond woman sleeps.,The people are talking about the fate of the sleeping woman.,1
A black and white dog is running through the field to catch something in its mouth.,cats are running through the field,2
Kids are always a pleasure to be around and to smile about.,Kids are fun to be around.,0
A well dressed man sleeps in front of a store window advertising books.,A man hopes to grab the next installment of his favorite book series as soon as the store opens.,1
A man with a striped shirt is on stage next to another person with a guitar.,some men standing in a park,2
"A man wearing a striped shirt is putting his arm over a man in a green shirt, as the man in the green shirt holds up a beer.",The two men are taking a nap on the beach.,2
An older man in a red sweatshirt stands in front of a group of children sitting on benches in front of him.,There are children sitting on a bench.,0
"A man in a black shirt displaying the text ""Enrolling Stones"" plays a keyboard.",The man is in a band.,1
A group of runners is trying to complete a race.,People are performing a physical activity.,0
Four women participating in an ice-skating race.,Huge humans participating.,2
Multiple people walking on the pavement with a fence in the background all under the sky with clouds.,They are not outside.,2
An older gentleman taking a walk.,A old dog is talking a walk.,2
street construction happening near a hotdog stand.,The road is under construction.,0
Several students are in a classroom atmosphere working with paper.,The students sitting on the beach.,2
Two men working on a machine wearing hard hats.,Two men are working.,0
Three people walking down a street lit up by business sign lights during the rain.,Some people are walking outside in the dark and rain.,1
"A girl's hands, another person's feet, and a boy playing bongo drums sit on a picnic table.",Some people are outside.,0
"A black dog carries an orange ball, walking on the ground covered in leaves.",A big animal with a ball.,1
The dog is shaking water off of his body.,A dog shakes after coming out of the lake.,1
Young hippie girl hula hooping with purple leg warmers and purple hair.,Young girl hula hooping with her friends.,1
A young girl and an older man sit on a bus.,A young girl and a man are walking down a street.,2
The back side of a man wearing a black hat and a blue short walking down an alleyway.,The man was walking down the alleyway to get his favorite deli sandwich.,1
Woman sitting in a red chair with a dressy purple dress on and a book sitting on the arm rest.,The book on the armrest is a paperback.,1
A little girl is jumping in a green landscape.,A little girl is playing outdoors with her friends.,1
people are posing for fans at the horse hurdle jumping games,The horse jockeys pose for pictures.,1
Furniture sits inside of a moving truck with a ramp.,A family is moving furniture that is sitting inside a truck to there new house,1
"A baseball player is sliding into a base, while another player made the catch.",Baseball players are in the middle of a play,0
A child painting a picture.,a kid is painting,0
A little girl blows bubbles in a courtyard with a ship in the background.,A young girl plays.,0
An Islamic soldier showing something to a group of Islamic children.,Some kids are looking at something a soldier is showing them.,0
a waterskier wearing a red life jacket is holding the line waiting to be pulled up in the water.,a water skier waits in the water,0
Cheerleaders are on the field cheering.,An empty field.,2
Boy trying to body surf as pelican looks on.,A swimmer is watched by a seagull.,2
"A woman with sunglasses is laying down on grass, reading a book.",A woman prepares for cooking in the kitchen,2
A man in a red shirt and a woman in a khaki shirt are standing talking.,A couple talking,0
A crowd stands on a over water bridge with city buildings in the background.,A man is playing baseball.,2
Two men working construction are sitting down.,The men are hammering the boards.,2
A woman holding a baby and making faces at it.,A woman is holding a baby.,0
A baby and three cats laying on a bed.,A baby lays with animals.,0
lady in kitchen cooking and happy,a woman prepares dinner for her family,1
A little girl does a hula hoop behind a backdrop of balloons.,A kid is celebrating at a party.,1
A man holding a baby who is holding black glasses.,Dad hold his child,0
An African child attempts a headstand on the front of a boat painted blue and white in water next to a field of crops.,An African child is trying to do a headstand.,0
A dance in a city featuring Santa.,Santa break dancing,1
a brown dog and a white dog are running across a stony hillock.,Myna birds make muffins.,2
A large man wearing a black shirt and sporting a tattoo on his leg walks along the sidewalk while carrying a water bottle.,a man is walking,0
An old man is hugging a woman in a red striped top on the couch.,Two people are hugging,0
Two men are holding a sheep while a little kid sits on top of the sheep.,The people are running,2
football team in blue and yellow uniforms handing football off to running back.,Rival high school teams playing football.,1
Police officers having a discussion.,South Pacific is hiphop.,2
A group of men and women are gathered under a tree outside of a building.,two dogs play in a field,2
Taking a nap in the park with friends.,Friends in a park take a nap after playing.,1
"Two young boys are smiling while sitting next to an organized fruit cart that holds apples, grapes, plums, and various other fruits.",Two boys are smiling next to a fruit cart with many fruits.,0
Men examine meat at an outdoor meat market.,Men are looking to find meat for their dinner tonight.,1
A blond-haired man dressed in dark colors sitting next to a woman dressed in green and wearing a black beret.,A man is dressed up,1
Black women in bright skirts and tops are dancing.,Women is dark colored pants are singing.,2
A group of men wearing similar clothing backpacks through the countryside.,A group of men sitting on the couch watching the football game.,2
A man runs across the street in front of a military vehicle.,The man rides his motorcycle lazily along the mountain road.,2
Two men stand together and hold clothing.,Two men are holding clothing.,0
Two women stand in the foreground making foolish faces in front of a diverse crowd of young people.,Two teachers are making funny faces at their students.,1
Man relaxing in a folding chair on the street.,A man is standing up.,2
a small black and white jumping to catch something in its mouth.,A animal is leaping.,0
"The black dog is catching a ball, while the white one watches.",A black dog is playing by himself with a small audience.,0
A girl in a green sweatshirt sitting down and a girl in a dress leaning on blue lockers.,The girls are getting dressed for the game.,1
A man and a woman wearing decorative costumes and dancing in a crowd of onlookers.,woman and man dacing together,1
Two men are using hoes to dig rows in a field.,Two men are playing catch.,2
A young woman smiling holding a slingshot.,Two dogs are playing in a stream.,2
Bicyclist riding on a dirt race course.,they are at home sleeping,2
Several large groups of people are at tables eating.,The people are at the movies.,2
Person on horseback dressed for a ceremony.,A person is riding an elephant in the ceremony.,2
dirt bike racing one guy on ground,the bike is parked,2
A man in a black shirt crouches next to a dirty unfinished concrete edge while several shovels and other tools lean against a tree nearby.,A woman sits on the ground.,2
A young man taking a picture of another young man outdoors.,the man is old,2
Costumed onlookers watch as a uniformed policeman makes a speech and a man in a suit holds a bowl of fruit.,There is a man holding a plate of vegetables and fruit.,2
"A man in sunglasses, a cap, dark jeans, and a denim jacket walks by an arch.",A man walking by an arch.,0
People stand and talk.,People talking about the weather,1
four people talking in a presentation room.,Four people play baskeball on a court.,2
A man in all black clothing shoveling snow from a sidewalk.,The guy is shoveling the snow outside.,0
a man dressed as a clown is performing before and audience.,A man is sleeping.,2
A man and two young children are fishing by a pond.,Two boys in a boat along the river bank spots a man drowning in the river.,2
"A large group of people is grouped around a banner reading ""We are demanding"".","A large group of people are grouped around around a banner reading ""We are demanding"".",0
"Two men, one looking at a screen with a drum next to him, while the other is a man dressed in a white shirt is talking into a microphone.",One man is not looking at a screen.,2
Several hockey players are at the end zone as the goalie misses the puck which slid into the net.,The players are at the bowling alley.,2
An ultimate player pancakes a disc with a female and male in the foreground.,A golfer hits a hole in one.,2
A man and a woman that is holding flowers smile in the sunlight.,A man and woman exchanged flowers to one another at the same time.,1
Several people marching while holding flags and signs.,One man is flying in the sky.,2
A woman aims a sledgehammer to break a concrete block placed on a man's stomach while children watch.,A duo perform a stunt in front of onlookers.,0
"A group of people, of all ages, listening to a concert being performed by a solo practitioner.",People listen to live music.,0
"A man wearing sunglasses, headphones and a dark coat is walking down the street.",A man is walking.,0
People sitting outside near a red brick road with yellow cement dividers.,People are watching workers.,1
Two women dressed in all white and wearing high heels are walking on the street.,Women are walking,0
Children are performing activities inside a classroom.,Children are indoors.,0
A hockey player shoots ice in the face of a opponent while racing to hit the hockey puck.,A hockey player attempts to score a goal.,1
Man about to pull out chair and sit down at a restaurant.,A man is about to sit down at his favorite restaurant.,1
"A crowd is watching a group of sidewalk acrobats, in the foreground a man standing on his hat.","A crowd is watching a group of sidewalk acrobats, in the foreground a man standing on his feet.",2
A crowd of people closely watching a rollerskater;at the summit of his run.,A roller skater passes a crowd gathered to watch something actually interesting.,1
"A smiling young man walking on next to the beach wearing a baseball cap, blue t-shirt and jeans.",A young man is slaving away at his stove to make a meal.,2
A clown is entertaining a crowd using balloons.,A clown gets ready in the dressing room.,2
"Emergency medical crews, firefighters, and police officers at the scene of a car accident.",Emergency personnel present at a bad accident.,0
A girl with a large pink bow in her hair puts herbs into a clear plastic bag at a market.,The girl is wearing a white bow,2
a wet black dog with a red collar is in the river,A wet black dog fetches a stick from the river.,1
"3 team members, wearing 3 uniforms, are jumping towards the volleyball nets to block an opposing teams, wearing a yellow uniforms, spike.",people play volleyball,0
The motorcycle is a Honda.,The motorcycle is a Ford.,2
Ypoung girl with arms crossed over her heart wearing a bikini setting in tall grass in front of a body of water.,Young girl wearing a bikini and crossing her arms sits in a patch of tall grass in front of a river,1
A boy has a red bucket over his head while he is on the patio.,The boy has a blue bucket.,2
A brown-skinned man is engraving what appears to be Arabic syllables into a large stone slab using a chisel.,A man is looking into a large stone,1
"Bizarre live art exhibit with goddess type woman, man strapped to dolly, and hairy man in suit.",People are performing in a live art exhibit.,0
Someone wearing a cowboy hat is planting in the soil.,seeds are being planted in the soil,1
Couple holds hands walking down sidewalk.,Couple holding hands after their wedding walking.,1
Beach volleyball player Dalhausser just blocked a spike from a Brazilian beach volleyball player.,A person blocks a volleyball on the beach.,0
A group of people appear to be tilling the ground in front of a couple of thatch roof huts.,Preparing the soil for planting corn.,1
"Balding man with a beard who has fallen asleep leaning on another man next to him, against the rails of a set of stairs.",A balding man with a beard has fallen asleep.,0
A man is cooking in a wok at a street stall.,The man is preparing food.,0
Male with goggles sitting on the floor with a pamphlet.,A male sits on the floor.,0
A man wearing a red jacket standing beside a yellow canoe on some rocks with water in the background,A man is naked,2
A woman wearing a yellow shirt with big sunglasses is walking on a brick paved road.,An actress walking around the set.,1
A man scales a steep rock face as people look on from below.,The man is an architect.,1
A young woman plays on a swing set while trees sway in the background.,A young women is watch tv.,2
Two small children sitting and jumping on a trampoline.,Two small children are finger painting.,2
A man with long hair riding a bicycle gives the peace sign.,A man is riding bike.,0
A group of men and women surrounding a bonfire while having conversation.,People talk with each other next to a large bonfire.,0
Men standing on scaffolding are working.,Men are at work.,0
An elderly couple dances next to a table where a boy is sitting with his head down.,A young man is playing the drums.,2
People are walking in a sunny plaza.,People are walking in a crowded mall.,2
A man taking a daring leap while practicing his parkour,A guy demonstrates a parkour move to some eager students.,1
A man with a cigarette hanging out of his mouth rides a blue motorcycle in front of others on motorcycles.,The man is eating Chinese food in the restaurant.,2
a black and white dog is jumping fences in a dog show.,The dog can move.,0
A man shovels snow off of the sidewalk.,The man is at home eating a sandwich.,2
Man standing in the foreground with taxi behind with lights on and buildings in the background and light filtering down from above.,a man stands in front of a taxi on a road lined with buildings,0
A waitress wearing black is talking to a man who is wearing a red shirt and bandanna.,A waitress with blond hair is talking to a man wearing a red shirt and bandanna.,1
A teen with braces is caught off guard by the camera while walking in the snow.,A teen is running away from the camera in the rain,2
Man without shirt climbing rock face.,A man is sitting on a couch.,2
A woman is standing in front of a dog that's standing on its hind legs.,a person stands infront of a dog,0
A soccer player dressed in blue holding a soccer ball preparing to throw it.,There are many people watching a tennis match.,2
Asian women sit on the floor and are working on a project while two of them smile at the camera.,Asian woman taking a picture,0
A group of adults at an office having a meeting.,A group of old women are playing bingo.,2
A young man reaches for green apples to put in a box.,a dog eats spinach,2
A woman with a yellow shirt stretching on a bridge.,a female is outside,0
A woman in black standing inside of a restaurant.,a woman is standing,0
A young girl making a pattern to design clothes.,Girl working on new clothing creation.,0
A woman is holding a boy in a swimming pool.,There is a dog in the pool.,2
The trees are green,The trees are entirely blue.,2
A man in a black shirt does work outside a window of a brick building.,A man is working inside his office.,2
"A golden furred puppy sits, gazing out the back window of the car, with his pink clad doll.",A golden puppy is inside a car being driven around.,0
"A brown, rounded bench is in front of a small wooden desk with paper pads, a candle, small vase, and salt and pepper shakers on it.",A man sits at a desk.,2
person rock climbing,A person is swimming.,2
A man wearing a blue t-shirt and jeans is sitting on a fence.,The man is outside sitting on a fence.,0
A little girl brushing a woman's hair.,The girl was brushed the woman's hair well.,0
A group fathers in folding chairs and drinks some beers in the backyard.,The fathers are outside.,0
"A man, holding snorkeling equipment, jumps into the green water of the ocean.",A snorkeling expert jumps into the green water of the ocean.,1
"A Thai Buddhist temple is the center of commerce, widely dominated by telephone wires and oncoming traffic.",The city center appears busy.,0
A person with blond-hair is walking on the sand into the water.,The person with blond-hair is female.,1
A construction worker holds a sign about bicycling.,A construction worker informs drivers.,0
