,guid,premise,hypothesis,label
5177,4736623123412,The little boy is looking at a train set.,train set is excited game for kids,1
5178,4736623123411,The little boy is looking at a train set.,the boy is playing with it,2
5179,4736623123410,The little boy is looking at a train set.,the boy is thinking pf train set,0
5204,504370167211,A boy smiles while he loads up his toy with fake bullets.,A boy plays with his toy car.,2
5205,504370167210,A boy smiles while he loads up his toy with fake bullets.,A boy plays with a toy gun.,0
5206,504370167212,A boy smiles while he loads up his toy with fake bullets.,A boy plays cops and robbers with his friends.,1
5294,484443289311,Older couple is covered in shadows by a bridge.,lion eats bird,2
5295,484443289312,Older couple is covered in shadows by a bridge.,couple near big building,2
5296,484443289310,Older couple is covered in shadows by a bridge.,couple covered in shadows,0
5372,4796753895412,A man crosses a busy city street.,A man almost gets hit by a car.,1
5373,4796753895411,A man crosses a busy city street.,A man runs across a road without paying attention to traffic.,2
5374,4796753895410,A man crosses a busy city street.,"A man makes his way through traffic, no foot.",0
5480,762678729311,A crowd is gathered behind the fence near a blue tent.,group of people sitting beside a campfire,2
5481,762678729310,A crowd is gathered behind the fence near a blue tent.,people gathered beside a blue tent,0
5482,762678729312,A crowd is gathered behind the fence near a blue tent.,group of people meeting behind the fence,1
5588,2248395289411,A person sculpting something from a large rock.,The person can't decide on what to sculpt and has not begun to work yet.,2
5589,2248395289412,A person sculpting something from a large rock.,The person has a plan in mind.,1
5590,2248395289410,A person sculpting something from a large rock.,The person is a sculptor.,0
5597,2248395289012,"A sculptor applies his chisel to a slab of rock, etching a pattern on its surface.",The man is starting to chisel into the rock.,0
5598,2248395289010,"A sculptor applies his chisel to a slab of rock, etching a pattern on its surface.",The artist is working on a big rock.,0
5599,2248395289011,"A sculptor applies his chisel to a slab of rock, etching a pattern on its surface.",The sculptor is working with clay.,2
5612,4637704411311,An older man carrying bananas on his head in a basket.,A man is eating bananas.,2
5613,4637704411312,An older man carrying bananas on his head in a basket.,A man is bringing food to his home.,1
5614,4637704411310,An older man carrying bananas on his head in a basket.,There is a man delivering bananas.,0
5853,4711694578210,Young people are playing in the snow while an older person seems to be taking pictures.,Young people play in the snow.,0
5854,4711694578212,Young people are playing in the snow while an older person seems to be taking pictures.,Young people play in the fresh snow.,1
5855,4711694578211,Young people are playing in the snow while an older person seems to be taking pictures.,People living in Los Angeles.,2
5874,4891059394411,women in white shirt with scarf and sunglasses,A woman sits indoors.,2
5875,4891059394412,women in white shirt with scarf and sunglasses,A woman wears a scarf because it's windy out.,1
5876,4891059394410,women in white shirt with scarf and sunglasses,A woman is protecting her eyes from the sun.,0
5898,3005979351310,a woman in a dress playing a brown guitar.,Guitar player,0
5899,3005979351311,a woman in a dress playing a brown guitar.,woman walking,2
5900,3005979351312,a woman in a dress playing a brown guitar.,girls playing guitar,1
5916,4525077213010,Photo of a man sitting on a bench with a sign written in Spanish in background and the reflection of a lady walking from a mirrored wall.,a man is looking at a mirror,0
5917,4525077213012,Photo of a man sitting on a bench with a sign written in Spanish in background and the reflection of a lady walking from a mirrored wall.,The woman sees the man,1
5918,4525077213011,Photo of a man sitting on a bench with a sign written in Spanish in background and the reflection of a lady walking from a mirrored wall.,there is a boy running by,2
6044,4484605010011,A person wearing a gray sweatshirt bikes through an alley full of parked cars on a cool fall day.,The person is running away from the cops.,2
6045,4484605010012,A person wearing a gray sweatshirt bikes through an alley full of parked cars on a cool fall day.,A person is biking in the cold.,1
6046,4484605010010,A person wearing a gray sweatshirt bikes through an alley full of parked cars on a cool fall day.,A person is outside.,0
6068,3518443604311,a couple cuddling in a corner on a set of stares,"A couple is holding hands while walking down the street,.",2
6069,3518443604312,a couple cuddling in a corner on a set of stares,A couple is discussing their future.,1
6070,3518443604310,a couple cuddling in a corner on a set of stares,A couple is having some alone time together.,0
6083,4630116750411,A person in a red jacket bending over.,The person is not wearing a shirt.,2
6084,4630116750412,A person in a red jacket bending over.,The person is outside.,1
6085,4630116750410,A person in a red jacket bending over.,The person is on their feet.,0
6191,2347763226412,Man taking off his shoes on a set of stairs.,Someone is changing from one pair of shoes to another.,1
6192,2347763226411,Man taking off his shoes on a set of stairs.,The man is already barefoot.,2
6193,2347763226410,Man taking off his shoes on a set of stairs.,Someone is in the stairwell.,0
6206,4777826385410,Man in business suite leaning on lion statue.,The man is dressed for business.,0
6207,4777826385411,Man in business suite leaning on lion statue.,"This tycoon just paid all his taxes, reduced his salary, and gave the custodian a raise.",2
6208,4777826385412,Man in business suite leaning on lion statue.,The City broker leans on the symbol of old England.,1
6280,462879289412,Young girls wearing green jerseys and black shorts stretch their legs.,The girls are soccer players.,1
6281,462879289411,Young girls wearing green jerseys and black shorts stretch their legs.,The girls are skipping rope.,2
6282,462879289410,Young girls wearing green jerseys and black shorts stretch their legs.,The girls are wearing uniforms.,0
6328,4948865477110,"One man, in a blue jacket, is sitting in the rain under a green umbrella.",Rain is falling from the sky.,0
6329,4948865477112,"One man, in a blue jacket, is sitting in the rain under a green umbrella.",He is sitting on a bench.,1
6330,4948865477111,"One man, in a blue jacket, is sitting in the rain under a green umbrella.",The jacket and umbrella are the same color.,2
6340,1578355853312,A group of people and a dog sitting on concrete bleachers.,A group of people and a dog are attending a football game.,1
6341,1578355853310,A group of people and a dog sitting on concrete bleachers.,A group of people and a dog are sitting outside.,0
6342,1578355853311,A group of people and a dog sitting on concrete bleachers.,A group of people and a dog are sitting on the ground.,2
6508,4692746525410,An old man wearing a red suit stands in a large social gathering.,The man has lived for many years,0
6509,4692746525411,An old man wearing a red suit stands in a large social gathering.,The man is 10 years old,2
6510,4692746525412,An old man wearing a red suit stands in a large social gathering.,The man is 102 years old,1
6535,4692746525212,"An old man wearing a suit, tie, and a captain's hat is standing amid a crowd, with an angry look on his face.",Captain Ahab is looking for the whale,1
6536,4692746525211,"An old man wearing a suit, tie, and a captain's hat is standing amid a crowd, with an angry look on his face.",Captain Ahab will get the whale,2
6537,4692746525210,"An old man wearing a suit, tie, and a captain's hat is standing amid a crowd, with an angry look on his face.",The old man is unhappy,0
6571,387822740212,A caucasian male toddler sweeps the tiled floor.,A toddler sweeps up his mess.,1
6572,387822740211,A caucasian male toddler sweeps the tiled floor.,A black child washes a window.,2
6573,387822740210,A caucasian male toddler sweeps the tiled floor.,A white toddler sweeps the floor.,0
6583,2656424263411,A young man does exercises in his fencing class.,The man only uses guns.,2
6584,2656424263412,A young man does exercises in his fencing class.,The man is athletic.,1
6585,2656424263410,A young man does exercises in his fencing class.,The man has held a sword.,0
6604,6189180318411,Football team is getting drenched by a hose.,The team is about to win the title.,2
6605,6189180318412,Football team is getting drenched by a hose.,The team is having fun in the summer.,1
6606,6189180318410,Football team is getting drenched by a hose.,The team is getting wet.,0
6664,2074244690010,A group of men and women are facing in the direction of something that is happening off-camera.,A group of men and women are facing in the direction of something that is happeningo off-camera,0
6665,2074244690012,A group of men and women are facing in the direction of something that is happening off-camera.,Something interesting is happening off camera,1
6666,2074244690011,A group of men and women are facing in the direction of something that is happening off-camera.,The group of people are watching tv,2
6787,310715139310,Dog on a rock next to water.,A dog is next to the water.,0
6788,310715139312,Dog on a rock next to water.,The dog is jumping in the water.,1
6789,310715139311,Dog on a rock next to water.,A dog is getting a treat.,2
6931,2849194983012,A girl whose head is sticking out of the water at her mouth.,A girl is swimming in the water.,1
6932,2849194983011,A girl whose head is sticking out of the water at her mouth.,The girl walks on the water.,2
6933,2849194983010,A girl whose head is sticking out of the water at her mouth.,There is a girl in the water.,0
7042,2464311348211,Two men on a dock preparing freshly caught fish.,Two men are fishing off a pier.,2
7043,2464311348212,Two men on a dock preparing freshly caught fish.,Two men clean fish they caught.,1
7044,2464311348210,Two men on a dock preparing freshly caught fish.,A couple men are cleaning their fish on a dock.,0
7075,4779910502012,"A distressed couch sits in front of a graffiti-covered wall, while a woman looks and smiles.",She is outdoors.,1
7076,4779910502011,"A distressed couch sits in front of a graffiti-covered wall, while a woman looks and smiles.",She is window shopping.,2
7077,4779910502010,"A distressed couch sits in front of a graffiti-covered wall, while a woman looks and smiles.",She is looking at the furniture.,0
7087,4912894178310,A man wearing a yellow hard hat is pulling on a rope.,A man wearing a yellow hard hat is pulling hard on a rope pulley,0
7088,4912894178312,A man wearing a yellow hard hat is pulling on a rope.,A construction worker is pulling on a rope,1
7089,4912894178311,A man wearing a yellow hard hat is pulling on a rope.,A man pulls a rope and rings a bell,2
7195,2580174179110,A larger man in a leaf-printed shirt is working with his remote controlled airplane.,A heavyset man in a leaf-printed shirt is playing with an RC airplane.,0
7196,2580174179111,A larger man in a leaf-printed shirt is working with his remote controlled airplane.,A woman in a business suit is drinking coffe.,2
7197,2580174179112,A larger man in a leaf-printed shirt is working with his remote controlled airplane.,A heavyset man in a bright red-and-blue hawaiian shirt is playing with an RC airplane.,1
7216,4857779728211,A young woman wearing a colorful flower shirt is taking a photo on a busy street.,A man is hunting animals.,2
7217,4857779728210,A young woman wearing a colorful flower shirt is taking a photo on a busy street.,A woman is on a street,0
7218,4857779728212,A young woman wearing a colorful flower shirt is taking a photo on a busy street.,A woman likes to take photos,1
7453,3357937209112,The white dogs look curiously at the black llama.,THe huskies look at a lamma,1
7454,3357937209111,The white dogs look curiously at the black llama.,THe black dogs look at a llama,2
7455,3357937209110,The white dogs look curiously at the black llama.,THe white dogs look at a llama,0
7468,3482314155312,A man running away from a charging bull.,A man is at Running of the Bulls,1
7469,3482314155310,A man running away from a charging bull.,A man is running away from a bull,0
7470,3482314155311,A man running away from a charging bull.,A man got attacked by a bull,2
7645,4594224630010,Men are playing different musical instruments in a park.,They make music together,0
7646,4594224630011,Men are playing different musical instruments in a park.,They play hocket in the park,2
7647,4594224630012,Men are playing different musical instruments in a park.,They have been in a band together for 5 years,1
7729,2070798293111,A young girl jumps off of a couch and high into the air.,the young lady knows how to fly in sky,2
7730,2070798293112,A young girl jumps off of a couch and high into the air.,when the girl jumps it creates new heights everytime,1
7731,2070798293110,A young girl jumps off of a couch and high into the air.,there is a young girl who is trained in jumping,0
8065,6178994097111,"A closeup of a child's face eating a blue, heart shaped lollipop.",A kid eating at Taco Bell.,2
8066,6178994097110,"A closeup of a child's face eating a blue, heart shaped lollipop.",A child enjoying some candy.,0
8067,6178994097112,"A closeup of a child's face eating a blue, heart shaped lollipop.",A kid eating desert.,1
8493,5812770731410,A good slide into home at a Philly game,A slide is happening.,0
8494,5812770731411,A good slide into home at a Philly game,A man is playing in the World Series.,2
8495,5812770731412,A good slide into home at a Philly game,A man has just slid into home base.,1
8496,3749555902310,a woman painting her toenails red on the couch,A woman gently applies red nailpolish to her toenails.,0
8497,3749555902311,a woman painting her toenails red on the couch,The woman is wearing a pair of wool socks on both feet.,2
8498,3749555902312,a woman painting her toenails red on the couch,The woman is in the process of giving herself a complete pedicure.,1
8499,2404046478311,"A baby camel going towards a woman, while a man takes a picture.",The woman is inside.,2
8500,2404046478312,"A baby camel going towards a woman, while a man takes a picture.",The woman is touching the camel.,1
8501,2404046478310,"A baby camel going towards a woman, while a man takes a picture.",The baby camel is outside.,0
8636,4745414475112,Little girl in her bridesmaid dress sitting down with the bouquet.,The girl is enjoying herself.,1
8637,4745414475111,Little girl in her bridesmaid dress sitting down with the bouquet.,The girl is getting married.,2
8638,4745414475110,Little girl in her bridesmaid dress sitting down with the bouquet.,The girl is at a wedding.,0
8666,23008270011,A female tennis player in a white shirt and black tennis skirt getting ready to swing.,The tennis player is watching TV.,2
8667,23008270012,A female tennis player in a white shirt and black tennis skirt getting ready to swing.,The tennis player is warming up to play a game of tennis.,1
8668,23008270010,A female tennis player in a white shirt and black tennis skirt getting ready to swing.,The tennis player is at a tennis game.,0
8726,2146600736312,Woman in yellow costume smiling.,Woman in Halloween costume smiling.,1
8727,2146600736310,Woman in yellow costume smiling.,Woman in costume is happy.,0
8728,2146600736311,Woman in yellow costume smiling.,Woman plays soccer,2
8747,2748894638010,A woman leads a toddler and dog on an uphill climb through a meadow.,The lady is leading the boy uphill.,0
8748,2748894638011,A woman leads a toddler and dog on an uphill climb through a meadow.,The lady has ice in her veins.,2
8749,2748894638012,A woman leads a toddler and dog on an uphill climb through a meadow.,The boy and dog are tired.,1
8848,3118983136210,Two rickshaw operators waiting for a fare with traffic in the background.,Two rickshaw operators wait for a fair.,0
8849,3118983136212,Two rickshaw operators waiting for a fare with traffic in the background.,Two rickshaw operators wait for a fair to come back from inside.,1
8850,3118983136211,Two rickshaw operators waiting for a fare with traffic in the background.,Two rickshaw operators are taking a break.,2
8929,4774376310111,A woman is having her cigarette lit by a man out of the frame.,The woman is lighting her own cigarette.,2
8930,4774376310110,A woman is having her cigarette lit by a man out of the frame.,The man is holding a lighter.,0
8931,4774376310112,A woman is having her cigarette lit by a man out of the frame.,The woman has the cigarette in her mouth.,1
9016,4499296995410,A lady and a boy are holding hands.,The people are touching.,0
9017,4499296995412,A lady and a boy are holding hands.,A woman and her son walk to school together.,1
9018,4499296995411,A lady and a boy are holding hands.,The people are on opposite sides of a 4-lane highway.,2
9064,4770979319411,A woman in bright clothes with a folded blanket on her head.,A man in bright clothes with a folded blanket on her head.,2
9065,4770979319412,A woman in bright clothes with a folded blanket on her head.,A woman in yellow clothes with a folded blanket on her head.,1
9066,4770979319410,A woman in bright clothes with a folded blanket on her head.,A woman in bright clothes has a blanket above her head,0
9076,4661610976310,A man in casual clothes is speaking in front of people.,there is a gentleman giving the speech,0
9077,4661610976311,A man in casual clothes is speaking in front of people.,politicians lways wear casuals,2
9078,4661610976312,A man in casual clothes is speaking in front of people.,casual wear doesnt matter for a leader,1
9283,6090766940411,Two guys are trying to control an animal.,The guys are grabbing at a cow.,2
9284,6090766940410,Two guys are trying to control an animal.,An animal is being corralled by two men.,0
9285,6090766940412,Two guys are trying to control an animal.,The men are trying to grab an animal.,1
9286,6090766940312,The rowdy bull spits as the men attempt to lasso it.,The bull is angry.,1
9287,6090766940310,The rowdy bull spits as the men attempt to lasso it.,The men have ropes.,0
9288,6090766940311,The rowdy bull spits as the men attempt to lasso it.,The bull is sleeping.,2
9364,4834104127212,Some people are sitting at an outside food market at night.,These people are together,1
9365,4834104127211,Some people are sitting at an outside food market at night.,These people are eating in a restaurant,2
9366,4834104127210,Some people are sitting at an outside food market at night.,Its night out,0
9412,4785668533012,A man wearing shades of black and gray leans against a pillar on the brick pavement reading a book.,A man looking cool is reading a book by a building,1
9413,4785668533011,A man wearing shades of black and gray leans against a pillar on the brick pavement reading a book.,A man is reading about how awful he looks.,2
9414,4785668533010,A man wearing shades of black and gray leans against a pillar on the brick pavement reading a book.,A man wearing sunglasses is reading a book,0
