premise,hypothesis,label
Two boys in black pants are in contact with each with a slide in the background.,Two boys in black pants are talking about girls with a slide in the background.,1
A man with an angry expression is drinking a large glass of beer.,A man is holding a glass.,0
Two tired children rest on couches at an art museum while the adults around them view the art.,Three children run around as adults in a museum sit on a bench.,2
A little girl is leaning out of a basket and looking down.,A girl is sitting in a basket.,0
"A woman in brown pants and a lime green coat, is checking something in the engine of a metallic green car, in a parking lot.",A women attends a gallery opening.,2
A man and woman look back at the camera while standing in front of a red art structure.,The man and the woman are in front of a camera.,0
A woman wearing a flowered top holding a drink and talking.,A woman is holding her pet poodle.,2
A man with a bandanna around his head is lifting a very heavy weight and smiling.,Man lifting a weight to break a world record.,1
Man in red bandanna straining to lift a heavy barbell.,The man is very strong.,1
A brown bird flies off to the right at a crowded beach.,People are eating birds on the beach.,2
A group of men of varying nationalities hold multiple American Flags and make peace signs for a picture.,The men are all clamoring for war.,2
An old woman wearing a white shirt and green shorts is standing on a sidewalk.,Its warm outside on the sidewalk where the women is standing.,0
The young soccer player enjoys the game.,A young soccer player enjoying a game.,0
The large brown dog is walking into a shallow lake.,There is a dog outside.,0
A boy stands beside a railing at a go kart track.,There is nobody at the go kart track.,2
A man in a bright yellow shirt plays his guitar as another man plays the drums in the background.,The man in the bright yellow shirt blows his trumpet.,2
The bartender shows off the wide selection of beers on tap.,The bartender is suggesting a few beers.,1
Group of young men playing cricket in a dirt field.,Group of men playing cricket.,0
White dog holding pink floppy Frisbee in mouth jumping with all four feet off the ground.,The white dog was holding the pink floppy Frisbee in its mouth after jumping with all four feet from the ground.,0
Two ladies with aprons were working very hard on a very shiny table.,Two ladies are cleaning the table for a distinguished guest.,1
Two male tennis players conversing across the net on an outdoor court,two men are on a tennis court,0
"A girl's hands, another person's feet, and a boy playing bongo drums sit on a picnic table.",A boy is banging a war drum as his fruits put on paint for battle.,2
"Some people in blue shirts are standing up at an even with big letters spelling out the word ""KRUNCH"".",People at a football game are advertising for KRUNCH candy bars.,1
A quiet corner in a busy city.,A quiet corner in the city.,0
A teen skateboards past a graffiti Chimera clutching a sword and skull.,A teen is sitting down with his friends,2
A young boy splashes down a water slide on a lawn.,A young boy is playing outside.,0
"A young man wearing a business suit, sitting on a bus with his head down.",A man is on the bus.,0
The person is roasting something.,Somebody is cooking.,0
The couple is walking down the street talking on their cellphones.,A couple is walking down the street.,0
Several bike racers zoom horizontally down a street with a motion blurred forest in the background.,The bikes are at the bottom of the ocean.,2
Four children hold hands and jump into a pool.,The children are trying to see how much splash they can make,1
A man and woman wait outside the entrance railing of a subway station outside of a Sbarro italian restaurant.,A man and woman sit outside.,0
"A man rides a surfboard over a wave, the nose of the board pointing downward.",A man is surfing outside.,0
Older men concentrate while playing a game of Dominoes.,Men playing a game.,0
A woman looking at a stranger through the glass of the bus.,A woman looks down at her phone instead of through a bus window.,2
A man somewhat sky dives into a blue serene pool.,A man is sleeping.,2
A woman is pulling a motorcycle up onto one wheel performing a trick.,A woman is pulling a motorcycle up onto one wheel while doing a trick.,0
A man and a dog outside in a snowstorm.,A dog is pulling a man on a sled.,1
A person in a red shirt climbing up a rock face covered in assist handles.,A person in a red shirt is conquering his fear of climbing.,1
Side view of a mountaineer walking into strong headwinds.,A man outside.,0
Many people wearing headphones are sitting in blue chairs looking at computers.,Many people dancing with joy in a restaurant.,2
A girl wearing a red tank top is sitting on a front porch.,a  girl is outside,1
A man in a helmet holding a cellphone.,A man in a helmet is riding a bicycle while texting,1
A man holding the Texas flag is nearly blown off his feet on a city street.,A man is not holding the Texas flag.,2
An infant is swaddled in a blanket in a bassinet.,A baby in a portable baby bed.,0
A man in a blue shirt with gray hair is looking through a camera with mountains in the background.,A man wearing a tan shirt with blonde hair running down a tree lined street.,2
Two girls are competing against each other in a game of basketball.,People are walking along the beach.,2
A man in a white shirt standing with a man in a brown shirt looking out over the ocean.,Two men are outside.,0
An ice cream truck employee is sitting on the side of the ice cream truck.,The man is on a break.,1
A man puts his motorcycle up on its rear wheel on a track.,A man is attempting a trick on his motorcycle.,1
the dog is jumping on to the couch,The animal is sleeping in a car.,2
A man is walking down a street with bicycles behind him.,A man walks down the street in front of some bicycles.,0
In a colorfully lit setting a man plays an accordion.,The man is playing at a polka festival.,1
Two men stand on a balcony in front of an open window while shielding their eyes and pointing at the sky.,The men are sitting on the balcony looking at each other.,2
Two people in outwear are using telescopes on tripods to view items in an urban area during the daylight while other individuals are standing near this group of equipment.,FBI agents look through telescopes during a steak out.,1
"Two children, one in a yellow shirt and the other in red rain boots, swing on the swings at a playground.",There is water on the ground.,1
"A man wearing jeans, polo shirt and a baseball cap, fork in hand, is grilling meat outside in a fenced yard.",the man is naked,2
"A bull rider in a red shirt, black vest, and jeans rides a brown and white bull while onlookers watch from behind a green fence.",There is a bull rider in a rec shirt behind a green fence who is about to get bucked off.,1
A woman wearing a metallic headdress and costume is swirling colorful scarves around herself.,A person is holding pieces of cloth and moving their arms.,0
A girl with dark hair swings on a hanging log.,The girl has red hair.,2
A woman in a pink shirt eating dip from a bread bowl.,A woman waits for her meal.,2
A bald man with tattoos on his head a face stands with a man in tan with backs turned to the camera.,The two men are holding hands.,1
A woman in white with her arms folded smiling as a man is laughing holding cotton candy.,A woman watches her husband buying cotton candy at a carnival.,1
Two young boys are having fun and jumping from a swing set.,Friends play together at recess.,1
A man in a wetsuit rides a surfboard on a wave with a bright sun and blue sky in the background.,The man is on the moon,2
Three men are smiling and posing behind a truck loaded with various construction supplies.,Three men are joyously smiling,1
A man's hand is shown helping a spatula to flip a pancake from a square frying pan in a messy kitchen.,The man is going to eat the pancake.,1
People are walking on a crowded street.,There are people running,2
A woman in a denim vest standing with a child in a white shirt at her feet.,The woman is the mother of the child.,1
A woman is holding a candlelit cake above a group of children.,A woman singing happy birthday to kids.,1
A small crowd outside of Famous Joe's Pizza.,There is a large crowd.,2
A group of rollerskaters follow the lead of a man wearing blue pants and a red shirt on a wood paneled floor.,A group of rollerskaters rollerskate.,0
Eight football players are in mid-play as the defense takes down the offense.,A football takes out a field of football players.,2
A photographer takes a picture of a group of one girl in a pink dress and 10 boys in suits and hats.,A girl and 10 boys are posing for their prom picture.,1
Very bored woman on subway.,Four men are waiting for the subway.,2
Two men are sitting down as the one in the red shirt holds up a can of soda.,The two men ate sitting on the park bench and one of them offers a drink of soda to his son.,1
A man in water throwing a little boy up in the air and waiting for him to come down so he can catch him.,A man playing with a little boy in water.,0
A long-haired man plays his guitar with inspiration.,A man tap dances.,2
A band is playing the bagpipes while a man jogs by wearing all black,A band is playing the bagpipes.,0
A woman in a red outfit is jogging next to several street signs.,The woman in red is jogging near the street signs.,0
A woman with a white visor and blue top and white pants eating while standing in a crowd.,A woman is singing in front of others.,2
"Two women, one in a black and gold dress and one in a black and red outfit, dance with their backs turned and their left hands upraised.",women dancing,0
A woman whose face is covered is surrounded by people who have tape recording devices.,The woman is swimming at a lake.,2
The dog tries to play with a basketball in the snow.,The big dog tries to play with a basketball in the snow.,1
Someone is climbing vertically a wall of ice.,a wall of ice is being climbed,0
a child sitting with a stuffed toy on a couch,The child is playing with a toy animal.,1
A boat goes out to see while someone watches on the beach.,There is no water near the beach.,2
man in hat sitting in front of artwork.,A man near a painting.,1
"Two men, one with a brown hat and blue long-sleeve shirt, the other in jeans and a blazer, sit outside, facing each other.",Two men waiting fora bus,1
"A pilot wearing a light blue shirt, dark pants and tie is standing in front of a plane, smiling.",The pilot smiling is female.,1
A girl is standing on a graffiti covered stone with something in her mouth.,The girl is outside.,0
"A group of people enter a doorway next to a red sign reading ""WELCOME Bikers"".",A group of people enter a doorway.,0
A man in a red shirt is playing a saxophone outside a business.,A man wearing a red shirt is playing a musical instrument.,0
Boy and girl running along the beach.,Two people run on the beach.,0
several people sitting on what appears to be a carnival ride,There are several people sitting on what appears to be a carnival ride.,0
The woman sits on the steps outside.,The woman is sitting.,0
"Two woman stand at a bus stop waiting, one is wearing a purple collared shirt and the other is blurry wearing the black shirt.","Two woman stand at a bus stop waiting, one is wearing a purple collared shirt and blue hat and the other is blurry wearing the black shirt.",1
"A young woman, dressed in casual, black clothing, is holding a sword, in battle stance.","A young woman, dressed in casual, black clothing, is holding a bat and about to strike the baseball.",2
Students study while in a classroom.,The students were studying for their final exams,1
There is a homeless man outside this building.,There is a rich man outside this building.,2
A child with sunglasses and a shirt filled with dirt.,a child is drinking water.,2
A man with dreadlocks and a beard is talking on his cellphone.,A man with short hair is waving at someone.,2
"A man in a black shirt and gray hat gives the thumbs up to a crowd with one hand, while holding a microphone in the other.",A man in a gray hat shoots the crowd a thumbs up signal while gripping the microphone with his other hand.,0
"Two ladies walking near a park, deep in conversation.",The women are talking.,0
A man with short brown hair wearing a red shirt is sitting outdoors next to a woman wearing a black and white blouse.,A couple are physically close to each other outside.,0
A man in a white shirt walking a bike.,A man walks his bike in a white shirt,0
a fire burning paper while people look,People watch as a man burns.,2
A man is riding a board in the ocean and is being pulled from above.,A man is sleeping.,2
An elderly man dressed in a red and blue plaid shirt and brown camouflage cap is watching an event while eating a snack from a plastic bag on his lap.,A man is asleep in a tree.,2
"The bike rider runs with his red bike while another gains on him, both wearing green outfits and black helmets.",The runner is sweating.,2
Police officer on a Sheriff's department motorcycle poses in front of a male service member of a color guard with a blurry festive background that includes another motorcycle with 2 civilians without helmets wearing jeans.,They are posing for a photograph.,1
Rider riding a white horse that is jumping a fence.,a rider is jumping a fence on a horse,0
A group of women dressed in red dresses are playing hand drums.,The women are playing instruments.,0
two people cooking outside.,people are outdoors.,0
Three boaters paddle their produce to the market in a Vietnamese fishing village.,three people trading for fish,1
A man is standing with his hand on a machine that has several gears.,A man trying to figure out a machine,1
Three football players are in action on the field,Three people are playing water-polo.,2
A child jumps off a high diving board into the pool.,The child is jumping into the pool.,0
Two women walking through a crosswalk.,Two women are outside.,0
A boy skateboards down the railing of some graffiti stairs,A boy is skateboarding with a friend.,1
A middle-aged woman on vacation looking out over the ocean while her traveling companion snaps a photo.,A person outside.,0
Man performing stunts with his motorcycle.,A person is riding his motorcyle.,0
Two females on a dirt road taking pictures.,Two women taking photos outdoors.,0
A man with a gray beard sitting outside on a plastic storage crate.,A man with a gray beard is running to catch a bus.,2
A man wearing sunglasses is sitting in the passenger seat of a silver vehicle.,A boy is playing in a tree.,2
A girl posing on a open stone walkway for a picture taken by a friend.,A girl is posing with one hand on her hip as her friend takes a picture,1
A man in a black shirt and jeans is in midair above a messy bed.,A person is jumping on the furniture.,1
A young girl in an orange bathing suit plays on the beach's shore.,A girl sits on the couch.,2
"People walking on a platform at a train station, with informational signs overhead.",The train-station is empty.,2
Scientists watching liquid flow out of a beaker in a lab.,A couple sharing a romantic dinner.,2
The crowd watches something from above.,crowd looks on,0
Two ladies are talking excitedly.,Two women speaking to each other.,0
A very pale woman wearing a dress is walking along an empty street.,A woman in a dress is driving home.,2
A groups of seven people wearing green shirts is walking along a sandy beach.,people are walking on the sand.,1
A man making balloon animals on a city street.,A man making balloon animals on a city street.,0
A brown dog swims and carries a brown object.,The dog is happy as he enjoys his exercise in the water.,1
A man sweeps the road in front of a wall with graffiti and two flats set against it.,A witch flies on a broom in the sky.,2
"There are two men with sunglasses, one of which is wearing a hat and a backpack.","There are two men with sunglasses, one of which is wearing a large floppy hat and a backpack full of candy.",1
Two girls playing on a tree with their dog.,The girls are playing with the dog,0
A man with a suitcase is standing in the middle of an airport with a big board of flight schedules in the background.,There is a man.,0
"One lonely individual with a yellow backpack and khaki-colored ski pants is crosscountry skiing, high up in the mountains overlooking a large lake.",A man is lost in the wilderness with only his cross country skis and his backpack to sustain him.,1
A man and a woman are relaxing on a beach with ruins in the background.,a man and woman fighting in the bed room,2
Two large dogs run in green grass with water in the background.,2 dogs are sleeping,2
A man in an alley with his mule.,A guy in an alley with a horse.,0
Singers entertaining the crowd.,Singers entertain a few people,-1
A woman with two kids walks towards a building.,A woman walks with two children.,0
A young woman is sitting outside next to a tree.,A boy is sitting by the ocean.,2
"A man in a white hat is playing a red and white electric guitar while sitting at a synthesizer with multiple keyboards supported by white PVC pipes, with a blue railing in the background.",a man wearing a hat,0
A man standing beside his bicycle on the street.,The man is sitting at a sewing machine.,2
A man and a woman against a railing looking at something.,A couple  looks on as their son gets a touchdown.,1
A group of young adults are standing near a chain link fence.,a group of people outside,0
A young lady reading an article while lounging on the beach.,A girl reads on a crowded beach.,1
A crowd of people are sitting on a bench beside a white statue of a man's head in a park like setting while four pigeons look on.,A crowd of people are running.,2
"A group of colorfully dressed dancers, jumping, laughing and celebrating below four large hot air balloons.",A group of dancers celebrate below hot air balloons.,0
A woman is doing a trick while jumping off a diving board.,A woman in a bathing suit is reclining by the pool reading a magazine.,2
"A hockey game is being played and a hockey player named ""David"" is trying to score against the goalie.",David's team is winning.,1
Man inspects pieces of fabric.,The man is looking closely.,0
A boy does skateboard tricks on a railing.,a girl lays down,2
A crowd of people gather nearby to watch the parade.,A crowd of people watch the Macy's Thanksgiving Parade.,1
A woman talking into a microphone.,the woman is speaking,0
A woman and a man with tattoos on the upper area of both of his arms having fun on the sidewalk with a few streamers around them.,The tattoos are on the legs.,2
A black man is talking to another man while holding a red cup in the middle of a crowd.,Two men are talking at a party.,1
A male hiker sits perched on a high rock in the mountains.,a man diving in the ocean,2
Stage dancers practicing their dance routines.,Dancers are taking a break.,2
Woman in white bikini top and blue shorts with body of water in the background.,The person is in front of the water.,0
A surfer rides on the incoming waves along side the beach.,The man is fishing in the ocean.,2
Two men in a relaxed office setting and they are both looking at their computers and one has their feet propped up on the desk.,two men watching youtube videos,1
a young girl climbs onto a red brick floor while wearing green swimming goggles and a white shirt,A girl climbs onto a crib because she is tired.,2
"Photo of a gated lot next to a store, graffiti on the side of the store.",The store is in a big city.,1
Two boys sand next to a drinking fountain in a park.,The boys are running through the park.,2
A child jumping into a lake in a wooded area while another child plays on the shore.,One of the children jumps into the lake with his clothes on.,1
A little child in red pants playing with a grocery basket.,A child is playing.,0
A woman in a light blue shirt with white sleeves cuts a watermelon.,A woman is making a fruit salad while wearing a light blue shirt with white sleeves.,1
A climber traverses a rope ladder between cliffs.,The climber is skilled.,1
A girl in a red and white outfit is standing inside a display with other holiday items.,A human standing,0
The little girl is holding a large broom trying to sweep while a lady in dark pink is kneeling barefoot with trees in the background.,A girl is flying around a lady on a broomstick.,2
Gymnast doing handstand on a pole,Gymnast does handstand show on the pole.,0
A male is breakdancing in front of an audience.,A man is doing a headspin.,1
Here is a picture of a people in a sports stadium.,People are driving a car in the stadium.,2
Lady in a blue polo holding a baby and a small box.,A person has a baby.,0
Two men dressed in green are preparing food in a restaurant.,Chefs at a famous New York restaurant.,1
A man in a blue shirt and blue jeans standing behind a Subway sign.,A man in a blue shirt and blue jeans standing near a Subway store.,0
Two men enjoying a game of pool.,Two men are playing a game.,0
A band performs on a lakefront stage.,The band plays a song.,0
A football player for the East Lake team takes down his opponent.,A football player tackles his opponent.,0
Five hockey players talking and joking in an ice hockey ring.,A group of hockey players are socializing inside.,0
A man on a bicycle leads a horse and rider in a rural area.,A man is coraling his horse to get back home.,1
Two women in white dresses are walking past a picture of people golfing.,Two men in white dresses are walking past a picture of people golfing.,2
A welder dressed in a green jacket and wearing protective gloves and a welding helmet welds some metal.,A tall human welding,1
Workers wearing orange vests are working on a curved wall.,there are some smart workers with orange vest doing art work on rounded wall,0
A kid diving into a public indoor pool.,A kid falls asleep in his chair,2
"A young boy who likes super heroes is brushing his teeth, with floss at the ready.",A boy is in the bathroom wearing a spiderman shirt.,1
One boxer in white shorts is punching the other boxer in blue and red shorts in the face.,A boxer in purple shorts is drinking water.,2
there is a man taking a picture of the choir.,A man is shooting people.,2
"A little boy is in a swimming pool with goggles on, covering his mouth and nose with his hands just above the surface of the water.",A person with goggles,0
Heavy equipment leveling the sand on a nice beach.,People are working today.,0
A woman with blue hair is playing the guitar leaning against a blue wall.,A human playing guitar,0
A street blocked off and guarded with one man in a striped shirt standing in the cleared road.,The street is being repaved,1
"A crowded vehicle, filled with tourists, drives on a road through a wooded area.",The tourist walk around the attraction.,2
Two teenagers are playing wrestling game in the park.,People are playing.,0
A brown dog jumps over hurdle with flames on each end.,The dog is unable to jump,2
A fence separates a woman holding a red flag from a law enforcement officer.,A woman holds a flag at a military funeral.,1
Black children sitting at a table with 6 green and white portable computers.,Black children are taking tests on portable computers.,1
An Asian man wearing a white shirt and sitting on a wood bench playing a musical instrument with a bow.,A young man is playing a violin while sitting in the park.,1
A large group of people gathered outside of a building.,the people are inside the room,2
a man standing in a bar with a neon beer sign hanging on the wall,The man is indoors.,0
The boy is dressed in a red coat and stands next to a statue.,A boy is in a museum.,1
Two man waiting at the subway for the train.,Two men are waiting for the subway.,0
"Many of the people were wearing white clothing with red bandannas, as they celebrated in the streets.",People are celebrating the election in the streets.,1
A dog has a wetsuit in his mouth on the beach.,A dog is carrying a wetsuit to his owner.,1
Young boy skateboarding in front of a tall monument that has 3 adult statues on it with one of the statues holding a baby.,The boy is skateboarding in a driveway.,2
A girl is weaving while a young child and an adult look on.,A girl sits in a room alone weaving cloth.,2
A blond female in a striped shirt points at something with her blue umbrella.,The female is wearing a solid colored shirt.,2
This girl is sitting on the grass and leaning against a tree trunk.,The tree is large.,1
"Three girls on a field, one is carrying a ball.",one girl on a field holding a ball.,2
There a young lady playing a instrument.,A young girl practicing on her instrument.,1
young boy wearing black shorts with his feet in the middle.,He wore his favorite pair of shorts.,1
A woman wearing a white shirt and red pants is writing something down at a museum.,A woman writes something down.,0
Street vendors all over in a asian market.,There are no vendors,2
3 men in the water on bamboo rafts.,3 men are mountain climbing.,2
There are many people shopping at clothing store that sells Carhartt.,Many people are shopping at the big clearance sale at the store.,1
Several people standing in the street.,people were waiting for the light to change so they could cross,1
A man is playing is guitar on a sidewalk while its raining.,The man is playing his guitar outside.,0
a kid is testing out exercise equipment.,The kid is exercising.,0
A man stands on a cliff overlooking the ocean.,A man is contemplating suicide.,1
A man performing on a guitar.,A man is at a pond fishing.,2
A man in a big black coat and hat walks down the street.,A man walks in the city streets.,1
"Two women stand by a large series of signs which say ""Le Cafe Marley"" in a hallway with a very high and ornate ceiling.",The hallways is painted yellow.,1
Two little brown-haired girls are grinning and squinting their eyes.,The blonde girls are sad and wide-eyed.,2
A man in a jacket is standing in the snow watching.,A man stands in the snow in a jacket.,0
"Two young men in are in a gym, one of them is punching a punching bag.",The men are in the gym,0
"Person leaning against the wall, next to a life size cartoon cut out.",A woman sitting on a park bench,2
a lone blue and white race car about to cross the finish line,The blue car won the race.,1
A boy jumps over a red and black rope at a crowded park.,There are several dogs at the park.,1
A group of children are recording information on a day hike with parents in the wilderness.,Children take pictures in the dark.,2
A man in a woman in dance outfits are performing stretching maneuvers on a stage.,A man and a woman are warming up their muscles before dancing.,0
Girl playing mini golf with flowers in the background.,a girl eats pickles out of a jar,2
A blond Caucasian woman in a blue shirt wearing a straw hat.,A white woman in a blue shit is wearing a hat.,0
A little girl in a pink dress is walking outside.,She was playing in the mud.,2
Band playing in front of a small crowd outside.,The band are playing soft rock.,1
a snowboarder jumps off the snow jump.,A snowboarder is doing tricks.,1
A person on a skateboard is in the air while performing a skateboarding trick.,The skier is going down the slope.,2
Two children on the beach.,A pair of kids are out on some sand.,0
A man is playing his guitar on a city street corner.,A man is playing guitar in a stadium.,2
A man works on a model train.,The man is sleeping.,2
"A young man wearing a bandanna on his head stands leaning on a short brick wall, with flowers behind him.",A young man poses with flowers behind him.,0
The man with the black tee and blue jeans is trying to make a repair on his blue minivan.,The guy wears a yellow striped jumpsuit with suspenders.,2
A teenage boy with a white shirt and black pants and a young girl with a pink top and black skirt walking through a weedy field.,A little boy and an elderly woman are swimming in a pool.,2
Two men riding horses at an event,The horses are brown,1
A boy is sitting on a bank trying to feed a beautiful goose.,The boy is feeding a dog.,2
A man writing'who are you' on his notepad while drinking coffee and eating muffins.,A man is in a cafe.,1
"Brown dog with tennis ball in mouth, in water and bushes.",The dog has something in it's mouth.,0
Soccer players wave to the stands.,Soccer players wave to the people.,0
A black man is wearing a brown shirt and a necklace.,A man is wearing no jewelry.,2
An older man in a yellow shirt holds a green shopping bag while standing in the middle of a street.,the man is a police man,1
A little girl in a white sweater with polka dots is playing with a wooden tracked train set.,A little girl is wearing a white sweater,0
A newly married couple cutting the cake.,Two people cut some cake.,0
A dark-haired women scrubbing a bucket.,A women scrubbing a bucket.,0
"On a dimly lit stage, two men, one with a boom mike, another with a camera, face a third man sitting alone in the audience.",Two men are getting ready for a show.,1
Military personnel patrol an area.,Military patrol outside,1
A group of people are playing music in a drum circle.,A group of people are playing African tribal music on drums.,1
A man is standing outside of a donut stand.,A man is waiting to order.,1
Large group of people running in a race sponsored by Adidas.,Marathoners running in a marathon sponsored by a large company.,1
"A green train getting ready to enter a tunnel, along with the train conductor who is wearing a blue hat and shirt.",A steam train prepares to enter a tunnel through a mountain.,1
A little girl sits on top of a pumpkin in front of an arrangement of vivid flowers outside.,A little boy is smashing pumpkins.,2
Hockey players during a game.,The hockey players are losing.,1
"A man is angrily boxing another, jabbing his left fist into the neck of the other.",Two men are fighting.,0
A dog lies on his back near a child reading a book.,A dog is laying down by a child.,0
A woman in a pink dress and sunglasses carrying a blue bag pulls at her hair.,A woman is kneeling tying her shoelaces.,2
A man and woman holding hands in front of a lake.,The couple are holding hands.,0
Two dogs fetch sticks in the snow next to the tree line.,The trees are pine trees.,1
A woman gives the thumbs up over the slope.,There is a woman giving thumbs up.,0
Two women smile while sitting at a table.,Two women enjoying each others company,0
"Bicycle racers, the middle one in white with yellow sunglasses and red shoes, ride along a street, while onlookers watch from behind a barrier.",racers racing in a race,1
Several young adults drinking alcoholic beverages at a party.,A bunch of people drinking vodka.,1
A short-haired woman speaks passionately to a group of younger women wearing traditional Indian dress.,The woman sang passionately to a group of younger women about wearing traditional Indian dresses.,2
A BMX biker riding down a muddy trail wearing protective gear.,Biker in a helmet riding a trail,0
"A man in a blue checked shirt is walking on the street with his hand in his pocket, and passing an orange cone.",the man drove his car to work,2
A worker washers the side of a train with a brush.,a brush is used to clean a train,0
2 guys are parachuting and are in midair.,Two men are bungee jumping.,2
A little boy sitting among others in crowd with a curious look upon his face.,A child is around other people.,0
A barricade separates two women and three children from a group of men in uniform marching down the road.,A barricade separates two women and three kids from a group of marching men.,0
An overweight white man wearing a gray tee-shirt and lighter gray shorts is standing in the foreground of a classroom while another white man wearing glasses sits in a chair looking at him.,a man is standing in front of a classroom,0
A jockey is riding a camel draped with an American flag down a track.,A camel draped in the American flag is being ridden by a jockey down a track.,0
"Boy with yellow shirt on, touching a spiral object.",The boy is in a yellow shirt.,0
"Three firemen are standing around two firetrucks, one with a beard is leaning against the firetruck, while the other two are talking to him.",The firemen are having a conversation,0
An elderly man and women walk together past a jewelery store on the sidewalk.,The man and woman are walking past the jewelry store because they can't afford the jewelry inside.,1
People dressed in all white are looking at some shaved lambs.,The people are dressed in black.,2
"A seated, older woman finishing a painting of a group of African women.",The woman is standing next to her freshly carved sculpture.,2
An asian man is at the front desk of a store for assistance.,A man is packing boxes at the back of the store.,2
A German shepherd on a leash barking up at somebody.,a dog is barking at the neighbor,1
Two large dogs run in green grass with water in the background.,two large dogs run in the mountains near the river,1
A large group of smiling children dressed in green standing outside of a primary school.,A group of adults are going to work.,2
A group of people travel through a line along side a gorilla statue.,A gorilla eats a kid.,2
A woman walks on a street wearing headphones.,The woman is riding a bicycle.,2
A person is walking by an old building.,a dog walks by a building,2
A woman dressed in blue is startled.,The woman is scared.,1
Two men are having a conversation.,Two men sleep side by side on a couch.,2
A woman wearing purple leg warmers hula hooping.,it is sunny outside,1
A young boy jumping off of a playground toy.,A young boy eating an ice cream cone at a restaurant.,2
A young child raises her arms while jumping on a yellow blow-up toy.,A child jumps on a bug.,2
A dog leaps of a dog jump.,A dog jumps over another dog.,1
a young skier looks at the camera.,A man is taking photos of a bear on ski's.,2
people waiting at a baggage claim terminal in an airport.,The bags are delayed,1
A group of females running a marathon.,The girls are in great shape.,1
A man in sunglasses on an overpass.,A man is wearing sunglasses to avoid heat and for fashion,1
A woman and a man dresses up and smiling with a bouquet of flowers between them.,Two boogers dressing up with rocks between them.,2
"A little boy with a red baseball hat on, is making a silly face at another player.",A boy is making a face.,0
Two girls signing a poster.,The two girls are swimming in the lake.,2
Two people stand before an ambulance.,Two people are riding in an ambulance.,2
Twp children dig holes in the dirt.,Three adults play in a sandbox.,2
Two black dogs and one white dog interact.,The dogs are barking.,1
A man in a gray shirt is operating the soundboard for a social gathering.,A man is controlling sound levels at an event.,0
A man in a green hoodie holds a fishing pole and stands on a rock that overlooks the sea.,A man in a red hoodie is sitting fishing in a stream,2
