unique_id,difficulty_score,premise,hypothesis,true_label
2_16913b,0.75,A bunch of different glasses on top of a checkerboard.,Someone placed the glasses on the checkerboard.,0
2_16913c,0.5,A bunch of different glasses on top of a checkerboard.,The checkerboard is inside.,1
1_23620a,1.0,The girls with a pierced lip and cap is standing next to a man with a beard and a black cap.,A couple are sitting down in a cafe,2
1_23620b,0.0,The girls with a pierced lip and cap is standing next to a man with a beard and a black cap.,A couple are standing near each other,1
1_23620c,1.0,The girls with a pierced lip and cap is standing next to a man with a beard and a black cap.,Two people are standing near each other,0
3_25007a,0.0,A man in a plaid shirt shows off a black set of gloves.,The six fingered man has been discovered.,2
3_25007b,0.25,A man in a plaid shirt shows off a black set of gloves.,The guy looking at his gloves.,1
3_25007c,1.0,A man in a plaid shirt shows off a black set of gloves.,A man shows off his gloves.,0
1_10873a,0.75,Two girls with pictures of cats on their shirts are standing in front of a man.,The two girls like cats.,1
1_10873b,0.5,Two girls with pictures of cats on their shirts are standing in front of a man.,The man is behind two girls.,0
1_10873c,1.0,Two girls with pictures of cats on their shirts are standing in front of a man.,The girls are alone.,2
2_2592a,1.0,A lady works on a sewing project at home.,The girl is drawing a picture.,2
2_2592b,0.25,A lady works on a sewing project at home.,A lady is using a sewing machine.,1
2_2592c,1.0,A lady works on a sewing project at home.,The woman is in her house.,0
1_5729a,1.0,A football player facing off against two others.,The football player is playing video games on the couch.,2
1_5729b,0.75,A football player facing off against two others.,The football player is in the game.,0
1_5729c,1.0,A football player facing off against two others.,The football player is looking nervous.,1
2_23251a,1.0,A child in a blue jacket and red shoes is sitting in a stroller.,the child is sleep,2
2_23251b,0.0,A child in a blue jacket and red shoes is sitting in a stroller.,a child is standing,0
2_23251c,1.0,A child in a blue jacket and red shoes is sitting in a stroller.,watched by a group,1
4_25252a,0.0,Two men are applying ceramic tile to an old roof.,The guys are applying for new jobs.,2
4_25252b,0.0,Two men are applying ceramic tile to an old roof.,The construction workers are fixing the roof.,0
4_25252c,0.25,Two men are applying ceramic tile to an old roof.,The men are on top of a house.,1
1_28443a,1.0,Some children are playing football with a seacoast in the background.,Children are hiking in the mountains.,2
1_28443b,0.75,Some children are playing football with a seacoast in the background.,Children are playing a sport near the ocean.,0
1_28443c,0.5,Some children are playing football with a seacoast in the background.,Children are playing on the beach.,1
3_28339a,1.0,"4 men playing rugby two on the green team, two on the white team, one is jumping up.",the 4 men playing  two green team and two white team one of this jump,0
3_28339b,0.25,"4 men playing rugby two on the green team, two on the white team, one is jumping up.",the 4 men playing two green team and two white team and one of this playing ground,1
3_28339c,0.25,"4 men playing rugby two on the green team, two on the white team, one is jumping up.",the 4 men playing 4 players with ground,2
4_24098a,0.0,A crowd of people watching a tightly packed parade move down a modern city street.,a group of people enjoy the view of the parade.,1
4_24098b,0.75,A crowd of people watching a tightly packed parade move down a modern city street.,A parade runs over a crowd of people.,2
4_24098c,1.0,A crowd of people watching a tightly packed parade move down a modern city street.,A crowd watches a parade.,0
3_8674a,1.0,A happy family is sitting around in a circle in their living room playing with a set of dominoes.,A family is spending some time during the day.,1
3_8674b,1.0,A happy family is sitting around in a circle in their living room playing with a set of dominoes.,A crowd of people are near some objects.,0
3_8674c,0.5,A happy family is sitting around in a circle in their living room playing with a set of dominoes.,The family are talking to each other on their phones.,2
4_27017a,1.0,A curious baby inside a suitcase exploring various items.,The infant is grabbing onto a tie.,1
4_27017b,0.75,A curious baby inside a suitcase exploring various items.,The baby is smaller than the luggage.,0
4_27017c,1.0,A curious baby inside a suitcase exploring various items.,The child is swinging on a swing.,2
1_26802a,0.75,An elderly woman crossing the street with her shopping cart.,Cars are coming down the street,1
1_26802b,0.25,An elderly woman crossing the street with her shopping cart.,A woman is pushing a shopping cart through Walmart,2
1_26802c,1.0,An elderly woman crossing the street with her shopping cart.,There is a person near the street,0
4_6769a,0.5,"A tan, male dog is jumping up to get a drink of water from a spraying bottle.",a dog is playing,1
4_6769b,1.0,"A tan, male dog is jumping up to get a drink of water from a spraying bottle.",a dog is purple,2
4_6769c,1.0,"A tan, male dog is jumping up to get a drink of water from a spraying bottle.",a dog is jumping,0
2_28125a,1.0,A man in a red jacket is snowboarding near a forest.,The man took his girlfriend snowboarding.,1
2_28125b,0.0,A man in a red jacket is snowboarding near a forest.,The man is afraid of the cold weather.,2
2_28125c,1.0,A man in a red jacket is snowboarding near a forest.,The man is snowboarding.,0
2_12346a,0.25,A man with dark hair and a white top is walking toward a bird on a boardwalk.,A black-haired man in a white t-shirt goes for a stroll by the sea.,1
2_12346b,1.0,A man with dark hair and a white top is walking toward a bird on a boardwalk.,The boardwalk has been evacuated and cordoned off because of a hurricane warning.,2
2_12346c,1.0,A man with dark hair and a white top is walking toward a bird on a boardwalk.,A males is outdoors.,0
3_2844a,1.0,A dog stands on the side of a grassy cliff.,A dog is standing outside.,0
3_2844b,0.5,A dog stands on the side of a grassy cliff.,A dog is peeing in a park.,1
3_2844c,1.0,A dog stands on the side of a grassy cliff.,A dog is running through a cul-de sac.,2
0_28264a,1.0,A man is taking a break from working hard.,A man relaxes.,0
0_28264b,0.75,A man is taking a break from working hard.,A man wipes sweat off his brow.,1
0_28264c,0.75,A man is taking a break from working hard.,A man operates a complicated piece of machinery.,2
0_15704a,0.5,Soccer players in blue before a game.,The players are waiting for the beginning of the game,1
0_15704b,0.0,Soccer players in blue before a game.,The players are waiting for something,0
0_15704c,1.0,Soccer players in blue before a game.,Two boxers in blue before a fight,2
4_10861a,1.0,A man wearing a yellow vest is snorkeling.,A man is exploring an underwater reef.,1
4_10861b,1.0,A man wearing a yellow vest is snorkeling.,A man is walking on the beach.,2
4_10861c,0.25,A man wearing a yellow vest is snorkeling.,A man is swimming.,0
2_20534a,1.0,a woman stands near a fountain.,The woman is near some water.,0
2_20534b,1.0,a woman stands near a fountain.,The woman is swimming in the river.,2
2_20534c,0.0,a woman stands near a fountain.,The woman is outside.,1
1_23717a,0.25,A college class is in session with students in attendance.,Students are sitting in a classroom.,1
1_23717b,1.0,A college class is in session with students in attendance.,Students are attending a college class.,0
1_23717c,1.0,A college class is in session with students in attendance.,The students are leaving the classroom.,2
3_2431a,1.0,A girl in a red and white shirt and blue shorts is getting ready to throw a ball.,the girl is preparing to throw the ball,0
3_2431b,0.5,A girl in a red and white shirt and blue shorts is getting ready to throw a ball.,the sun is blue,2
3_2431c,1.0,A girl in a red and white shirt and blue shorts is getting ready to throw a ball.,the girl is preparing to throw the ball to her father,1
4_22347a,1.0,There is a notre dame quarterback dropping back into the pocket at a game.,A baseball player is swinging his bat.,2
4_22347b,0.75,There is a notre dame quarterback dropping back into the pocket at a game.,The game is being played during the day.,1
4_22347c,1.0,There is a notre dame quarterback dropping back into the pocket at a game.,A football game is in progress.,0
1_12971a,0.0,"A couple, wearing helmets and backpacks, ride their bikes down a brick road.",Two people ride bikes down a trail.,1
1_12971b,1.0,"A couple, wearing helmets and backpacks, ride their bikes down a brick road.",Two people ride bikes in the woods.,2
1_12971c,1.0,"A couple, wearing helmets and backpacks, ride their bikes down a brick road.",Two people are outside.,0
3_2936a,0.25,A white race car makes a splash through a wet track.,A race car is driving fast on a track.,0
3_2936b,0.0,A white race car makes a splash through a wet track.,A race car is getting wet.,1
3_2936c,1.0,A white race car makes a splash through a wet track.,A bus is chugging down a road.,2
1_18011a,1.0,A father plays with his two girls.,A dad takes his daughters to a playground.,1
1_18011b,1.0,A father plays with his two girls.,There are many parents at the PTO meeting.,2
1_18011c,0.5,A father plays with his two girls.,A man is having fun with his daughters.,0
2_8161a,1.0,A naked person standing on a rock.,A fully clothed person stands on the floor.,2
2_8161b,0.75,A naked person standing on a rock.,A nudist stands on the rock.,1
2_8161c,1.0,A naked person standing on a rock.,A nude person stands on a rock.,0
3_10993a,1.0,A female Chinese volleyball player looking into the crowd at the 2008 olympics.,Volleyball match at 2008 Olympics.,0
3_10993b,0.25,A female Chinese volleyball player looking into the crowd at the 2008 olympics.,Woman player playing volleyball at beach.,1
3_10993c,1.0,A female Chinese volleyball player looking into the crowd at the 2008 olympics.,Man playing football.,2
2_26311a,1.0,A skier in red is high in the air.,The skier is wearing all blue clothes.,2
2_26311b,0.5,A skier in red is high in the air.,The skier is preparing to land on the ground.,1
2_26311c,1.0,A skier in red is high in the air.,The skier's feet are not touching the ground.,0
2_2563a,1.0,Motorcycles providing transportation for courageous women.,Motorcycles providing transportation for women.,0
2_2563b,0.75,Motorcycles providing transportation for courageous women.,Motorcycles providing transportation for fat women.,1
2_2563c,1.0,Motorcycles providing transportation for courageous women.,Motorcycles providing transportation for courageous men.,2
0_12112a,0.0,A famous celebrity surrounded by adoring fans asking for autographs.,A celebrity ignores her fans.,1
0_12112b,1.0,A famous celebrity surrounded by adoring fans asking for autographs.,An unknown actor sits alone.,2
0_12112c,1.0,A famous celebrity surrounded by adoring fans asking for autographs.,People surround a celebrity.,0
1_25698a,1.0,A dentist is looking in a female patient's mouth while another man adjusts the light.,An elderly female dentist is looking in an elderly female patient's mouth while a man adjusts the light.,1
1_25698b,0.25,A dentist is looking in a female patient's mouth while another man adjusts the light.,A dentist and an assistant working on a female patient.,0
1_25698c,1.0,A dentist is looking in a female patient's mouth while another man adjusts the light.,A young man looks into the mouth of a little boy on a street corner.,2
0_12638a,1.0,A young man who is running as part of a competition team.,A young man is laying in bed.,2
0_12638b,0.5,A young man who is running as part of a competition team.,A young man is moving fast.,0
0_12638c,1.0,A young man who is running as part of a competition team.,A young man is running with the baton in a relay race.,1
3_27842a,1.0,An Asian couple kiss outdoors on their wedding day.,not watched at alll,2
3_27842b,0.75,An Asian couple kiss outdoors on their wedding day.,two girls were ther,0
3_27842c,1.0,An Asian couple kiss outdoors on their wedding day.,the child is black,2
2_22133a,0.0,Group of young men grilling hotdogs.,There are people outdoors making food,1
2_22133b,1.0,Group of young men grilling hotdogs.,There are people making hotdogs,0
2_22133c,1.0,Group of young men grilling hotdogs.,There are people buying food,2
3_1889a,0.25,A young couple dressed in wedding garb.,Someone is getting married.,1
3_1889b,1.0,A young couple dressed in wedding garb.,Everyone is wearing funeral clothing.,2
3_1889c,1.0,A young couple dressed in wedding garb.,There are two young people.,0
4_13820a,1.0,Someone licks the face of a man with blue and yellow paint on his face.,A person licking a man.,0
4_13820b,0.5,Someone licks the face of a man with blue and yellow paint on his face.,A person kissing a clown.,1
4_13820c,1.0,Someone licks the face of a man with blue and yellow paint on his face.,A person climbing a tree.,2
2_18001a,1.0,"A road worker is holding a stop sign, while his coworker is working on the road.",The worker is holding a sign.,0
2_18001b,1.0,"A road worker is holding a stop sign, while his coworker is working on the road.",The worker is dancing in the streets.,2
2_18001c,0.75,"A road worker is holding a stop sign, while his coworker is working on the road.",The worker is directing traffic.,1
0_554a,1.0,girl in green shirt and pink skirt sitting next to girl wearing tiger costume,2 girls are sitting next to another girl wearing a costume,0
0_554b,0.0,girl in green shirt and pink skirt sitting next to girl wearing tiger costume,2 girls are sitting down,1
0_554c,1.0,girl in green shirt and pink skirt sitting next to girl wearing tiger costume,3 girls are playing catch,2
3_1709a,0.75,A woman in white cuts the hair of a woman wearing a red smock.,The woman in white wanted the hair from the other lady.,1
3_1709b,0.25,A woman in white cuts the hair of a woman wearing a red smock.,The woman in white thought she was cutting her own hair as she grabbed the other woman's hair.,2
3_1709c,0.25,A woman in white cuts the hair of a woman wearing a red smock.,The women in white knew what she wanted to do to the woman in red smock.,0
0_10354a,1.0,A man grills salmon steaks on cedar boards.,The man likes to eat fish.,1
0_10354b,0.5,A man grills salmon steaks on cedar boards.,The man is cooking steak.,2
0_10354c,1.0,A man grills salmon steaks on cedar boards.,The man is grilling.,0
2_15402a,0.0,Emergency workers with hoses lined up and descending down stairs.,The workers are working some emergency case.,0
2_15402b,0.5,Emergency workers with hoses lined up and descending down stairs.,The workers are killing the fire.,1
2_15402c,1.0,Emergency workers with hoses lined up and descending down stairs.,The workers are sitting on the couch.,2
3_6520a,0.75,A young girl has on rollerblades and looks ready to give it a try.,A girl in rollerblades looks afraid to try.,2
3_6520b,0.0,A young girl has on rollerblades and looks ready to give it a try.,A girl in rollerblades falls down.,1
3_6520c,1.0,A young girl has on rollerblades and looks ready to give it a try.,A girl has on rollerblades.,0
1_10638a,0.25,A number of people standing and laying under a mountain covered in snow.,A group of hikers are standed.,2
1_10638b,1.0,A number of people standing and laying under a mountain covered in snow.,Hikers are on the mountain.,1
1_10638c,1.0,A number of people standing and laying under a mountain covered in snow.,A group of people stand and lay under a mountain.,0
3_12771a,1.0,"A man, a boy and a dog heading down to the ocean.",The man is with his son,1
3_12771b,0.5,"A man, a boy and a dog heading down to the ocean.",The boy is lost and alone,2
3_12771c,1.0,"A man, a boy and a dog heading down to the ocean.",They are going to the ocean,0
1_5911a,0.75,A woman is walking away on a wooden walkway through a field of golden plants.,A woman is running away from sonething.,1
1_5911b,1.0,A woman is walking away on a wooden walkway through a field of golden plants.,A woman is indoor.,2
1_5911c,1.0,A woman is walking away on a wooden walkway through a field of golden plants.,A woman is outdoor.,0
1_4714a,1.0,A doctor examines the screen during an operation.,The doctor forgot to sew up the patient.,2
1_4714b,0.0,A doctor examines the screen during an operation.,The doctor left a knife in the patients stomach.,-1
1_4714c,1.0,A doctor examines the screen during an operation.,The doctor is in the operating room.,0
0_16447a,1.0,A group of foreign exchange students having a good time and enjoying the city life in the astonishingly busy streets of New York as they enjoy their first time being in the United States.,"As it is their first time in the United states,the foreign exchange students are enjoying on the streets of New York.",0
0_16447b,0.25,A group of foreign exchange students having a good time and enjoying the city life in the astonishingly busy streets of New York as they enjoy their first time being in the United States.,"As it is their first time in the United states,the foreign exchange students are having the time of their life.",1
0_16447c,0.75,A group of foreign exchange students having a good time and enjoying the city life in the astonishingly busy streets of New York as they enjoy their first time being in the United States.,"As it is their first time in the United states,the foreign exchange students are very bored.",2
3_21185a,0.0,A city block is sealed off by the police.,People can not access the city block.,1
3_21185b,0.5,A city block is sealed off by the police.,There are no detours today.,2
3_21185c,1.0,A city block is sealed off by the police.,The police are blocking the street.,0
1_8423a,1.0,"Obese man in floral summer swim trunks and wearing beach sandals, gets ready to ride his red motorbike.",The man is wearing a business suit.,2
1_8423b,0.0,"Obese man in floral summer swim trunks and wearing beach sandals, gets ready to ride his red motorbike.",It is very warm outside.,0
1_8423c,0.25,"Obese man in floral summer swim trunks and wearing beach sandals, gets ready to ride his red motorbike.",The man is afraid to ride his cycle.,1
2_16744a,0.0,A woman in a blue shirt is also wearing sunglasses.,blue shirt woman,1
2_16744b,0.25,A woman in a blue shirt is also wearing sunglasses.,woman shopping,2
2_16744c,0.5,A woman in a blue shirt is also wearing sunglasses.,sunglasses wearied woman in blue shirt,0
0_24180a,1.0,a young boy playing on another man's back,There is a child on someone's back.,0
0_24180b,0.75,a young boy playing on another man's back,A child is getting a horseback ride.,1
0_24180c,1.0,a young boy playing on another man's back,A child is in the corner sleeping.,2
4_19786a,1.0,2 men practicing some form of martial arts on the beach.,Two humans practice martial arts.,0
4_19786b,1.0,2 men practicing some form of martial arts on the beach.,Two humans are getting ready for the World Karate Championship.,1
4_19786c,0.5,2 men practicing some form of martial arts on the beach.,Two old ladys pull each others hair on the beach.,2
0_17665a,0.0,Two men during a football game,The two men are playing football.,1
0_17665b,1.0,Two men during a football game,Two men are at a football game.,0
0_17665c,0.75,Two men during a football game,The two men are standing on a busy street.,2
2_19862a,1.0,A group of children doing karate.,There are people training for a karate competition,1
2_19862b,1.0,A group of children doing karate.,There are people doing karate,0
2_19862c,0.25,A group of children doing karate.,There are people watching karate,2
3_9548a,1.0,A young girl in pajamas is playing with figures from Toy Story.,A little girl is playing with Woody from Toy Story.,1
3_9548b,1.0,A young girl in pajamas is playing with figures from Toy Story.,A boy is playing with a stuffed animal.,2
3_9548c,0.5,A young girl in pajamas is playing with figures from Toy Story.,a little girl is playing with toy story dolls.,0
0_6510a,1.0,Two men are standing outside talking in a city plaza near a large bright blue semi-truck.,The men are near a truck talking.,0
0_6510b,1.0,Two men are standing outside talking in a city plaza near a large bright blue semi-truck.,The men are waiting near a truck in the town square for their boss.,1
0_6510c,0.75,Two men are standing outside talking in a city plaza near a large bright blue semi-truck.,The truck is on fire and the men are putting it out.,2
4_11843a,0.0,Man in a bath with eyes closed with head almost completely submerged.,The man is washing,0
4_11843b,0.5,Man in a bath with eyes closed with head almost completely submerged.,THe man is sleeping.,2
4_11843c,0.25,Man in a bath with eyes closed with head almost completely submerged.,The man is staring,1
3_24567a,1.0,A woman in a red sweater is doing a karate kick towards the camera.,He flies over france,2
3_24567b,0.75,A woman in a red sweater is doing a karate kick towards the camera.,She will kick the camera,1
3_24567c,1.0,A woman in a red sweater is doing a karate kick towards the camera.,She moves towards the camera,0
3_11650a,1.0,A news interview occurring in the winter.,A news interview occurring in the summer.,2
3_11650b,0.25,A news interview occurring in the winter.,A news interview occurring in the month of January.,1
3_11650c,1.0,A news interview occurring in the winter.,An interview occurring in the winter.,0
2_3924a,1.0,Baby tries on jeans that are way too big.,A child has on big pants.,0
2_3924b,0.5,Baby tries on jeans that are way too big.,A teenager is trying on baby clothes.,2
2_3924c,0.75,Baby tries on jeans that are way too big.,A little baby gets his first hand-me-downs.,1
2_10015a,1.0,A guy is at a computer with a plate above it that says the name Joseph.,A man at a computer,0
2_10015b,1.0,A guy is at a computer with a plate above it that says the name Joseph.,A woman at a computer playing games,2
2_10015c,0.0,A guy is at a computer with a plate above it that says the name Joseph.,A man working at a computer,1
3_23716a,1.0,The little girl is happily making her way past the yellow tables and benches.,the girl is running away,2
3_23716b,1.0,The little girl is happily making her way past the yellow tables and benches.,the little girl is walking,0
3_23716c,0.25,The little girl is happily making her way past the yellow tables and benches.,the little girl is having a picknick,1
4_10124a,0.5,Children participate in a sack race.,GROWN PEOPLE WON EVERY RACE,2
4_10124b,0.0,Children participate in a sack race.,ALL THE KIDS ARE RACING IN SACKS,0
4_10124c,1.0,Children participate in a sack race.,THE SACK RACE IS OF ALL KIDS TO WIN CASH PRIZE,1
1_22068a,1.0,A man in red t-shirt with a baby lying down on a blue sheet.,A man is with a baby laying down.,0
1_22068b,0.75,A man in red t-shirt with a baby lying down on a blue sheet.,The man is by himself.,2
1_22068c,1.0,A man in red t-shirt with a baby lying down on a blue sheet.,The baby is his child.,1
2_13097a,0.25,Small children wearing matching uniforms compete in a soccer match.,Children are playing soccer as part of an athletic association.,0
2_13097b,1.0,Small children wearing matching uniforms compete in a soccer match.,Children sit in the classroom and listen to the teacher lecture.,2
2_13097c,0.5,Small children wearing matching uniforms compete in a soccer match.,The children run at the ball.,1
3_9537a,0.75,A brown and white dog is jumping a red and yellow pole.,A dog walking over a pole.,2
