premise,hypothesis,label
A small child pulls on the tail of a large alligator.,The child is annoying the large alligator.,0
two humans climb a building while a crowd of onlookers cheer them on,there was a crowd watching outside,0
People walking down a busy walk area in a warm sunny area.,A woman tanning at a salon.,2
Riding a sled down a hill.,The person is sitting at the table.,2
Woman in a blue shirt and sunglasses dancing.,a woman is dancing,0
A worker with his face being hidden by steam from a stove.,The worker is standing by the fireplace.,2
One football player is tackling another and the ball is sent flying.,Football players playing outside and man catch flying ball.,1
The guy on the BMX bike is taking a sharp turn.,A person is riding a bike home.,1
An old man with a long beard and jean jacket sits on a park bench.,The man has a beard.,0
A woman is playing guitar on stage,A woman is playing guitar and singing on stage,0
A young child with brown curly hair and brown eyes sits in a foldaway chair on the sidewalk.,A child is sitting on a chair on the sidewalk.,0
"At a wedding, a bride with a pink sash is talking with guests.",The groom is removing the garter.,2
People dining at a cafe.,people are running,2
A child in a white bathing suit swimming underwater.,The child is holding its breath.,0
customer care girl talking with staff man,The woman is seeking revenge.,2
Several people gather outside a street market at night.,People gather outside a market.,0
A child is holding a rod while standing on a bridge near a grassy area.,A kid is on a bridge.,0
A group of people stand outside under a sign that says The Deep End.,A group of people are standing under a sign.,0
A man in a white shirt and a woman in a pink shirt touching one another's head.,A man touches someone.,0
A lady in white shorts and a black tank top is riding a bike along the beach.,A lady rides a bike at the beach,0
A group of friends get ready to go on an aquatic adventure.,A group of friends are on an aquatic adventure.,2
A carnival midway at night.,The carnival is almost over at night.,0
School children conduct a relay race.,"Hign school dropouts congregate on the football field, passing each other blunts.",2
a toddler takes his first glimpse of the wonders of video games.,The baby is looking at the television.,1
A man dressed in military uniform sits down and looks through some papers.,A woman dressed in military uniform sits down and looks through some papers.,2
A man in a red shirt stands against a wall while the shadow of another man can be seen in front of him.,Two men are outdoors.,0
"People are in the dessert and there are mountains in the background, as well as many camels surrounding the people.",People with their camels in the desert.,1
"Two women, wearing white shirts, colorful scarfs, white gloves, dark sunglasses and hats, wave to others.",Women sport white shirts and gloves while waving to people.,0
a tennis player wearing an orange tennis outfit on the court.,a tennis player wearing an orange tennis outfit is hitting a ball,1
A man in a black shirt is throwing a child in a red shirt and jeans in the air.,A man wearing clothes throwing a child into the air.,0
A man in a blue shirt passes under the Samsung arch.,There is a structure over a man's head.,0
A man in a white sports uniform tries to fend off another player in a black and yellow uniform while the ball floats in midair.,Two soccer players are playing soccer.,1
Man sleeps with newspaper folded on his stomach.,The man was reading the newspaper right before he went to sleep.,1
A group of bicycle riders in a street race are dressed in all different colors.,A group of drivers are racing.,2
"A young women, dressed in a dark blue dance costume is participating in a cheer competition.",two boys wrestle for a crowd,2
Some boys gathered around watching another boy kick a soccer ball.,Five skydivers holding hands.,2
Two men with scrubbers wash a building.,The men are scrubbing the dirt from the building.,1
A child in pink holds an object that appears to be on fire.,A child extinguishing a fire.,2
There are buildings in the background.,The building is near the front.,2
A person with glasses is performing an aerial trick on a post in the city.,the person with glasses is performing aerial trick on a post in the city.,0
A group of male construction workers bedecked in orange clothing work on a roadway.,A group of workers outside.,0
"Four bicycles indoors: a red one being held by woman in black and a dog in the basket, a black one with saddlebags and a man in a gray shirt holding it, a blue one being ridden by a man in black shorts and a white shirt, and another that is blocked but is held by a person in an orange jacket.",Four people are traveling together onfoot and hand-in-hand.,2
Two nuns dressed in white habits and holding blue papers stand in the background while a mime wearing white clothing and a white mask performs in the foreground.,A mime performs.,0
Men getting ready for SXSWO to go live on the air,the men are thieves,1
Pigeons gather at the edge of a park in a city.,A group of pigeons gathering.,0
A man is smoking at sunset.,the men are asleep in the motel,2
"Among a crowd on a street, a woman holding a coconut drink dances near a man in a tan jacket.",A woman is dancing in the street.,0
A black puppy stands over a white puppy.,The puppys play together.,1
A small boat carrying two people moves through the water.,The boat is in motion.,0
Two adults and two children pose on a park bench.,Two adults and two children pose on a park bench while someone takes a picture.,1
Every day people traveling the streets while wearing unique clothing.,Everyday people is wearing unique cloths.,0
A man is getting a book autographed.,The man wanted the famous author to sign his book,1
A firefighter sprays water onto a gigantic pile or burning ash that includes flames and dark smoke.,The firefighter is strong as he makes sure that the fire is completely out.,1
A group dressed in wintery attire of people on a sidewalk in Washington D.C.,Kids playing at a D.C. park.,2
A bicyclist is racing on a dirt track.,A person racing.,0
An elderly man and woman are ready to maneuver a contraption.,A man and woman are sleeping in bed,2
"Four people wait by the side of the road, with a wall covered in Chinese or Japanese characters behind them.",The wall is covered with animal drawings as four people wait by the side of the road.,2
"Someone is sitting in a building that has large windows to look outside, and a bike is locked to a street sign outside.",Someone sitting in a building with large windows looking outside at a bike locked to a street sign outside.,0
Worker in orange jumpsuit and headlamp standing by equipment.,The headlamp is bright,1
A woman in a pink sweater sitting on a couch.,A woman is sitting on a couch and watching TV.,1
A man wearing a black shirt and denim jeans is striking a pose with his left hand on a sign,a man holds a gun in his left hand,2
A musical band made up of mostly wind instruments.,Cars are moving at high speed besides a river.,2
A woman is watching her bowling ball roll down the lane towards the pins.,a woman is watching bowling,0
A black woman with a child on her back is standing in a field holding onto a pole.,A small woman,1
"A white kitchen corner displaying a microwave, garbage bin, dishes, stove, and other items. ",There are no dishes in the kitchen.,2
A man in a teal shirt welding something.,A man is sleeping,2
A man is standing on a rope.,A person is on a rope.,0
"Two small girls, one in a blue and violet dress, the other in a red striped outfit are painting with red and yellow on a piece of canvas in the street.",Two woman painting a picture of themselves,1
"A blond head little boy with a red shirt, and blue shorts is sitting on a stool starting to paint on a stencil board with his paintbrush.","The little blonde boy ran across the classroom, and rudely kicked the stool out from under the other boy who was preparing to paint on his stencil board.",2
Three young boys playing in the woods.,Three young boys play video games in their bedroom.,2
"A man is being held by two men wearing security uniforms, while standing outside in front of a sign advertising for Samsung.","A man is being held by  men wearing security uniforms, while standing  in front of a sign advertising for Samsung.",0
"People are sitting on a grassy ledge, while others are walking in the background.",People are sitting.,0
A lady looking across a busy street.,It's a busy street,1
a man taking a pizza out of an oven,A man is cooking food.,0
A brown dog and two white dogs are bounding after a ball.,The dogs are part of the same litter.,1
A young girl at a park is jumping off a tire swing while it is swinging into the air.,The girl has never jumped off a tire swing before.,1
A man wearing tan pants is sitting on a red couch inside a house.,the man is trying to sleep,1
Two men yellow are fishing from a small red box.,A father and son sit on a box fishing.,1
a guy on street watching someone.,The person is male.,0
A very young blond girl wearing pink pants with white polka dots is sitting on a wooded trail in a forest.,A young girl sitting on a log across a wooded trail,1
A group of people are at the Beijing Olympics.,The Olympics are in Utah.,2
Two wrestlers competing on a mat in front of a crowd of onlookers.,Two athletes are in competition.,0
Lady does n't have time to speak to a real person.,The lady flys a airplane,2
A shirtless man working with iron.,A man is ironing.,0
A woman sings while a man plays the bongo's.,A man and a woman are sitting on a park bench.,2
A woman in a brown shirt with her hair tied behind her head is looking through a rather large microscope.,A woman teaches a class how to bowl at a bowling alley.,2
Here is a picture of a man sleeping on the side of a wall or meditating.,A man is dancing.,2
A man in a yellow costume stands facing a woman in a white hat.,The man and woman is sitting on a bench.,2
Woman stands at a table full of vegetable produce.,The woman is standing by the vegetable table.,0
A man in sunglasses sits in a race car with an exposed engine.,A man in sunglasses drives a race car,2
A person wearing a hat takes a picture while its snowing.,A person is taking a picture of a snowman.,1
A tugboat is parked at the pier with a house on deck.,A tugboat with a house on deck floats in the water.,0
A group of adults and children are hiking through the woods.,one girl sits,2
A person in black drinking coffee near a bridge.,A person is standing outside over water.,0
two young children riding in a toy car at a real gas station,There are kids playing.,0
A lady and gentleman wearing blue gloves placing something into a blue mug.,The people are washing their hands.,2
Three girls play in the sand.,Three girls are at the beach.,1
Two men cook food on an outdoor grill.,two men are grilling outdoors.,1
A man in a black coat walks past a red spaceship with a parking ticket stuck to its window.,The man is walking.,0
A worker in a blue hat is fixing the wall.,The worker hammers at the drywall.,1
A man in a winter hat plays with a small black dog in the snow.,A man and a dog are outdoors.,0
A man with glasses is sitting a chair playing the oboe while a man in a purple shirt plays percussion and spectators look on.,People are watching men make music that sounds good.,1
An Asian man is cutting some meat on a cutting board in a kitchen and he is wearing a long blue t-shirt.,A tall person cutting meat,1
a man on a bike in the city area.,A man rides a bike outdoors.,0
"A choir of about fifty teens, the men in black pants and white tuxedo jackets and the women in blue gowns and white gloves, performs in a church setting, led by a conductor.",The teen choir in casual attire practices in an auditorium.,2
A dog is running in the snow,"The dog is sleeping on a hot, sunny day.",2
A smiling baby feeding a colorful treat to its parent.,A baby is smiling.,0
A man on a bicycle rides down a small street as a truck drives behind him.,A man on a bicycle rides his bike down a small street near his home as a garabage truck drives close behind.,1
"Two brown dogs in a grassy field, one jumping for a ball.",Two dogs in a field outdoors.,0
A little boy climbs a spiral staircase in a cluttered library.,a boy is in the library,0
A man wearing a white head wrap is pealing the green outer layer off some sort of tropical fruit.,A man is eating a tropical fruit skin and all.,2
These women are skating in the roller derby.,Women are skating in a roller derby match.,0
A man and woman standing looking at a picture the woman is holding.,the man and woman are not sitting down,0
"Several men, all wearing red, tugging on a rope.",Everybody is wearing blue dresses.,2
Women painting mural on wall.,There are women painting.,0
A girl takes a picture of her friend who is leaning on a picnic table.,A small human takes a picture,1
A young girl with large brown eyes and dark hair peers through holes in a fence.,Girl with blonde hair and blue eyes looks through fence.,2
A man with a white beard walks down a city street.,A man is trying to go to the corner store,1
A horse is walking beside a boat under a bridge.,The horse is in a stable.,2
Two children are sitting by the calm water's edge.,kids are sitting by the calm water,0
Brown dog with black collar licking nose.,The dog licks the sauce from his nose.,1
A man sits on a bench with a white dog nearby.,The dog is a poodle.,1
A person flies through the air in a field on a motorized dirt bike.,A man is riding his bike over jumps in a large field,1
A boy wearing sunglasses looks straight ahead.,A girl in sunglasses looks behind her.,2
A man in a dark wetsuit is caught by a wave.,A man swims in the children's pool at a hotel.,2
Two women sitting on the porch in front of a very colorful stand.,The women are selling goods at the stand.,1
A cyclist works on her red upside down bike.,A cyclist has her red bike upside down while she works on it.,0
A man and two women eating and drinking in a kitchen.,There are three women drinking in the kitchen.,2
its a lady showing she bought a candle for romantic dinner Lady is very happy for romantic dinner,The man just ate an entire candle,2
"A young girl and a dog standing in a river next to a fallen tree, both looking in the same direction.",A girl is trying to figure out what cause the tree to fall,1
A couple sitting on a ledge at night with a lots of city lights and a bridge in the background.,The couple is sitting on the moon.,2
A groom lifts the train of his wife as they walk down a boardwalk.,A human lifting.,0
a man in a hat stands in a desolate dirt field.,The man is digging for bones.,1
"A young girl with a big smile, wearing brightly colored clothing helps prepare food in a narrow alley.",A young girl throws away garbage in a dumpster.,2
A tennis player gets ready to return the ball.,There is a tennis player with a tennis racquet on a court.,0
A little boy is sitting on a wet path covered in mud.,A boy is wearing a hat.,1
A boy sits under a bear with Einstein's picture on it.,A person being still.,1
A brown and white dog is jumping up to catch a ball in the park.,The dog is trying to catch a tennis ball.,1
A group of men standing on the street.,Some men are standing outside,0
Three males are sitting while 2 of them have beers on a table.,The designated driver sulks while his friends drink Budweisers.,1
Buddhist man with glasses sits at highly decorated desk in colorful office waving around a peacock feather.,A Buddhist waves a feather.,0
"A basketball game is occurring, and three men in white jerseys are watching a man in a red, Los Angeles jersey dunk the basketball.",The men are playing basketball for the championship medal.,1
Two men are competing in a horse race.,Two jockeys are wearing the same colors.,1
Many people are rollerblading down the street.,The men bike down the busy road.,2
Two babies in sweaters playing with a toy.,The two babies are giggling as they play with a toy.,1
A man is sleeping on a bench while others are sitting up on the same bench.,A man sleeps on a bench around others sitting on the bench.,0
A british band having a practice at night in their red uniforms.,A band is playing music in their uniforms.,0
Three men are wearing safety yellow jackets and hard hats on the sight of a construction project; one is in a hole and the other two are looking at the man standing in the hole.,Three men are wearing yellow jackets with one in a hole and two standing looking at him.,0
A woman and a man sitting outside.,Two people are sleeping in bed.,2
Two man are swimming on a shore with a tree covered hill in the background.,Two people are having dinner at the table.,2
An adolescent woman jumps in front of an outdoor court.,A woman is so excited she jumps at a outdoor court.,1
Two children or possibly young adults fixing their bikes.,Two boys are re-inflating their bicycle tires.,1
"A band consisting of a guitar payer, banjo player, and accordion player, performs as a group of middle-aged people dance on the dance floor.",The band is playing air instruments on the top of the Chrysler building.,2
A man sleeps in the lining of a boat that is propped against a brick wall.,A business man sleeps inside a hotel room.,2
Five people congregate outside a bookstore.,A girl uses watercolors.,2
A group of people are relaxing on the beach with their beach chairs and snacks.,A group of people are at the beach.,0
A woman and child walking uphill,A women and child resting,1
Two workers stand at an entrance.,The workers have their feet on the ground.,0
A teenage girl in athletic clothing stands in a truck bed.,A girl is standing in a truck bed,0
Workers wearing orange caution vests are working with blue bags beside railroad tracks.,The workers have black bags beside them.,2
A waiter dressed in business attire holds up a pan filled with meat laden with sauce and garnished with lemon.,A waiter is waiting to serve a table of guests.,1
a muzzle greyhound dog running on a track,A muzzle poodle dog running on a track.,2
"A little girl does her mother's makeup for her, while her brother looks on.",the womans makeup is done badly,1
A dog has run into the water to catch a ball in his mouth.,The dog will bring the ball back to its master,1
People sitting on a rug around ropes.,The group of men are about to meditate.,1
A small child climbs stairs at a beach.,The child is selling hot dogs in the concession stand,2
Two men are talking with each other around the corner of a cemented type of building.,Two men are planning a a weekend trip.,1
A woman is holding some tissue and appears to be wet from the head; she is being consoled by a male friend wearing a blue shirt.,A woman is sweating after running a marathon.,1
"Helmeted, orange-vested workers from TubeLine work on a wooden bridge surrounded on one side by trees, and on the other by a fence and trench.",TubeLine workers are working on a bridge.,0
Several children sitting down with their knees raised up and light shining on their faces.,A group of children are watching the sunset.,1
Woman with child laughs by the shoreline.,Woman is alone near the shoreline.,2
two young children walking on a tiled floor,Two kids walk on a tiled floor.,0
A man on Rollerblades travelling down the sidewalk.,John is practicing Rollerblading for the first time in years so he can go on a rollerblading date with the girl from Marketing.,1
Two women walk down a street with a shopping bag in hand.,Two woman shopping for clothes.,1
"A young, Hispanic woman wearing a sundress is walking outside near a large fountain and palm trees.",A woman is wearing a shirt and yoga pants,2
A woman carrying a bag standing next to a man waiting to cross the street.,Three men dance vigorously on boats.,2
A man runs on the football field carrying the ball in front of the ref.,A man bring to the ball back that was thrown out of zone.,1
Blond girl in a yellow-belt martial arts uniform standing in front of a door and carrying a large trophy.,The girl is a brunette.,2
A black puppy chewing on a brown dog's neck,Dogs are playing,1
"Young adults wearing red, yellow, and black shirts in a straight line perform a sketch.",Young adults perform a sketch.,0
Two women wearing dresses are walking by a building.,The two women are shopping.,1
A crowd of people wearing tan pants and purple and orange shirts march away from a stadium,A group in uniform walking.,0
A person in gray shirt is learning about the Wii system.,There are no Nintendo systems.,2
A police officer is talking to a tall man with dreadlocks.,A man is speaking with another person.,0
A man sits on a dock with a bottle of water.,A man with a bottle of water is sitting on a dock watching ducks.,1
Two children playing a ballgame.,Two kids are playing ball.,0
The motorcycle is a Honda.,The motorcycle is brand new.,1
dog shaking off water by the ocean,The dog is large.,1
a man with a blue shirt is flipping burgers at an outside grill.,A business owner is teaching a new employee how to cook.,1
The girl wearing black is holding a toy and is sitting next to a girl in costume.,Two girls sit next to each other.,0
A woman holding a small child is standing outside a Chinese restaurant.,The woman and child are waiting for someone.,1
A black man in a white shirt walks down the sidewalk.,A man walks on a street.,0
People sitting and watching a tv monitor mounted high on the wall.,The people are watching tv.,0
An asian man wearing a blue and white striped shirt speaks on the phone while he is sitting on a silver colored motorbike at a crosswalk.,The motorbike has a purple stripe on the side.,1
Two women with shopping bags talk to each other next to a red railing,Two women are singing.,2
a man wearing a yellow shirt standing in the middle of a bunch of garbage and a graffitied wall.,A man is standing on the beach with the water splashing on his toes.,2
A hockey game is going on in a large ice rink.,The players are wearing ice skates.,0
A little boy sits on an orange chair while touching a computer mouse and looking at a computer screen.,A little boy in an orange chair is using a computer,-1
A little boy in the air above another boy on the ground where a soccer ball lies at his feet with the soccer net behind them.,the boy in the air is about to score a bicycle kick,1
A man is walking by a complex with various colors.,The man has red hair.,1
A person reaches into the backseat of a truck while workers work behind.,The person reaches in a van,2
"two children in the bathroom, one stands while the other reads a book and uses the toilet.",A kid is passing either a number 2 or a number one while another kid is in the same room.,0
"A man is being held by two men wearing security uniforms, while standing outside in front of a sign advertising for Samsung.",Two security officers are escorting a man off of the premises,1
A crowd of people sit outside to eat.,three coworkers go to lunch,1
The boat is white,The boat isn't black.,0
"On a cloudy day, a man in black clothing and a black hat walks toward a River Valley Metro bus.",A man is going to ride the bus.,0
A food vendor is standing on the sidewalk next to his food cart looking at a black woman walking by.,Burger vendor looking at the woman walking by next to his cart,1
Some children play tug-of-war in a grassy area while adults look on from a distance.,Kids are playing dodgeball in a gymnasium,2
A male and female are performing a dance in which the man is holding the woman in the air.,A male lifts a female at the end of a dance.,1
Five construction workers dig a hole to plant a tree.,Workers plant a tree in memorium of their boss.,1
man laying on bench holding leash of dog sitting on ground,A young girl sits on a bench with her dog,2
Two boys sand next to a drinking fountain in a park.,Two boys are sitting on the bench.,2
A male restaurant employees are grilling burgers and cheese.,An employee is grilling some food.,1
A woman is dressed up like playing cards for some type of parade.,A woman is dressed up like a duck.,2
Monks wearing orange robes are taking a walk.,Monks are walking outside.,0
A man standing on stage holding a bass guitar and drinking something out of a can.,A man's walking in a park.,2
A street musician in a red jacket and sweatpants plays guitar while pedestrians walk past.,A man performs music outdoors.,0
"A man in sunglasses, a red striped sweater, and a leather jacket smiles and points his finger.",A black man in sunglasses and a leather jacket is smiling while pointing a finger,1
A man holds out a wire basket as he prepares to fill it.,A man holds a basket.,0
A well dressed man sleeps on the ledge of a storefront window.,The window ledge is wide enough to sleep in.,0
Some sailors are posing on a ship.,Sailors are standing on an airplane.,2
A gray dog is in grass.,A dog is in the grass,0
A man wearing glasses is playing a type of instrument.,The man played an instrument for the crowd.,1
A man in a black shirt is playing guitar.,he is using the port-a- potty in the woods,2
Two children run towards the lagoon.,two scared children run from a monster,1
Two nurses are looking at a cart of supplies.,Nurses drive cars to work.,1
An old man is sleeping in a chair outside an abandoned building.,An elderly man is outside,0
This young girl is making her way home.,The girl is excited to see her cat.,1
One man fixes the tire of his car while a man in an orange jacket takes a picture.,A man is fixing his car.,0
"Two men walk down a street, one with a black shirt and facial tattoos.",A man walking his dog in a park.,2
A female gymnast is performing a pose that requires her right hand to be placed on the floor between her right knee and left foot.,a femla gymnast is eating,2
An adult female is holding a baby close to her with both arms.,a female is holding a baby,0
Woman with pink polka dot backpack holding a child.,Woman with polka dot backpack holding a child.,0
A group of people are in a room together.,A group of coworkers are in a room together.,1
"A woman holds a sign next to the street that reads ""Honk to Indict Bush.""","An Asian woman holds a protest sign reading ""Honk to Indict Bush"" beside a street.",1
Four people talking during a shopping trip.,Four people are asleep on the couch.,2
A person is swimming underwater in a pool.,A human swims under the pool water.,0
A european farmer is putting hay down to keep the river from eroding.,the farmer is old,1
Guys digging around a tree in the ground.,Several conservationists rescue a tree,1
A girl in a colorful dress and sunglasses is playing a violin on the street.,The violin is brown.,1
"A tall, light brown dog is drinking water from atop a table while a small black dog jumps off the table.","The two dogs are chasing a frisbee across the field, thrown over and over by their owner.",2
Groups of people are looking at different items.,The people in this picture have blindfolds over their eyes.,2
A man sitting in a field smoking a cigarette by a canal.,A man putting out a cigarette.,2
A woman plays bass and sings with her bandmate with is a man playing guitar and the drummer plays in the background.,The woman is banging on a drum,2
A football player jumps over fallen players to continue his run.,The football player is sitting on the bench.,2
A person wearing red is at the forefront of an underdeveloped city with man hanging cloths visible.,The person is outside.,1
"A spruced up man and woman sit at a small, circular table, imbibing wine.",The couples is sitting together,1
A woman opens her eyes wide and sticks her tongue out as she holds a camera to take a picture.,A woman sticks her tongue out for a photo.,0
A man dressed in an Indian costume plays the drums.,A man is dressed up,0
Two very well dressed women are standing next to each other.,Two women are standing.,0
Blond woman in glasses holds an Asian child wearing pink at a park.,A woman holders her child at the park.,1
A running man receives a bottle of water while running past a group of men.,The man is walking.,2
a store with filled with a lot of bags as someone buys,the store is totally empty,2
"A guy holding a sign saying will work, while giving the peace sign.",The man needs to find work.,0
two brown dogs playing around with each other in a house.,Two dogs sleep.,2
A young girl in a green shirt playing basketball.,The girl is playing basketball,0
Two men walk along a beach as they look at the water.,Two women are at the beach.,2
"A baby, wearing a pink knitted hat, sleeps peacefully on a blanket.",The baby is sleeping.,0
A baby is laying on his back and smiling.,A baby is happy.,0
A man in strange clothes is holding up some kind of contraption while spectators watch.,People are watching.,0
child sleeping in his bed.,The child is jumping on his bed.,2
Several figures in dress shirts and ties stare out the window of a brick building.,People are hard at work in a building without windows.,2
A woman walks her dog in a marketplace.,The dog is brown.,1
Two women dancing on a walkway with band in the background and pedestrians walking by,There are people dancing while others walk by.,0
Two Asian ladies dressed in kimonos are posing for a picture on a narrow street.,Two Hispanic ladies took the picture of the dog.,2
A woman in a park wearing a hat and holding a scarf over her face.,A woman is outside.,0
Woman in white top eating lunch at a bench.,The woman is eating lunch.,0
A woman is laying down on her couch with covers making a kiss face while playing with a man's hair.,A blonde woman watches a movie on the couch with another man.,1
Two women crossing the street with a giant rat in the background.,The women are running away from the rat.,1
Three kids lean into the water edge wearing bright pants.,Three adults are pushing eachother near the water edge.,2
