premise,hypothesis,label,unique_id
Two boys are at a BMX park and one is doing tricks on his bike.,A boy performs a bike trick during a competition.,1,3_1874b
Two boys are at a BMX park and one is doing tricks on his bike.,Two boys at a BMX park.,0,3_1874c
A woman in a black and mint shirt preparing food during a cooking class.,The woman makes food as a demonstration while teaching the cooking class.,1,3_1899a
A woman in a black and mint shirt preparing food during a cooking class.,The man throws food around the cooking class.,2,3_1899b
A woman in a black and mint shirt preparing food during a cooking class.,The woman prepares food during a cooking class.,0,3_1899c
On rainy streets a motorcycle with two helmeted people stops for a white car.,A big cycle stops,1,3_1917a
On rainy streets a motorcycle with two helmeted people stops for a white car.,A cycle stops,0,3_1917b
On rainy streets a motorcycle with two helmeted people stops for a white car.,Nothing has stopped.,2,3_1917c
A man in an orange shirt hitting a tennis ball with a racket.,A man is being pulled by himself.,2,3_1922a
A man in an orange shirt hitting a tennis ball with a racket.,A man is wearing an orange shirt.,0,3_1922b
A man in an orange shirt hitting a tennis ball with a racket.,A man is hitting a tennis ball.,1,3_1922c
Two hokey players go head-to-head as the ref frantically gets away.,Two hockey players sit on a bench waiting to get in the game.,2,3_1930a
Two hokey players go head-to-head as the ref frantically gets away.,Two hockey players engage in a fistfight while the referee runs away.,0,3_1930b
Two hokey players go head-to-head as the ref frantically gets away.,Two hockey remove their gloves before they start fighting.,1,3_1930c
"Five men, variously dressed, travel in a motor boat.",five men are in a boat.,1,3_1987a
"Five men, variously dressed, travel in a motor boat.",five poeple are in a boat.,0,3_1987b
"Five men, variously dressed, travel in a motor boat.",five men are riding horses.,2,3_1987c
A baby wearing a white shirt is crawling on the ground next to a table.,The baby is in the crib.,2,3_1998a
A baby wearing a white shirt is crawling on the ground next to a table.,The baby is on the floor.,0,3_1998b
A baby wearing a white shirt is crawling on the ground next to a table.,The baby is playing on the floor.,1,3_1998c
A man trying to cart some items in a rolling container.,A woman is petting a cat.,2,3_2082a
A man trying to cart some items in a rolling container.,A man is rolling a cart.,0,3_2082b
A man trying to cart some items in a rolling container.,A man is buying some stuff.,1,3_2082c
Two men in hula skirts are standing at the top of a ramp in a truck.,Men wearing hula skirts are standing at the top of a vehicle's ramp.,0,3_2099a
Two men in hula skirts are standing at the top of a ramp in a truck.,Two men are standing on top of a car in hula skirts.,2,3_2099b
Two men in hula skirts are standing at the top of a ramp in a truck.,Two men are doing a hula dance at the top of a ramp in a truck.,1,3_2099c
A policeman grins at a woman wearing beads on a crowded street,A police man is smiling at his wife.,1,3_2169a
A policeman grins at a woman wearing beads on a crowded street,A police woman is smiling at a man.,2,3_2169b
A policeman grins at a woman wearing beads on a crowded street,A police man is smiling at a woman.,0,3_2169c
The young Anderson player is attempting to shoot while his opponent and teammate look on.,The Anderson player is shooting while people look on,0,3_2209a
The young Anderson player is attempting to shoot while his opponent and teammate look on.,The Anderson player is shooting in order to win the competition.,1,3_2209b
The young Anderson player is attempting to shoot while his opponent and teammate look on.,The Anderson player is shooting at his opponent and teammate.,2,3_2209c
A teenager in a red shirt is skating on a skateboard at a skate park.,A teenager is outside.,0,3_2227a
A teenager in a red shirt is skating on a skateboard at a skate park.,A man is in the bathtub.,2,3_2227b
A teenager in a red shirt is skating on a skateboard at a skate park.,A young kid is trying to freshen up on his skateboarding skills.,1,3_2227c
a homeless person asking for help,A homeless person begging.,0,3_2246a
a homeless person asking for help,A homeless person asking for money.,1,3_2246b
a homeless person asking for help,A rich homeowner is mowing the lawn.,2,3_2246c
A young girl in a pink tank top licks her lips from eating an ice cream cone.,The young girl is eating ice cream in the park.,1,3_2255a
A young girl in a pink tank top licks her lips from eating an ice cream cone.,The young girl is drinking a bloody mary at home.,2,3_2255b
A young girl in a pink tank top licks her lips from eating an ice cream cone.,A young girl is eating food.,0,3_2255c
a buyer chooses fruit from an outdoor fruit stand,A person is looking at an apple.,1,3_2268a
a buyer chooses fruit from an outdoor fruit stand,A person is about to buy a chicken.,2,3_2268b
a buyer chooses fruit from an outdoor fruit stand,A person is looking at fruit.,0,3_2268c
a yard man in the middle checking green bushes.,The man is a gardener.,1,3_2275a
a yard man in the middle checking green bushes.,A man is checking bushes.,0,3_2275b
a yard man in the middle checking green bushes.,The man is actually a woman.,2,3_2275c
A group of young people are watching a man on a dirt bike performing a stunt in the air.,children are watching the man also,1,3_2280a
A group of young people are watching a man on a dirt bike performing a stunt in the air.,a group watches a man,0,3_2280b
A group of young people are watching a man on a dirt bike performing a stunt in the air.,a group sleeps quietly at a park,2,3_2280c
three men look at a sign.,Three men are looking at something,0,3_2293a
three men look at a sign.,Three men are looking at something on the sidewalk,1,3_2293b
three men look at a sign.,Four men are looking at a sign,2,3_2293c
A bearded man wearing a denim jacket sits on a bench.,The man is naked.,2,3_2322a
A bearded man wearing a denim jacket sits on a bench.,The man has facial hair.,0,3_2322b
A bearded man wearing a denim jacket sits on a bench.,The man is waiting for the bus.,1,3_2322c
Two women in animal print costumes playing the drums.,The two women are in a band.,1,3_2327a
Two women in animal print costumes playing the drums.,Two women play a beat on the drums.,0,3_2327b
Two women in animal print costumes playing the drums.,Two women wearing plaid play the drums.,2,3_2327c
A man is pouring beer into a cup at an outdoor event.,A woman drinks from her flask.,2,3_2340a
A man is pouring beer into a cup at an outdoor event.,A beer vendor serving his customers.,1,3_2340b
A man is pouring beer into a cup at an outdoor event.,A man pouring beer.,0,3_2340c
A person is walking with a white bag.,a child eating candy,2,3_2378a
A person is walking with a white bag.,a woman carrying groceries,1,3_2378b
A person is walking with a white bag.,A human walking,0,3_2378c
Two little boys in yellow shirts are walking in grass and looking behind them.,Two little boys are at the park.,1,3_2401a
Two little boys in yellow shirts are walking in grass and looking behind them.,Two little boys are outdoors.,0,3_2401b
Two little boys in yellow shirts are walking in grass and looking behind them.,Two little boys are eating lunch indoors.,2,3_2401c
A boy in purple wearing a seat belt.,The boy is not wearing a seatbelt,2,3_2466a
A boy in purple wearing a seat belt.,The boy is fixing his seat belt,1,3_2466b
A boy in purple wearing a seat belt.,A boy is wearing a seat belt,0,3_2466c
A woman in a gray dress and high heels holding a baby in a pink dress while staring out a glass sliding door.,A woman in a gray dress is staring out a sliding door.,0,3_2471a
A woman in a gray dress and high heels holding a baby in a pink dress while staring out a glass sliding door.,A man in a gray dress is staring out a door.,2,3_2471b
A woman in a gray dress and high heels holding a baby in a pink dress while staring out a glass sliding door.,A woman in a gray dress is day dreaming.,1,3_2471c
"Two women, sitting on towels at the edge of a concrete wall, having a chat.",Two women sit at the park and gossip while getting some sun.,1,3_2581a
"Two women, sitting on towels at the edge of a concrete wall, having a chat.",Two women chatting.,0,3_2581b
"Two women, sitting on towels at the edge of a concrete wall, having a chat.",A group of kids playing dodge ball.,2,3_2581c
A competitive runner taking her first sprint in a competition.,a runner is running in her first race,0,3_2583a
A competitive runner taking her first sprint in a competition.,a female runner is running a race,1,3_2583b
A competitive runner taking her first sprint in a competition.,a women is riding her bike down the road,2,3_2583c
A boy with a blue hat points towards a bowl full of cork.,a boy is smoking a cigarette on the corner,2,3_2615a
A boy with a blue hat points towards a bowl full of cork.,a boy points at a bowl of cork,0,3_2615b
A boy with a blue hat points towards a bowl full of cork.,a boy wants to eat the cork,1,3_2615c
A boy wearing a red hat is standing in the middle of the road.,A boy wearing a hat is standing in the road.,0,3_2626a
A boy wearing a red hat is standing in the middle of the road.,A boy wearing goggles is standing in the street.,2,3_2626b
A boy wearing a red hat is standing in the middle of the road.,A boy is waiting to be hit by a car.,1,3_2626c
Woman with flowers sitting on a large armchair.,A woman poses for the photo while holding flowers.,1,3_2687a
Woman with flowers sitting on a large armchair.,A dog is sleeping.,2,3_2687b
Woman with flowers sitting on a large armchair.,A woman with flowers is sitting on a chair.,0,3_2687c
Two people walk up stairs into a building,One person walks up the stairs.,2,3_2807a
Two people walk up stairs into a building,Two people walk up the stairs together.,0,3_2807b
Two people walk up stairs into a building,Two friends walk up the stairs together.,1,3_2807c
"A male in a black and white bathing suit, looks like he's hanging in midair, getting ready to jump into a backyard pool.",A male jumps into a backyard pool.,0,3_2849a
"A male in a black and white bathing suit, looks like he's hanging in midair, getting ready to jump into a backyard pool.",A black male jumping into a backyard pool.,1,3_2849b
"A male in a black and white bathing suit, looks like he's hanging in midair, getting ready to jump into a backyard pool.",A male laying on a chair sunbathing by the pool.,2,3_2849c
Some people playing paintball.,There were a lot of people at the paintball park.,1,3_2979a
Some people playing paintball.,The dog was walking in the park.,2,3_2979b
Some people playing paintball.,A group of co-workers participated in paintball.,0,3_2979c
"A scene from a competitive marathon, including several participants, down a crowd-lined city street.",Runner are competing in a marathon while people look on.,0,3_3025a
"A scene from a competitive marathon, including several participants, down a crowd-lined city street.",A group of female runners is leading a race.,1,3_3025b
"A scene from a competitive marathon, including several participants, down a crowd-lined city street.",Some little kids are running down the street.,2,3_3025c
A woman displaying several items of clothing.,A person displays clothing.,0,3_3040a
A woman displaying several items of clothing.,A woman displaying several items of clothing in her boutique.,1,3_3040b
A woman displaying several items of clothing.,A women displays several racks of cookies in her bakery.,2,3_3040c
A man stands on top of a construction vehicle.,A man is sleeping in bed.,2,3_3057a
A man stands on top of a construction vehicle.,A man is standing.,0,3_3057b
A man stands on top of a construction vehicle.,A man is protesting the construction of the new oil refinery.,1,3_3057c
Older man standing in the back of a very cluttered room.,A man is a hoarder.,1,3_3071a
Older man standing in the back of a very cluttered room.,A man is indoors.,0,3_3071b
Older man standing in the back of a very cluttered room.,A man is getting a sun tan.,2,3_3071c
The marching band practicing outside during the night.,A marching band huddles on the field during a tornado.,2,3_3091a
The marching band practicing outside during the night.,A high school marching band practices on the field at night.,0,3_3091b
The marching band practicing outside during the night.,A marching band practices outside.,1,3_3091c
A man wearing blue repairs the clay tiles on a roof using a yellow cement.,A man in doing repair work of tiles.,0,3_3170a
A man wearing blue repairs the clay tiles on a roof using a yellow cement.,A man used yellow cement to repair the house from sun.,1,3_3170b
A man wearing blue repairs the clay tiles on a roof using a yellow cement.,A man wear blue fell into the house from roof.,2,3_3170c
The black dog is wearing a purple collar with a black leash as he is running.,The dog has gotten away from their owner.,1,3_3177a
The black dog is wearing a purple collar with a black leash as he is running.,The dog is wearing a harness.,2,3_3177b
The black dog is wearing a purple collar with a black leash as he is running.,The canine is running outside.,0,3_3177c
Man in a blue shirt and white hat cleaning a fountain.,Guy in a white hat is maintaining the fountain,0,3_3209a
Man in a blue shirt and white hat cleaning a fountain.,Maintenance worker is working on the fountain.,1,3_3209b
Man in a blue shirt and white hat cleaning a fountain.,An octopus is playing piano,2,3_3209c
Two smiling children in bathing suits jumping in a tidal pool at the beach.,A couple of humans near water.,0,3_3225a
Two smiling children in bathing suits jumping in a tidal pool at the beach.,Two adults in a hot tub.,2,3_3225b
Two smiling children in bathing suits jumping in a tidal pool at the beach.,Two kids at the beach for the first time.,1,3_3225c
a person with cutting machine cleaning the garden.,A person is nude in the garden,1,3_3277a
a person with cutting machine cleaning the garden.,A person is in their room jumping on the bed,2,3_3277b
a person with cutting machine cleaning the garden.,A person is outside cleaning,0,3_3277c
Two women compete in a kick-boxing match.,Two women are fighting in a ring.,0,3_3310a
Two women compete in a kick-boxing match.,Two women are trying to became the champion.,1,3_3310b
Two women compete in a kick-boxing match.,Two women are reading books.,2,3_3310c
The two men on the scaffolding are helping to build a red brick wall.,The wall is plastic.,2,3_3350a
The two men on the scaffolding are helping to build a red brick wall.,The wall's purpose is to keep people out.,1,3_3350b
The two men on the scaffolding are helping to build a red brick wall.,A red brick wall is being built.,0,3_3350c
Surfer demonstrates ability to navigate waves with ease.,The surfer drowned while surfing.,2,3_3359a
Surfer demonstrates ability to navigate waves with ease.,The surfer is a natural wave surfer.,1,3_3359b
Surfer demonstrates ability to navigate waves with ease.,The surfer is getting wet has they navigate the waves.,0,3_3359c
A boy runs down a concrete hill.,A boy is running outside.,0,3_3369a
A boy runs down a concrete hill.,A boy is running after an ice cream truck.,1,3_3369b
A boy runs down a concrete hill.,A boy is playing video games inside.,2,3_3369c
"A concert band is playing a holiday song for a Christmas event; many of the members including the conductor in the leather jacket are wearing Santa hats, while Christmas decorations adorn the outdoor white venue.",The local band is eating some sandwiches inside the restaurant.,2,3_3395a
"A concert band is playing a holiday song for a Christmas event; many of the members including the conductor in the leather jacket are wearing Santa hats, while Christmas decorations adorn the outdoor white venue.",The local Christmas choir is celebrating the holidays.,1,3_3395b
"A concert band is playing a holiday song for a Christmas event; many of the members including the conductor in the leather jacket are wearing Santa hats, while Christmas decorations adorn the outdoor white venue.",A group of people are out in public.,0,3_3395c
The boy with glasses is sitting and reading a book.,A girl is playing video games.,2,3_3487a
The boy with glasses is sitting and reading a book.,A boy is reading Harry Potter.,1,3_3487b
The boy with glasses is sitting and reading a book.,A boy is reading a book.,0,3_3487c
Two dogs play in the surf and one has a red ball.,There are two dogs playing in the water.,0,3_3508a
Two dogs play in the surf and one has a red ball.,There are two dogs with a blue ball,2,3_3508b
Two dogs play in the surf and one has a red ball.,There are two dogs playing in the ocean.,1,3_3508c
"Family of five visiting petting zoo with father holding son, while mother watches over other two children.",Family of five is looking at animals.,0,3_3543a
"Family of five visiting petting zoo with father holding son, while mother watches over other two children.",Family of five is looking at goats.,1,3_3543b
"Family of five visiting petting zoo with father holding son, while mother watches over other two children.",Family of five is at the movies.,2,3_3543c
A hiker is standing on the side of a mountain.,A hiker prepares to climb a mountain.,1,3_3553a
A hiker is standing on the side of a mountain.,A person is on the side of a mountain.,0,3_3553b
A hiker is standing on the side of a mountain.,"A woman sits at home at night, alone.",2,3_3553c
A baby plays with a toy dump truck.,a baby playing with its toys,0,3_3581a
A baby plays with a toy dump truck.,a young girl hiking,2,3_3581b
A baby plays with a toy dump truck.,a baby playing with its toys that he got for christmas,1,3_3581c
A blond baby is watching a dark-haired baby chew on a blue toy.,Two baby brothers are lying together.,1,3_3593a
A blond baby is watching a dark-haired baby chew on a blue toy.,A blond baby is chewing on a dark-haired baby.,2,3_3593b
A blond baby is watching a dark-haired baby chew on a blue toy.,A baby is chewing on a toy.,0,3_3593c
A musician dressed in black plays his trumpet straight into the microphone.,The artist is playing I front of a live audience,1,3_3649a
A musician dressed in black plays his trumpet straight into the microphone.,The musician is playing his trumpet,0,3_3649b
A musician dressed in black plays his trumpet straight into the microphone.,The man in black is dancing ballet,2,3_3649c
Young woman standing above a crowd.,A celebrity glances down at the crowd gathered outside of her hotel.,1,3_3656a
Young woman standing above a crowd.,A woman is seated at a table.,2,3_3656b
Young woman standing above a crowd.,A woman stands above a crowd of people.,0,3_3656c
A guy playing a game at a fair.,A guy is sleeping in bed,2,3_3666a
A guy playing a game at a fair.,A male is at the fair,0,3_3666b
A guy playing a game at a fair.,A guy having fun at the fair,1,3_3666c
A group of workers in bright orange vests walk on railroad tracks.,A group of workers timing out for the day.,2,3_3754a
A group of workers in bright orange vests walk on railroad tracks.,A group of workers are outside.,0,3_3754b
A group of workers in bright orange vests walk on railroad tracks.,A group of workers are inspecting a track.,1,3_3754c
A young man is looking down from atop a mountain.,A young man crosses the desert on his camel.,2,3_3780a
A young man is looking down from atop a mountain.,A person is outdoors.,0,3_3780b
A young man is looking down from atop a mountain.,A young man and his team look down from atop the mountain.,1,3_3780c
A family of three watching construction going on in their yard.,There are four people,2,3_3783a
A family of three watching construction going on in their yard.,There are three people,0,3_3783b
A family of three watching construction going on in their yard.,The yard is full of grass,1,3_3783c
a man is wearing a short-sleeved shirt in the snow.,A man is outside.,0,3_3790a
a man is wearing a short-sleeved shirt in the snow.,A man is in the basement.,2,3_3790b
a man is wearing a short-sleeved shirt in the snow.,A man is cold.,1,3_3790c
A little girl in a white dress and headband is running through a forest while her dress is billowing out around her.,A little boy in blue is sitting on the grass in the forest.,2,3_3929a
A little girl in a white dress and headband is running through a forest while her dress is billowing out around her.,The blonde girl's white dress is flowing because she's running so fast.,1,3_3929b
A little girl in a white dress and headband is running through a forest while her dress is billowing out around her.,There is a little girl in a dress running in a forest.,0,3_3929c
Several people are preparing to film a scene involving a young schoolgirl and a young schoolboy.,The people are making a movie for the big screen.,1,3_3966a
Several people are preparing to film a scene involving a young schoolgirl and a young schoolboy.,The people are filming a scene about young children.,0,3_3966b
Several people are preparing to film a scene involving a young schoolgirl and a young schoolboy.,The people are watching a game.,2,3_3966c
A large group of people are at a beach.,a group of people are at the beach eating ice cream.,1,3_4084a
A large group of people are at a beach.,people are at the beach.,0,3_4084b
A large group of people are at a beach.,the beach is empty.,2,3_4084c
Seven vehicles parked on one side of a small street.,There are vehicles on one side of the street.,0,3_4091a
Seven vehicles parked on one side of a small street.,There are vehicles on one side of the street for a party.,1,3_4091b
Seven vehicles parked on one side of a small street.,There are vehicles on either side of the street.,2,3_4091c
A woman with a ponytail dressed in jean shorts and a black tank top sitting on the lap of a man with camo shorts and a white shirt on a subway.,the woman is running a race,2,3_4121a
A woman with a ponytail dressed in jean shorts and a black tank top sitting on the lap of a man with camo shorts and a white shirt on a subway.,a woman in jean shorts,0,3_4121b
