premise,hypothesis,label,unique_id
"A golden furred puppy sits, gazing out the back window of the car, with his pink clad doll.",A golden puppy is running behind a car.,2,2_1874c
group of young people standing in the middle of a street,Butterflies hover near a bush.,2,2_1899a
group of young people standing in the middle of a street,People loitering out of doors.,0,2_1899b
group of young people standing in the middle of a street,A mob prepares to start a protest march.,1,2_1899c
Woman wearing high heels falls on a cake.,A tall human falling,1,2_1917a
Woman wearing high heels falls on a cake.,Nobody is falling,2,2_1917b
Woman wearing high heels falls on a cake.,A human falling,0,2_1917c
Woman and child enjoy the view from te lakeside.,A woman and her child are walking along the beach.,2,2_1922a
Woman and child enjoy the view from te lakeside.,A woman and her child are sitting along the lake enjoying the view.,1,2_1922b
Woman and child enjoy the view from te lakeside.,A woman and child enjoy the lakeside view.,0,2_1922c
Two Asian woman at an archery competition getting ready to shoot with a crowd watching.,The women are celebrating after finishing the competition.,2,2_1930a
Two Asian woman at an archery competition getting ready to shoot with a crowd watching.,Two women are near a crowd at a competition.,0,2_1930b
Two Asian woman at an archery competition getting ready to shoot with a crowd watching.,The women are competing in the Olympics.,1,2_1930c
A drag queen dressed in black and white polka dots handing out a tray of Tropicana Orange Juice.,A drag queen dressed in black and white polka dots handing out a tray of Tropicana Orange Juice,0,2_1987a
A drag queen dressed in black and white polka dots handing out a tray of Tropicana Orange Juice.,The drag queen was watching tv,2,2_1987b
A drag queen dressed in black and white polka dots handing out a tray of Tropicana Orange Juice.,The drag queen was helping out by serving people,1,2_1987c
Man helping little girl ride a scooter,The man and girl is asleep in bed.,2,2_1998a
Man helping little girl ride a scooter,The father is helping his daughter ride a scooter for the first time.,1,2_1998b
Man helping little girl ride a scooter,The male is with a little female.,0,2_1998c
A man is wearing a brown shirt and playing a green guitar as he sings into a microphone.,A man wearing a brown shirt and playing a green guitar for his wife.,1,2_2082a
A man is wearing a brown shirt and playing a green guitar as he sings into a microphone.,A man wearing a green shirt and playing a brown guitar is taking a break from singing.,2,2_2082b
A man is wearing a brown shirt and playing a green guitar as he sings into a microphone.,A man in a brown shirt is playing a guitar and singing.,0,2_2082c
Some men in blue uniforms are talking with each other.,ladies are chatting,2,2_2099a
Some men in blue uniforms are talking with each other.,a couple of cops are talking,1,2_2099b
Some men in blue uniforms are talking with each other.,two guys are talking,0,2_2099c
Four bridesmaids posing dramatically with the groom.,The bridesmaids carry the groom down the aisle.,1,2_2169a
Four bridesmaids posing dramatically with the groom.,The bridal party is posing together.,0,2_2169b
Four bridesmaids posing dramatically with the groom.,The groom is marrying the four bridesmaids.,2,2_2169c
A man in a green shirt shops in an open market.,A man is strolling through a market.,0,2_2209a
A man in a green shirt shops in an open market.,A man is wearing a red shirt shopping.,2,2_2209b
A man in a green shirt shops in an open market.,A man is looking for large sweet onions for some stew.,1,2_2209c
The guy in blue shirt is looking at the books on the side of the street.,The man likes to read.,1,2_2227a
The guy in blue shirt is looking at the books on the side of the street.,The man is at the strip club.,2,2_2227b
The guy in blue shirt is looking at the books on the side of the street.,The man is looking at the books.,0,2_2227c
A BMW rider makes a fantastic jump as onlookers marvel.,A rookie rider wows the crowd in his first performance,1,2_2246a
A BMW rider makes a fantastic jump as onlookers marvel.,A BMW rider fixes his flat tire,2,2_2246b
A BMW rider makes a fantastic jump as onlookers marvel.,A BMW rider dazzles the crowd,0,2_2246c
"When preparing food on a television show, the chef must include abbreviated time versions.",A chef prepares food on TV.,0,2_2255a
"When preparing food on a television show, the chef must include abbreviated time versions.",A chef cuts off his finger by mistake.,2,2_2255b
"When preparing food on a television show, the chef must include abbreviated time versions.",Chef Gordon Ramsey prepares food on TV.,1,2_2255c
"A boy in a black hoodie is sitting on a step that says, ""moose RVS.""",He is sitting on the front step of his house.,1,2_2268a
"A boy in a black hoodie is sitting on a step that says, ""moose RVS.""",He is walking through his house.,2,2_2268b
"A boy in a black hoodie is sitting on a step that says, ""moose RVS.""",He is wearing a black hoodie.,0,2_2268c
A girl sitting on a horse is by a tree with a silver star and silver balls.,Girl rides a horse by a tree.,0,2_2275a
A girl sitting on a horse is by a tree with a silver star and silver balls.,Girl rides a black stallion.,1,2_2275b
A girl sitting on a horse is by a tree with a silver star and silver balls.,Girl plays a flute.,2,2_2275c
Two men in blue shirts stand in a tent area.,Two men are riding on a bus into the city.,2,2_2280a
Two men in blue shirts stand in a tent area.,Two men are waiting for the football game to start.,1,2_2280b
Two men in blue shirts stand in a tent area.,Two men are not sitting.,0,2_2280c
"A group of people at an outside event, some pouring beers, others chatting.",A group of people are at a graduation party.,1,2_2293a
"A group of people at an outside event, some pouring beers, others chatting.",A crowd is outside drinking and talking.,0,2_2293b
"A group of people at an outside event, some pouring beers, others chatting.",A group of people are sitting in the church.,2,2_2293c
A boy is riding his bike over a ramp at a park.,A child is doing a pop-a-wheelie on his bike.,1,2_2322a
A boy is riding his bike over a ramp at a park.,A child is outdoors.,0,2_2322b
A boy is riding his bike over a ramp at a park.,A boy is skateboarding on the street.,2,2_2322c
A man with a guitar is speaking into a microphone.,The man is using his voice.,0,2_2327a
A man with a guitar is speaking into a microphone.,The man is about to perform a song.,1,2_2327b
A man with a guitar is speaking into a microphone.,The man is playing the flute.,2,2_2327c
Three Asian people are playing musical instruments.,This band performs traditional Vietnamese folk music.,1,2_2340a
Three Asian people are playing musical instruments.,Three Asian youngsters are playing volleyball.,2,2_2340b
Three Asian people are playing musical instruments.,People are making music.,0,2_2340c
The bull and rider are being observed by a group of people.,a professional bullrider dies,2,2_2378a
The bull and rider are being observed by a group of people.,a bull rider performs at a rodeo,1,2_2378b
The bull and rider are being observed by a group of people.,a crowd watches a person and animal.,0,2_2378c
Woman diving into deep end of a swimming pool.,The woman dive.,0,2_2401a
Woman diving into deep end of a swimming pool.,The woman are on a swim team.,1,2_2401b
Woman diving into deep end of a swimming pool.,The men are diving.,2,2_2401c
A little dog is bringing back a ball on an open grass field.,A little dog running through a field with a ball.,0,2_2466a
A little dog is bringing back a ball on an open grass field.,A little dog runs from its owner.,2,2_2466b
A little dog is bringing back a ball on an open grass field.,A little dog playing catch.,1,2_2466c
A group of children taking a group shot with a clear blue sky behind them.,"The group of children had their class photo taken on a rainy, dark, gloomy day.",2,2_2471a
A group of children taking a group shot with a clear blue sky behind them.,A bunch of kids are outside having their picture taken as a group.,0,2_2471b
A group of children taking a group shot with a clear blue sky behind them.,The schoolkids are assembled outside for their class photo in front of the tree.,1,2_2471c
Construction workers with safety vests and hats are doing repairs in a tunnel.,Some people are working.,0,2_2581a
Construction workers with safety vests and hats are doing repairs in a tunnel.,Some people are using heavy tools.,1,2_2581b
Construction workers with safety vests and hats are doing repairs in a tunnel.,The tunnel is permanently sealed off.,2,2_2581c
Girl in green hoodie looking at the landscape.,There is a girl outside.,0,2_2583a
Girl in green hoodie looking at the landscape.,The girl is wearing a red hoodie.,2,2_2583b
Girl in green hoodie looking at the landscape.,The girl is gardening.,1,2_2583c
"A man walking on the sidewalk, passing three doors.",The man is delivering mail.,1,2_2615a
"A man walking on the sidewalk, passing three doors.",The man is riding a bike.,2,2_2615b
"A man walking on the sidewalk, passing three doors.",A man is walking down the street.,0,2_2615c
A white man in the background watches a black man in the foreground playing with a soccer ball on a beach.,An empty beach at night.,2,2_2626a
A white man in the background watches a black man in the foreground playing with a soccer ball on a beach.,Two men outside at the beach.,0,2_2626b
A white man in the background watches a black man in the foreground playing with a soccer ball on a beach.,The man in the foreground prepares to pass the soccer ball.,1,2_2626c
A blue race car is parked on the road.,A race car is about to start the race,1,2_2687a
A blue race car is parked on the road.,A blue car is driving down the road.,2,2_2687b
A blue race car is parked on the road.,A vehicle is stopped on the road.,0,2_2687c
A rainy day for drivers and pedestrians.,There are people driving on the road.,0,2_2807a
A rainy day for drivers and pedestrians.,People walking along the street are wearing rain boots.,1,2_2807b
A rainy day for drivers and pedestrians.,People are lounging on a sunny beach.,2,2_2807c
An orchestra surrounding the maestro.,Maestro is giving instruction to his orchestra,0,2_2849a
An orchestra surrounding the maestro.,See bad team you should listen,2,2_2849b
An orchestra surrounding the maestro.,Maestro is giving instruction to his orchestra while they aren't listening,1,2_2849c
A small boy is running to catch the ball.,Small boy runs to catch the ball,0,2_2979a
A small boy is running to catch the ball.,Small boy crying for chocolate,2,2_2979b
A small boy is running to catch the ball.,Small boy runs on the ground,1,2_2979c
A man is cutting wood planks with a table saw while another man watches.,The man is at Home Depot.,1,2_3025a
A man is cutting wood planks with a table saw while another man watches.,The man is outside catching fireflies.,2,2_3025b
A man is cutting wood planks with a table saw while another man watches.,The man is cutting things with his saw.,0,2_3025c
Friends enjoying a celebration and learn how to knit.,Friends are knitting and running whild,2,2_3040a
Friends enjoying a celebration and learn how to knit.,While learning how to knit the friends are enjoying a celebration and eating,1,2_3040b
Friends enjoying a celebration and learn how to knit.,While learning how to knit the friends are enjoying a celebration,0,2_3040c
A group of firemen in full gear are walking down the street.,Firemen walk down the street.,0,2_3057a
A group of firemen in full gear are walking down the street.,Policeman munch on donuts at the scene of the crime.,2,2_3057b
A group of firemen in full gear are walking down the street.,Firemen walk down the street towards a burning building.,1,2_3057c
A man skis downhill on a mountain.,A man skis don a mountain.,0,2_3071a
A man skis downhill on a mountain.,A bird sits on a windowsill.,2,2_3071b
A man skis downhill on a mountain.,Bode Miller races  for a gold in the Olympics.,1,2_3071c
An all yellow photo of two men sitting in a bakery.,Two guys are sitting in a bakery.,0,2_3091a
An all yellow photo of two men sitting in a bakery.,Three woman are dancing in a nightclub.,2,2_3091b
An all yellow photo of two men sitting in a bakery.,Two guys are laughing over coffee in a large bakery.,1,2_3091c
A young boy constructs a wooden triangle in the middle of his playroom.,the boy is playing in his playroom,0,2_3170a
A young boy constructs a wooden triangle in the middle of his playroom.,the boy is sleeping,2,2_3170b
A young boy constructs a wooden triangle in the middle of his playroom.,the boy is building a house with his wooden triangles,1,2_3170c
A woman wearing a blue tank top is holding a ball and looking up attentively.,The woman is wearing jeans.,1,2_3177a
A woman wearing a blue tank top is holding a ball and looking up attentively.,The woman is touching the ball.,0,2_3177b
A woman wearing a blue tank top is holding a ball and looking up attentively.,The woman is wearing a fur coat and holding her luggage with both hands.,2,2_3177c
A man walking away in the distance along a huge wall constructed of large blocks.,a man is walking,0,2_3209a
A man walking away in the distance along a huge wall constructed of large blocks.,the man is at home sleeping,2,2_3209b
A man walking away in the distance along a huge wall constructed of large blocks.,the man is a farmer,1,2_3209c
A man with a denim hat and white beard gives a thumbs up.,A man gives a thumbs up to his granddaughter for winning.,1,2_3225a
A man with a denim hat and white beard gives a thumbs up.,A man gives someone the middle finger.,2,2_3225b
A man with a denim hat and white beard gives a thumbs up.,A man gives a thumbs up.,0,2_3225c
One man in a green kayak paddling through the water.,A man is on water.,0,2_3277a
One man in a green kayak paddling through the water.,A man is sleeping.,2,2_3277b
One man in a green kayak paddling through the water.,A man is going down a river.,1,2_3277c
A roller derby woman wearing a helmet has a tattoo of a white Indian pulling back a bow.,The woman plays roller derby.,0,2_3310a
A roller derby woman wearing a helmet has a tattoo of a white Indian pulling back a bow.,The woman is antisocial.,1,2_3310b
A roller derby woman wearing a helmet has a tattoo of a white Indian pulling back a bow.,The woman is going to a fashion show.,2,2_3310c
A group of skiers head up an incline in the snow.,The snow is icy,1,2_3350a
A group of skiers head up an incline in the snow.,The group is sking,0,2_3350b
A group of skiers head up an incline in the snow.,The group is carring elephants,2,2_3350c
A woman in a red shirt is walking by a fence with graffiti on it.,A woman is outdoors.,0,2_3359a
A woman in a red shirt is walking by a fence with graffiti on it.,A woman is walking to work.,1,2_3359b
A woman in a red shirt is walking by a fence with graffiti on it.,A woman is sitting on a couch.,2,2_3359c
Group of musicians playing horned instruments on a cold day.,The men only know how to play the drums.,2,2_3369a
Group of musicians playing horned instruments on a cold day.,The instruments include a trumpet.,1,2_3369b
Group of musicians playing horned instruments on a cold day.,The musicians are playing outdoors.,0,2_3369c
A man demonstrating his black and white dog performing a back flip.,A man shows his dog doing tricks,0,2_3395a
A man demonstrating his black and white dog performing a back flip.,A man plays fetch with his dog,2,2_3395b
A man demonstrating his black and white dog performing a back flip.,A man is showing his dog for evaluation by judges,1,2_3395c
A cab is driving on a busy city street.,The cab is parked,2,2_3487a
A cab is driving on a busy city street.,The street is busy,0,2_3487b
A cab is driving on a busy city street.,The cab is yellow,1,2_3487c
Two ladies hugging each other and enjoying a nice laugh.,Some women are crying.,2,2_3508a
Two ladies hugging each other and enjoying a nice laugh.,Two best friends are hugging.,1,2_3508b
Two ladies hugging each other and enjoying a nice laugh.,Two women are hugging and laughing.,0,2_3508c
A toddler holds a rubber chicken suspended in air,A toddler is playing with a rubber chicken.,0,2_3543a
A toddler holds a rubber chicken suspended in air,A child is playing with a rubber chicken outside.,1,2_3543b
A toddler holds a rubber chicken suspended in air,A child is shown without toys.,2,2_3543c
Kid in a blue t-shirt is playing with a bat& has his eyes cover.,A kid is playing.,0,2_3553a
Kid in a blue t-shirt is playing with a bat& has his eyes cover.,A kid is sleeping.,2,2_3553b
Kid in a blue t-shirt is playing with a bat& has his eyes cover.,A kid is playing baseball.,1,2_3553c
Young man is skating on a road; on a sunny day.,A young man is buying some milk.,2,2_3581a
Young man is skating on a road; on a sunny day.,A teenager is skating fast on a road.,1,2_3581b
Young man is skating on a road; on a sunny day.,A young man is outside on a sunny day.,0,2_3581c
Two bears are growling at each other.,Brown bears in Katmai having a disagreement.,1,2_3593a
Two bears are growling at each other.,Angry kittens.,2,2_3593b
Two bears are growling at each other.,Bears in a confrontation.,0,2_3593c
A woman is posing for a picture next to an airport.,There is a model doing a photo shoot.,1,2_3649a
A woman is posing for a picture next to an airport.,A man is hiding from the camera.,2,2_3649b
A woman is posing for a picture next to an airport.,The woman is looking at a camera.,0,2_3649c
Three women holding hands approach the waves on a gray beach.,There are women by the water.,0,2_3656a
Three women holding hands approach the waves on a gray beach.,Three women are wet outside in the beach.,1,2_3656b
Three women holding hands approach the waves on a gray beach.,The women are very far away from any water.,2,2_3656c
Yankee players celebrating a win.,The Yankee players are winners.,0,2_3666a
Yankee players celebrating a win.,The Yankee players lost the game.,2,2_3666b
Yankee players celebrating a win.,The Yankee players are baseball players.,1,2_3666c
"A man in a blue shirt is dumping the contents of the wheelbarrow onto the ground, while two men look on.",The woman is burying a large brown bag,2,2_3754a
"A man in a blue shirt is dumping the contents of the wheelbarrow onto the ground, while two men look on.",A man is dumping bricks out of a wheelbarrow,1,2_3754b
"A man in a blue shirt is dumping the contents of the wheelbarrow onto the ground, while two men look on.","Three men are outside, near a wheelbarrow",0,2_3754c
A woman dressed in a purplish-blue scarf sits between another woman and child with some sort of circular tray or dish in her hand.,The woman is serving food to the others at the table.,1,2_3780a
A woman dressed in a purplish-blue scarf sits between another woman and child with some sort of circular tray or dish in her hand.,The woman wearing a scarf is holding a tray.,0,2_3780b
A woman dressed in a purplish-blue scarf sits between another woman and child with some sort of circular tray or dish in her hand.,The woman's hands are empty.,2,2_3780c
A man stares into the window of a big yellow truck that is parked in the road.,He is looking for the driver.,1,2_3783a
A man stares into the window of a big yellow truck that is parked in the road.,He is selling newspapers.,2,2_3783b
A man stares into the window of a big yellow truck that is parked in the road.,A man is outside.,0,2_3783c
"Three people wearing white, while walking on stilts down a road outdoors.",Three stilt walkers go down the street.,0,2_3790a
"Three people wearing white, while walking on stilts down a road outdoors.",Three stilt walkers walk through the busy street to announce the fair coming to town.,1,2_3790b
"Three people wearing white, while walking on stilts down a road outdoors.",Three short people walk down a hallway inside.,2,2_3790c
"Two men, one wearing a yellow shirt and the other man wearing a blue shirt are riding bikes on a track.",Two men are preparing for a bike race.,1,2_3929a
"Two men, one wearing a yellow shirt and the other man wearing a blue shirt are riding bikes on a track.",Two men are buying camping gear at a store.,2,2_3929b
"Two men, one wearing a yellow shirt and the other man wearing a blue shirt are riding bikes on a track.",Two men are riding bikes outside.,0,2_3929c
People are shopping in an outdoor market.,People are not shopping,2,2_3966a
People are shopping in an outdoor market.,People are happily shopping,1,2_3966b
People are shopping in an outdoor market.,People are shopping,0,2_3966c
A man and a woman are in a kitchen eating what they have prepared.,People are putting food in their mouths.,0,2_4084a
A man and a woman are in a kitchen eating what they have prepared.,The man are eating with utensils.,1,2_4084b
A man and a woman are in a kitchen eating what they have prepared.,The man and woman are sleeping.,2,2_4084c
A busy woman quickly poses for a picture while mopping the kitchen.,The woman is cleaning.,0,2_4091a
A busy woman quickly poses for a picture while mopping the kitchen.,She posed with her hand on her hip.,1,2_4091b
A busy woman quickly poses for a picture while mopping the kitchen.,She is cleaning a toilet.,2,2_4091c
Child using a wood shop machine.,a child is asleep at home in bed,2,2_4121a
Child using a wood shop machine.,a child using a machine,0,2_4121b
Child using a wood shop machine.,a child working,1,2_4121c
A man hanging off a partially framed roof.,A man is sitting down.,2,2_4171a
A man hanging off a partially framed roof.,A man slipped and is now hanging off a roof.,1,2_4171b
A man hanging off a partially framed roof.,A man is hanging.,0,2_4171c
Many workers making their way in the heat of the fields.,Workers gather the harvest in a field.,1,2_4177a
