premise,hypothesis,label
A boy in blue and white on rollerskates holds hockey stick with a black ball at the end of it.,A hockey stick is holding a boy.,2
A dog is wearing a red number 6 and running through a field of green grass while being chased by a bird.,An owl chases a mouse.,2
A woman with a nose ring is holding an umbrella.,A woman in the rain.,0
A man in a black sweatshirt walks three small dogs.,A guy and three dogs are walking.,0
Boy's camp drill Sergeant with boys standing at attention.,A drill Sergeant is with boys standing at attention.,0
"A ""rock star"" performing a concert in front of a live audience.",They are nervous.,1
A gray colored dog walks in wet sand at a beach.,The dog is at the veterinarian's office.,2
A group of spectators watch a men's sand volleyball game.,Men are playing a sport.,0
Grandmother laying in her bed asleep.,A young woman jumps up and down,2
A woman with blond-hair wearing a white karate gi performing a punching move.,The woman is sleeping.,2
A white dog jumps into a pool.,The dog jumping to swim.,1
A woman in a pink jacket is swinging on a swing-set with some trees in the background.,A woman swings.,0
"The back of a female as she swings, with a cloudy sky in the background.",It is supposed to rain soon.,1
"Four men, in red hats and orange uniforms, walking near a hedge.",Four men are on their way to do construction work near a hedge.,1
A motorbiker racer performs an aerial stunt as he flies over a dirt hill in the woods.,A motorcyclist rides his bike over a dirt hill.,0
"A group of people sitting around on a couch, one holding a cat.",There are a group of people hanging out on a Friday night.,1
A female tennis player is standing with her feet apart on a court.,A female is standing on a tennis court.,1
runners at a marathon running a race heading for the finish line.,The runners look determined.,1
A young girl is climbing a rock wall.,A little girl is on a climbing wall.,0
A child swings a baseball bat at the ball.,A man is playing soccer.,2
Man rides a bike past an old baseball field,The man walked past the new ball field.,2
A mother cooking as grandma holds a young child to watch.,The 3 people are all related.,1
six people on a cliff taking a picture of their of the water.,The people are outdoors.,0
A man using paint on a deck above a large body of water.,a man painting a dock over the ocean,1
A woman sleeping on the subway.,There is a woman sleeping on the subway.,0
A trolley car is standing in the road surrounded by pedestrians.,A trolley car is stuck on the tracks.,1
A karate instructor observes his students.,A karate instructor observes happily,1
A man browses the store windows of a Play It Again Sports store.,The man is running a marathon.,2
A tattooed man walks down the street.,The man has no tattoos.,2
A group of friends enjoying the sites while walking with drinks and camera in hand and see a photo opportunity,Nobody is trying to take a photo.,2
A man in a turban climbing a tree in a tropical wooded setting.,A man is climbing a palm tree to collect a coconut.,1
A man in a white shirt is walking on a football field in front of some players.,The man is coaching the football team.,1
A woman with a red and orange apron makes paper-mache orbs while her friend leans into the frame.,The woman is wearing a clothing item.,0
Reflections from the firemen's uniforms.,The firemen are naked.,2
A construction worker working at a job site.,A construction worker is working.,0
A man with a beard and a red shirt uses Wool Silk on a wood floor.,The man with the beard is using a mop.,1
A man seated in a kitchen types on a laptop.,the man is standing.,2
A man is playing drums in a band with a gray jacket on.,A tall human playing,1
A man is looking at his phone as a train passes by.,woman using a typewritter near a car,2
A black woman with a hat on is weighing fruits and vegetables.,A woman is shopping for groceries.,1
A man is walking across a city street with his son.,The man is walking with his daughter.,2
"A white man in a white and black t-shirt, white khaki pants, and black shades is waving his arms and standing in front of a white fence of what looks like an Asian property with pointy roofs, a red flag on a tall pole, and pink flowers.",A black woman is standing in front of an old Victorian home.,2
two women and a child are sitting by a cart of arrows in front of a booth at a medieval Fayre.,There is a jousting match at the Fayre.,1
Smiling girl with white shirt with boy standing behind making rabbit ears behind her head.,A girl is smiling.,0
"A man sitting down eating, and a woman with a black shirt walking outside with shopping bags.",the woman is a customer,1
A soccer player in a green uniform is running.,The soccer player jumps into the stands.,2
An asian man in glasses and a blue dress shirt is giving a presentation using a projector.,Someone is teaching a class.,1
A young girl wearing colorful clothing uses henna to draw a flower on her hand.,A young girl drew a sun on her hand.,2
A woman wearing glasses is blowing a kiss.,The woman has bad eyes.,0
A bald dark-skinned man in a purple tank top and jeans works with another man next to a blue bucket.,The dark-skinned man is wearing a long sleeved shirt.,2
little boy in blue shorts holding a window screen,The boy is helping to replace the screen.,1
Children climbing and standing on a wooden bridge over water.,the child is black,1
Woman with red umbrella walking in a city.,A woman is throwing out scratch for chickens in a pasture.,2
"Two males are sitting on a dock, one of which is playing guitar, and another two are standing in front of them.",Four people are by the dock.,0
A woman standing near a log while she's wearing a backpack.,A woman is wearing a backpack.,0
A woman sitting with a man of about the same age reaches towards a bird who had just landed on the table where the two share a drink.,Shrek and Fiona running through a field.,2
A black boy stands on a traffic signal.,A boy is standing on the street.,0
A man in a silky brown shirt is carving portraits into stone.,A man is carving a woman's picture.,1
Fishermen on the beach organize their nets.,Butterfly catcher catches butterflies in his net,2
A well dressed man sleeps in front of a store window advertising books.,A man sleeps outdoors.,0
A boy on a black surfboard riding the wave on his stomach.,A boy is out in the ocean on a surfboard.,0
A young lady diving into a pool.,A pretty young lady diving into a pool.,1
A bald man is on a surfboard presumably ready to catch some waves.,The bald man is surfing off the Hawaiian coast.,1
A man playing a guitar under the lights with other people in the background.,A man is hitting the snare.,2
The picture is of a woman competing in a race doing the backstroke.,Someone is swimming in a pool.,1
Two boys performing what appears to be a kissing scene in lunch room.,Two boys practice kissing for their dates.,1
A person rappelling a cliff above a body of water.,A person playing poker.,2
A black and brown dog with a tan dog on a cement path in front of grass,Two dogs chasing each other on the beach.,2
A woman walking over a bridge.,A woman enjoys a sunny spring day outside,1
A man is drinking and smoking on a balcony.,A man drinking and smoking.,0
"Two men are trying to plow some dirt, behind a red motorcycle.",The men like motorcycles.,1
Two men are having a discussion after a wedding.,The two men are bowling.,2
A man and a woman walk in front of a white pickup truck and a gray car.,Two people walk in front of two vehicles.,0
The view from a cracked train window of children walking to or from school along train tracks.,The train is old.,0
A lady wearing white is dancing.,The lady is taking a bath.,2
The runners in this competition are of different races.,A group of people ar eat the running of the bulls.,1
"Construction worker in a hard hat and yellow neon vest, working on stairs.",A person is working on stairs.,0
A man with long gray hear and a mustache sits on the ground and has on no shoes.,a man with long hair,0
A young girl in glasses and sweatsuit swings a racket.,There is a girl sitting outside,2
A newlywed couple standing on a pier.,A couple is outdoors.,0
A flock of swans gathers around a person in a boat on a sunny day.,There are swans in the water.,0
"Multiple women dressed in workout clothes and gloves, taking a kickboxing class.",A women in workout clothes practicing kickboxing.,0
Two oxen pulling a man through the muddy water.,Two oxen are pulling a man outside.,1
A couple having a conversation over drinks.,The two were strangers.,2
A beautiful long-haired blond girl dressed in a blue and green bikini walking down a street,A short haired brunette girl is driving down the street.,2
Five young boys in blue shirts are writing in notebooks at a table.,A group of boys are writing at the table.,0
A skateboarder slides down a handrail on his feet.,Nobody is sliding.,2
A person wearing a yellow coat rides a bike past some snowy rocks.,A person is riding a bike outdoors.,0
Man in black gloves pretends to punch a man dressed in red holding a drink.,Two males fighting in the water.,2
Two woman with a baby,Two people with a baby.,0
Two girls in black toss their guns in the air.,Two girls toss their machine guns.,1
A blond woman with a braid in her hair is riding the bus.,The woman has red hair,2
A baker in a blue shirt is preparing the bread.,the baker worker watching television at the shop,2
Young boy flying a toy airplane in an open field of hay.,The little boy was flying his toy airplane in the open field.,0
Bicyclers riding in a single file line.,People sitting on a couch.,2
The guy in the white uniform has a basketball in his hand.,The guy is currently on the basketball team.,1
Children and staff sit on the floor and paint in a recreation center.,People are painting on the floor.,0
A person is feeding a flock seagulls in a park.,A person is feeding cats,2
Worker in orange jumpsuit adjusts industrial scale.,the boys were angry,2
A bald eagle near a pond of water.,A bald eagle near a pond of water with a fish in it's mouth.,1
Furniture inside and outside of a moving truck.,A house is being furnished.,1
A woman with a peace symbol on her shirt grills vegetables,A woman with a peace symbol on her shirt and grilling vegetables is a vegetarian.,1
A young white boy with an orange shirt and white and black hat sitting next to a black steel ball in a large field.,A girl sitting on a ball in field.,2
a man taking a pizza out of an oven,A man is working in a pizza shop and just finished baking a pizza.,1
A woman helps a boy on the monkey bars.,The boy is playing.,0
A person is walking down a berry picker trail.,"There is one person in this picture, and they are outside.",0
A man and a boy in a yard playing with pool toys.,A man and a boy are outside.,0
Four shirtless men hike up a canyon.,the men are asleep in the car,2
A speaker at the 55th annual Delwood Neighborhood July Celebration delivers a message from the stage as others look on.,There is a person in July on a stage saying something to a crowd.,0
A man is working in a construction site on the dirt removal section.,A person is working hard.,1
A man walking over a bridge with a child on his shoulders.,The man and child are outdoors,0
A group of people ride a sailboat on a river.,People are sailing.,0
A little boy is about to kick a black soccer ball.,The boy is kicking the soccer ball at practice.,0
Five people are looking across a lake at buildings.,A group of people caseing a bank,1
A man in a red jacket walks by a red gas station office.,A man in a red jacket and jeans is walking by the gas station office.,1
Two police officers casually scanning the beach on foot.,The police men are having a day off.,2
A man in a white cowboy hat reclines in front of a window in an airport.,A man has headgear.,0
"A person in a red, white and blue jumpsuit flying through the air on a yellow motorcycle.",A man is performing a stunt for a crowd of spectators.,1
A woman stands next to a man in a hat holding a cup standing next to another man in a yellow hat.,Three people standing at a baseball field getting ready for the game.,1
A young boy of trying to fix his blue bike while an adult looks on.,An adult watches as a young boy tries to repair his bike.,0
people at the park under the trees,People are at the park on a sightseeing trip.,1
This image is of a crying toddler being held by an older gentleman with a camera as a younger male with long red-hair stands beside them.,A baby cries as his grandpa tries to comfort him after a bad fall.,1
Two young women speak into a microphone n front of a crowd of other young women.,The two young women speaking on the microphone are the group leaders.,1
Boy in yellow tank top laughing on a beach.,A boy on a beach.,0
Third world school being filmed by a camera crew of a different nationality.,people make documentary,1
A young boy laying on his back under a piece of furniture.,A boy is laying under furniture.,0
A pair of welders are working outdoors on a large steel structure.,The welders are cursing.,1
A man with long hair and a beard plays a guitar.,The man is a musician.,0
A young man in a baseball cap and shirt is playing baseball in a park.,A young girl is learning to golf.,2
A woman running past a couple of people sitting down for lunch.,"A person is running, other people are sitting.",0
Group performs a dance together.,A group is performing a dance routine together,0
Young people chat outside near a buzy street.,there are alot of people around,0
Barefoot men wearing black masks and no shirts are walking in a procession.,Some man in black mask hijacks a plane,2
Football players making a tackle with the referee in the foreground.,A pass is thrown without a tackle on a football field.,2
Five people playing string instruments in public.,The tuba player turns the pages of his sheet music.,2
two men sitting in chairs outside near food reading.,Men are wearing blue,1
A man is standing behind the fish display in the restaurant.,A man is viewing some fish at a display in a restaurant.,0
The boy wearing a blue shirt is blowing a huge bubble.,The boy likes to blow bubbles.,0
A soccer player in blue uniform attempts to make a play with a player in green closing in.,Two people play soccer.,0
"A boy, in brown pants, jumping on a bungee trampoline.","A boy, in brown pants, is jumping up and down on new trampoline.",0
Seven workers walking near a cargo ship.,There is a cargo ship with seven workers walking by.,0
An older gentleman and an elderly lady are talking to two younger ladies in uniform on an urban street.,There are people over the age of thirty.,0
The little girl enjoys playing in the indoor playground.,A little girl is indoors.,0
A person stands on a structure on the lake.,Someone is standing on a building at the lake.,0
A few girls with green foam statue of liberty hats on a train,Two girls take a ride in a car.,2
A young man in swim trunks is juggling on the beach.,A man sleeping outside.,2
A man in a blue shirt and brown baseball hat eating eggs at a restaurant.,A man consumes eggs while eating out,0
"Asian boy in orange, white, and black coat celebrating St. Patrick's day with a soda and green balloon.","A boy dressed in orange, black, and white is holding a drink and a balloon.",0
"Two dogs, a pitbull and a black Labrador, run side by side.",Two dogs are running outside.,1
It seems to be an asian subway station with few people and signs in a foreign writing on the wall.,The signs are not in english.,0
A man pushes a blue cart on a dirt road.,The man is homeless.,1
"A woman in a white bikini rides a bicycle, people walk and cycle behind her.",A woman is riding a bicycle.,0
Two women are at work along a balcony on the edge of a bamboo forest.,Two women are watching a movie on their day off.,2
Two men are doing construction work on a street in the city.,The men are friends.,1
Woman in pink goes for a stroll through a field.,A man is playing fetch with his dog,2
"Bearded man wearing sunglasses, hat and leather jacket standing by an orange life preserver.",Bearded men are inside,1
A man is standing on a stage behind a microphone while playing the guitar.,There is no microphone.,2
"A man in a plaid shirt napping against a large, gray rock.",The girl never sleeps.,2
four children are playing in a water fountain in a city plaza.,Four kids get in the wrong car.,2
A black and white dog jumping out of the water and a brown dog shaking off.,The puppies are playing in the lake.,1
Two men gather in the lobby of a building.,Two men sit in an outdoor cafe.,2
A man is waist deep in water with a fishing net and box.,Man catches fish with his box.,1
A line of ox carts is proceeding toward the camera on the left side of a road with trees on both sides.,There are several animals in this picture.,0
Smiling girl with brown hair blowing in air.,A person enjoying a breeze.,1
A woman in a black top with a shopping bag standing near the train tracks while others read.,A woman with a shopping bag is standing near the train tracks.,0
A man is doing something to a teapot.,The man is handling a teapot.,0
A man and a woman hold the front arm of a large tiger that is laying on the ground among various medical devices.,The people are holding on to the large tiger.,0
A musician dressed in black plays his trumpet straight into the microphone.,The man in black is dancing ballet,2
An old woman walking along a sidewalk with buildings that are littered with graffiti.,A man walks into a luxury apartment,2
A boy is squatting in front of an empty net while others stand around a bouncy castle behind him.,A boy is squatting in front of an empty net with a bouncy castle behind him because he is at a party.,1
An older dark-skinned woman holding a lighter-skinned baby.,A woman holds a baby.,0
The wood used for the seat portion of the bench is comprised of different colored slats.,The bench is made entirely of steel.,2
A girl with a red shirt and long brown hair is laying across a twisted swing with sand underneath.,A young girl laying on a swing by the ocean.,1
The man in the black hat is sitting on the floor beside the green door.,A man is sitting on the floor by a green door.,0
woman kneeling in leaves towards a baby sitting in the leaves with a little boy in the background holding a bunch of leaves.,There is a serious thunderstorm raging down on the baby.,2
Two skiers stand on the side of a snowy hillside.,snowboarders drink cocoa,2
The injured athlete is being carried by several people.,A person is carried by other people.,0
"During a football match, a player in a green and gold uniform is tackling two members of the other team, who are dressed in white, black, and blue jerseys.",There are two teams,0
A man in a white shirt cutting a cake while coworkers watch.,A woman cuts the pizza while her husband looks on.,2
Two black men dressed in military gear.,A couple of people wait for directions.,1
A lady is taking a picture of something.,The picture is beautiful.,1
A man on a bike in the air he is wearing a blue hsirt and a yellow and white helmet.,A man is airborne on his bike.,0
A DJ working a turntable.,A DJ is working at a club.,1
A little girl brown hair smiles in the swimming pool.,A child smiles while in the sand.,2
A young female in a green tank top and shorts standing in the middle of the railroad tracks.,The female has on sneakers.,1
Construction workers are working together.,Construction workers are working intently together.,1
An adult Asian male instructs a group of Asian children.,A man is teaching a group of children.,0
Woman balances a pie on her head and looks up into camera,A woman throws a pie at a clown.,2
A dog playing with a ball.,A dog outside,0
This is a guy with brown hair and a white shirt performing while playing his drum,A crazed fan with bongos ruins a Soundgarden concert,1
"A blond toddler wearing a blue sweater, riding on a wooden toy.",A baby looks happy as he plays with his favorite toy,1
A little boy holds a bat in the air waiting on the ball.,A boy scout rubs to sticks together.,2
"Children playing on a sandy playground, and one of them has a bike.",A kid with a bike in a playground with some other kids.,0
"Two guys in front of a souvenir shop, with one guy in a red scarf talking on the phone.","Two men stand in front of a souvenir shop, one in a red scarf talks to the other on the phone",2
"An old woman is bent over a table, working with dough.",An old woman working with pizza dough at a table.,1
A man wearing a tan button down shirt and black turban is walking through a field carrying a gardening hoe over his shoulder.,The shirt is black.,2
Many different groups of men are standing around and exchanging things.,Groups of men standing around.,0
A man in jeans is walking.,A man is wearing clothes and moving.,0
Two men and one woman are having a rock skipping contest on the side of a lake.,Three people are enjoying dinner indoors.,2
Recked ambulance being towed by a large tow truck.,The firetruck was towed.,2
A dog drinks water outside on the grass.,a dog is looking for its toy in the grass,2
A group of kids are posing outside for nice picture.,Mothers lining up for a photo.,2
Man standing on a rock ledge over a body of water the sky and water are blue and meet at the horizon.,A man is preparing to dive into the ocean.,1
A man is slightly jumping in the air while holding a tennis racket.,A man playing tennis with a friend.,1
Group of people in New York's Times square standing inside a fenced off area.,A group of people are standing in New York City.,0
Two men fillet a fish at a sink while others watch.,People are watching some men cut a fish,0
A woman holds a fish up that is connected to her fishing pole.,A woman holds up her catch.,0
A young guy and girl with arms around each other as they enter an establishment.,people go into bar,1
Five people with backpacks hiking down a rocky hill.,"Group of people returning from camping trip, coming down a rocky hill",1
The view from a overlook at the public beach.,The view from a mountain top by the beach.,1
A woman with white hair in a yellow shirt lies in the grass overlooking the ocean in which a lone sailboat is visible.,"A woman lies in the sand, reading a novel",2
Two woman wearing statue of liberty hats get their picture taken in a subway.,Two women stand atop the statue of liberty as they pose for a picture.,2
A person taking a picture of group of other people.,A person is sleep.,2
A seagull is standing on a picnic table,A seagull is standing.,0
Two large dogs are playing in a large grassy area.,Dogs are outside,0
A very well dressed man standing in the middle of a room with lots of casually dressed people.,A man is seated alone in an empty room.,2
A man with a knife in front of a cake.,A man prepares to cut the cake,0
Two young Indian girls are eating muffins.,Two men eat breakfast,2
The men are walking away from the rocks with a child.,Guys are walking away with children and going to the park.,1
A group of people are in a room together.,Some people are in a room together.,0
A young man with a denim jacket and writing on his hand smiles in front of a bookcase full of videos.,The videos are pornographic.,1
Father and Son kicking a ball on the lawn.,An adult and child are kicking a ball.,0
A man in black and yellow on a horse is talking to a person wearing red.,the man was on a horse,0
A man in work clothes is holding a chain.,A man is holding a chain.,0
A man is cooking what appears to be green beans in a grill basket on a grill with a yellow lab standing by him while someone takes a picture from above.,A man is cooking his dog on the grill.,2
a man is resting on the ground with a cup.,The man on the ground has a cup of beer.,1
Two men and a white dog stand in a meadow near a steep hill.,Two men stand,0
A group of children are lined up for a performance on a stage.,A group of children prepare for their class play.,1
A blond woman at a bar looks over her shoulder.,the man sat alone at the bar,2
A man jumps into the water on a sunny day.,An individual jumps into water.,0
A small black and white dog is swimming in water.,A dog is going for a walk.,2
An overhead view of factory workers packaging product.,A view of people at work.,0
A row of men on motorbikes line up in the grass.,The men are sitting on a couch.,2
A stylish woman in black poses in front of graffiti on the sidewalk.,The woman poses by graffiti on the wall.,2
A man in a tuxedo jumps toward a woman in a wedding dress.,A man in a tuxedo surprises his wife-to-be by jumping onto stage.,1
Eight adults are gathered around a table laden with food and drinks outside.,There are people gathered around a table watching kids play,1
Two young women wearing colorful costumes show off their hula hoop skills at a friendly competition during a local festival.,The women are naked.,2
A group of chefs talking on a balcony.,The chefs are talking about the weather.,1
A man is on the ground beside a blue vehicle with it's tire removed.,A man is changing the tire on a vehicle.,1
There is a lady with glasses and wearing a black shirt and she is also playing a video game.,a female with glasses and clothes on is looking at a screen and moving her fingers.,0
A woman serves out of a drive through window of a Nathans.,a woman working,0
A boy in rash guards and swim shoes runs into the water at a beach.,A boy loves to swim.,1
"Two workers are on a cherry-picker, one leaning out with a safety harness and the other smiling at the camera.",The workers are participating in a photo shoot,1
A black dog runs with a ball in its mouth.,The dog is sleeping in its bed,2
A man helping a woman rock climb.,Everybody is laying down.,2
Five men pose awkwardly on steps.,The steps are roped off and empty.,2
A large crown walks by three friends climbing on top of each other.,the friends are praciticing for cheerleading,1
A girl with a green scarf on her head sits on cement steps.,A women is sitting outside.,0
Crowd of people and children watching a man sculpt balloons into animals.,The crowd are watching a man juggling knifes.,2
A lady with a yellow outfit is in the air above the bed in a yellow room.,A woman is in her pajamas jumping on bed.,1
A man and a woman are walking past a car with a fancy symbol on the front.,A couple of people walk in front of a car.,0
A young boy is smiling while playing his guitar.,A prodigy guitarist shows off.,1
A dog is running along a beach with a red object in its mouth.,the dog is at home,2
A woman sewing on her porch.,A woman is whistling on her porch,2
The wine will taste great with Italian food.,Wine is currently present.,0
A young girl in a hotel lobby is balancing a game of wooden blocks on a table.,A person is playing with blocks at a hotel.,0
Woman in nice clothes does not have an umbrella.,woman without umbrella,0
A white and brown dog sit on a stone ledge as people take pictures.,The dog's are being photographed.,0
Young protesters outside holding signs.,Protesters are outside holding signs.,0
A snowboarder jumps over a shed which is almost covered with snow,A snowboarder jumps a shed.,0
Amidst a busy dock comes a red and white ship with a landscape of mountains and possibly middle-eastern territory.,A ship is arising from the middle east.,0
